game_id,label,score
200910180nor,1,0.2615884
201012260kan,1,0.2191061
201109180was,0,0.49997723
201212300was,1,0.5408439
201510250kan,1,0.8504494
200712160nwe,0,0.5321436
200811160sfo,1,0.060883716
201010100clt,1,0.5513854
201010310det,1,0.38681316
201611130car,0,0.6488455
201510260crd,0,0.1892278
201511220crd,0,0.67184013
201711120chi,0,0.6342565
200712160tam,1,0.39996123
201012120car,0,0.17590338
201609250tam,0,0.22341834
200710140tam,1,0.07347286
201401120den,0,0.089517854
200711250chi,1,0.5383864
201010240rav,0,0.74881774
201312150rai,0,0.02673818
201411090nor,0,0.87135947
201611270tam,1,0.29331914
201712240nwe,1,0.35465735
200809210sea,1,0.6241925
201210220chi,0,0.12823996
201212090buf,0,0.7980027
201510120sdg,0,0.84636545
201512060buf,1,0.07333917
201611060sdg,1,0.2545155
201209090htx,1,0.18212982
200710210buf,1,0.09891342
200912060crd,1,0.9211158
200912200det,1,0.7192655
201010310ram,1,0.21964909
201112170tam,0,0.8415099
201410260nwe,1,0.7931843
201110020chi,0,0.7919059
201309090sdg,1,0.3123267
201312290nwe,1,0.31642932
201411300atl,1,0.30684122
200809140cin,0,0.714478
201010170tam,0,0.17729484
201201140sfo,1,0.3520977
201212160cle,0,0.33504063
201301050htx,1,0.43318677
201509270sea,1,0.5382787
200809280ram,0,0.62030953
200812070gnb,0,0.5842834
200912140sfo,1,0.38348752
200912200oti,0,0.3907182
201101020cle,0,0.50027215
201212020buf,1,0.8651671
201411300htx,1,0.500498
201711260sfo,0,0.7245741
200811230kan,0,0.05500834
201412150chi,0,0.8272039
200712300mia,0,0.18713205
200812280nor,0,0.2292253
201212100nwe,1,0.7993934
201212300det,1,0.58456993
201309290oti,1,0.18618599
201511150ram,0,0.43167418
201609250buf,1,0.77062976
201709240min,1,0.45478058
200909270tam,0,0.31039247
200912130htx,1,0.31284672
201109120den,0,0.68323946
201209230chi,1,0.46486604
201411020min,1,0.06660465
201612040atl,0,0.8818211
200812200dal,0,0.7145226
201612110tam,1,0.106638156
201712240chi,1,0.5297136
201612240chi,0,0.5985396
201701070htx,1,0.13629271
201712100kan,1,0.4698261
201712170nyg,1,0.9205037
201310140sdg,1,0.62216884
201512130phi,1,0.38918266
201610310chi,1,0.79434025
200712020pit,1,0.2773111
200809140nyj,0,0.27072757
200909270rav,1,0.75413615
200911080nyg,0,0.87563163
200910180rai,1,0.49660593
201112040tam,0,0.3913282
201212230den,1,0.25692558
201312220det,0,0.8907793
201410190sdg,0,0.5041365
201509270car,0,0.36481997
201610160nwe,1,0.5190229
201612180htx,0,0.16587064
200801130clt,0,0.47963965
