Bin,Did Not Cover,Covered
0,0.0,0.0
1,1.0,0.0
2,3.0,6.0
3,3.0,3.0
4,3.0,7.0
5,12.0,7.0
6,7.0,7.0
7,7.0,11.0
8,11.0,7.0
9,12.0,8.0
10,17.0,18.0
11,16.0,11.0
12,20.0,13.0
13,12.0,16.0
14,16.0,15.0
15,19.0,20.0
16,18.0,19.0
17,15.0,19.0
18,18.0,16.0
19,14.0,21.0
20,22.0,22.0
21,13.0,24.0
22,17.0,19.0
23,18.0,21.0
24,17.0,21.0
25,20.0,16.0
26,27.0,18.0
27,23.0,11.0
28,13.0,24.0
29,15.0,12.0
30,20.0,21.0
31,17.0,20.0
32,24.0,19.0
33,17.0,17.0
34,27.0,14.0
35,18.0,20.0
36,12.0,11.0
37,15.0,21.0
38,8.0,19.0
39,17.0,22.0
40,20.0,21.0
41,22.0,16.0
42,17.0,13.0
43,17.0,22.0
44,22.0,27.0
45,26.0,20.0
46,14.0,13.0
47,13.0,19.0
48,17.0,14.0
49,15.0,11.0
50,18.0,14.0
51,18.0,14.0
52,17.0,14.0
53,17.0,18.0
54,12.0,23.0
55,13.0,14.0
56,20.0,10.0
57,15.0,14.0
58,19.0,17.0
59,9.0,11.0
60,20.0,22.0
61,21.0,15.0
62,22.0,15.0
63,12.0,16.0
64,7.0,14.0
65,18.0,21.0
66,14.0,16.0
67,16.0,16.0
68,23.0,16.0
69,23.0,7.0
70,19.0,13.0
71,14.0,14.0
72,15.0,12.0
73,15.0,13.0
74,10.0,19.0
75,18.0,21.0
76,12.0,19.0
77,15.0,10.0
78,11.0,11.0
79,14.0,14.0
80,16.0,11.0
81,13.0,19.0
82,8.0,4.0
83,19.0,12.0
84,13.0,8.0
85,11.0,10.0
86,14.0,11.0
87,12.0,13.0
88,13.0,9.0
89,9.0,8.0
90,10.0,8.0
91,10.0,8.0
92,8.0,9.0
93,6.0,8.0
94,1.0,8.0
95,5.0,5.0
96,4.0,2.0
97,5.0,1.0
98,1.0,1.0
99,1.0,1.0
100,0.0,0.0
