Model Score Threshold,F1
0.0,
0.01,0.6601338432122371
0.02,0.6594930655188904
0.03,0.6578758091584751
0.04,0.6568957232099951
0.05,0.6557456034690435
0.06,0.6558645707376058
0.07,0.6548543689320389
0.08,0.6521951219512195
0.09,0.6511399852905124
0.1,0.649581074420897
0.11,0.6467810091971166
0.12,0.6466466466466466
0.13,0.6430916898206617
0.14,0.6419313850063533
0.15,0.6386252885355219
0.16,0.6361046361046361
0.17,0.6291546715519498
0.18,0.627212681638045
0.19,0.6222695791156101
0.2,0.6177024482109227
0.21,0.6115342763873776
0.22,0.6061106523534269
0.23,0.6005555555555555
0.24,0.5956729418375949
0.25,0.5901360544217688
0.26,0.5887421022400919
0.27,0.5860168262257035
0.28,0.5818181818181819
0.29,0.5770142180094787
0.3,0.5745062836624776
0.31,0.5678863017840944
0.32,0.5634580012262416
0.33,0.5591064225876513
0.34,0.5564945226917059
0.35,0.5518553758325404
0.36,0.5469701827508817
0.37,0.542098445595855
0.38,0.5341614906832299
0.39,0.5270805812417437
0.4,0.5177494976557266
0.41,0.5120707242434547
0.42,0.5118515973892133
0.43,0.5046923879040667
0.44,0.4943422913719943
0.45,0.4866810655147588
0.46,0.47959183673469385
0.47,0.4729680029422582
0.48,0.4672619047619048
0.49,0.4618277547950357
0.5,0.4567948229920061
0.51,0.4522342064714946
0.52,0.4463519313304721
0.53,0.439447731755424
0.54,0.4310897435897436
0.55,0.4187930336168489
0.56,0.4158821121571838
0.57,0.41029900332225916
0.58,0.40454163162321277
0.59,0.397108843537415
0.6,0.3875701337936987
0.61,0.378827646544182
0.62,0.3721552878179384
0.63,0.36231884057971014
0.64,0.34997709573980756
0.65,0.33983286908078
0.66,0.32689590202543567
0.67,0.3194643711142994
0.68,0.306420233463035
0.69,0.301437778879524
0.7,0.29618473895582326
0.71,0.2893530310748854
0.72,0.27786417833074134
0.73,0.267087276550999
0.74,0.25772097976570824
0.75,0.244299674267101
0.76,0.22369878183831673
0.77,0.2075578116187253
0.78,0.20352472996020465
0.79,0.1861271676300578
0.8,0.17442545668827342
0.81,0.15947242206235013
0.82,0.1523579201934704
0.83,0.14013521819299324
0.84,0.132252027448534
0.85,0.12032932235592149
0.86,0.11032713277742144
0.87,0.09778357235984354
0.88,0.08614976805831677
0.89,0.07377598926894702
0.9,0.05994550408719346
0.91,0.05628002745367192
0.92,0.04444444444444444
0.93,0.029535864978902954
0.94,0.015613910574875796
0.95,0.01
0.96,0.007163323782234957
0.97,0.0028818443804034585
0.98,0.0014461315979754157
0.99,
1.0,
