game_id,label,fold,line___close_ou,line___h_close_line,line___h_ml,time_date___day_of_week,time_date___game_time_local,time_date___week_id
201511150ram,1,0,42.0,-7.5,-380,6.0,12.0,10.0
201511150ram,0,1,42.0,-7.5,-380,6.0,12.0,10.0
201511090sdg,1,0,49.5,-3.5,-200,0.0,18.0,9.0
201511090sdg,0,1,49.5,-3.5,-200,0.0,18.0,9.0
201510180det,1,2,45.0,-3.5,-200,6.0,13.0,6.0
201510180det,0,1,45.0,-3.5,-200,6.0,13.0,6.0
201512270tam,1,3,43.5,-3.0,-165,6.0,13.0,16.0
201512270tam,0,2,43.5,-3.0,-165,6.0,13.0,16.0
201510110kan,1,2,43.5,-9.0,-428,6.0,12.0,5.0
201510110kan,0,0,43.5,-9.0,-428,6.0,12.0,5.0
201512200min,1,0,44.0,-4.0,-200,6.0,12.0,15.0
201512200min,0,4,44.0,-4.0,-200,6.0,12.0,15.0
201509270sea,1,2,43.5,-16.5,-1350,6.0,13.0,3.0
201509270sea,0,3,43.5,-16.5,-1350,6.0,13.0,3.0
201601030gnb,1,2,44.0,-3.0,-155,6.0,20.0,17.0
201601030gnb,0,1,44.0,-3.0,-155,6.0,20.0,17.0
201511010chi,1,3,44.0,1.5,110,6.0,12.0,8.0
201511010chi,0,2,44.0,1.5,110,6.0,12.0,8.0
201512100crd,1,4,47.0,-10.0,-500,3.0,18.0,14.0
201512100crd,0,2,47.0,-10.0,-500,3.0,18.0,14.0
201510250det,1,4,44.5,-1.0,-120,6.0,13.0,7.0
201510250det,0,0,44.5,-1.0,-120,6.0,13.0,7.0
201511290atl,1,2,45.0,-2.0,-130,6.0,13.0,12.0
201511290atl,0,0,45.0,-2.0,-130,6.0,13.0,12.0
201510040den,1,2,43.5,-7.0,-305,6.0,14.0,4.0
201510040den,0,0,43.5,-7.0,-305,6.0,14.0,4.0
201511150rai,1,1,44.5,-3.0,-165,6.0,13.0,10.0
201511150rai,0,2,44.5,-3.0,-165,6.0,13.0,10.0
201509140sfo,1,3,42.5,3.0,135,0.0,19.0,1.0
201509140sfo,0,3,42.5,3.0,135,0.0,19.0,1.0
201609250gnb,1,1,47.5,-6.0,-270,6.0,12.0,3.0
201609250gnb,0,4,47.5,-6.0,-270,6.0,12.0,3.0
201610020chi,1,1,48.0,3.5,160,6.0,12.0,4.0
201610020chi,0,0,48.0,3.5,160,6.0,12.0,4.0
201609110clt,1,3,51.5,-3.0,-139,6.0,16.0,1.0
201609110clt,0,0,51.5,-3.0,-139,6.0,16.0,1.0
