Bin,Did Not Cover,Covered
0,0.0,0.0
1,0.0,1.0
2,0.0,8.0
3,0.0,20.0
4,0.0,53.0
5,0.0,106.0
6,0.0,106.0
7,1.0,138.0
8,0.0,148.0
9,0.0,171.0
10,1.0,166.0
11,0.0,135.0
12,1.0,152.0
13,1.0,128.0
14,0.0,119.0
15,2.0,104.0
16,1.0,88.0
17,1.0,103.0
18,5.0,80.0
19,2.0,60.0
20,3.0,57.0
21,6.0,60.0
22,3.0,44.0
23,2.0,41.0
24,2.0,43.0
25,4.0,30.0
26,9.0,36.0
27,2.0,22.0
28,5.0,18.0
29,9.0,14.0
30,4.0,23.0
31,12.0,22.0
32,9.0,16.0
33,7.0,13.0
34,10.0,17.0
35,10.0,19.0
36,6.0,10.0
37,13.0,16.0
38,12.0,15.0
39,11.0,13.0
40,11.0,11.0
41,12.0,13.0
42,12.0,14.0
43,14.0,16.0
44,9.0,9.0
45,13.0,16.0
46,8.0,7.0
47,6.0,6.0
48,18.0,18.0
49,17.0,16.0
50,9.0,8.0
51,12.0,9.0
52,11.0,11.0
53,22.0,20.0
54,12.0,11.0
55,14.0,12.0
56,13.0,12.0
57,19.0,19.0
58,8.0,7.0
59,18.0,18.0
60,4.0,4.0
61,11.0,8.0
62,13.0,10.0
63,20.0,13.0
64,14.0,6.0
65,12.0,8.0
66,13.0,7.0
67,15.0,11.0
68,11.0,6.0
69,22.0,9.0
70,17.0,6.0
71,17.0,4.0
72,24.0,5.0
73,31.0,9.0
74,38.0,11.0
75,29.0,4.0
76,37.0,6.0
77,33.0,4.0
78,49.0,6.0
79,54.0,6.0
80,63.0,2.0
81,76.0,4.0
82,72.0,4.0
83,85.0,4.0
84,115.0,3.0
85,100.0,3.0
86,141.0,3.0
87,126.0,2.0
88,139.0,4.0
89,133.0,0.0
90,163.0,1.0
91,158.0,2.0
92,168.0,0.0
93,141.0,0.0
94,120.0,0.0
95,92.0,0.0
96,43.0,0.0
97,29.0,0.0
98,3.0,0.0
99,0.0,0.0
100,0.0,0.0
