Percentile,Did Not Cover,Covered,success
0,0.0,29.0,1.0
1,0.0,57.0,1.0
2,0.0,57.0,1.0
3,0.0,57.0,1.0
4,0.0,56.0,1.0
5,0.0,57.0,1.0
6,1.0,56.0,0.9824561403508771
7,0.0,57.0,1.0
8,0.0,57.0,1.0
9,0.0,57.0,1.0
10,0.0,57.0,1.0
11,0.0,56.0,1.0
12,0.0,57.0,1.0
13,0.0,57.0,1.0
14,0.0,57.0,1.0
15,1.0,56.0,0.9824561403508771
16,0.0,57.0,1.0
17,0.0,57.0,1.0
18,0.0,56.0,1.0
19,0.0,57.0,1.0
20,1.0,56.0,0.9824561403508771
21,0.0,57.0,1.0
22,0.0,57.0,1.0
23,1.0,56.0,0.9824561403508771
24,0.0,57.0,1.0
25,0.0,56.0,1.0
26,1.0,56.0,0.9824561403508771
27,1.0,56.0,0.9824561403508771
28,1.0,56.0,0.9824561403508771
29,0.0,57.0,1.0
30,1.0,56.0,0.9824561403508771
31,4.0,53.0,0.9298245614035088
32,2.0,54.0,0.9642857142857143
33,2.0,55.0,0.9649122807017544
34,2.0,55.0,0.9649122807017544
35,4.0,53.0,0.9298245614035088
36,5.0,52.0,0.9122807017543859
37,2.0,55.0,0.9649122807017544
38,5.0,52.0,0.9122807017543859
39,10.0,46.0,0.8214285714285714
40,12.0,45.0,0.7894736842105263
41,15.0,42.0,0.7368421052631579
42,21.0,36.0,0.631578947368421
43,20.0,37.0,0.6491228070175439
44,25.0,32.0,0.5614035087719298
45,26.0,31.0,0.543859649122807
46,27.0,29.0,0.5178571428571429
47,27.0,30.0,0.5263157894736842
48,28.0,29.0,0.5087719298245614
49,29.0,28.0,0.49122807017543857
50,31.0,26.0,0.45614035087719296
51,29.0,28.0,0.49122807017543857
52,30.0,27.0,0.47368421052631576
53,29.0,28.0,0.49122807017543857
54,29.0,27.0,0.48214285714285715
55,34.0,23.0,0.40350877192982454
56,37.0,20.0,0.3508771929824561
57,35.0,22.0,0.38596491228070173
58,41.0,16.0,0.2807017543859649
59,47.0,10.0,0.17543859649122806
60,44.0,13.0,0.22807017543859648
61,47.0,9.0,0.16071428571428573
62,49.0,8.0,0.14035087719298245
63,52.0,5.0,0.08771929824561403
64,52.0,5.0,0.08771929824561403
65,53.0,4.0,0.07017543859649122
66,54.0,3.0,0.05263157894736842
67,54.0,3.0,0.05263157894736842
68,53.0,3.0,0.05357142857142857
69,53.0,4.0,0.07017543859649122
70,56.0,1.0,0.017543859649122806
71,57.0,0.0,0.0
72,55.0,2.0,0.03508771929824561
73,54.0,3.0,0.05263157894736842
74,56.0,1.0,0.017543859649122806
75,56.0,0.0,0.0
76,55.0,2.0,0.03508771929824561
77,57.0,0.0,0.0
78,55.0,2.0,0.03508771929824561
79,57.0,0.0,0.0
80,55.0,2.0,0.03508771929824561
81,55.0,2.0,0.03508771929824561
82,56.0,0.0,0.0
83,57.0,0.0,0.0
84,57.0,0.0,0.0
85,57.0,0.0,0.0
86,56.0,1.0,0.017543859649122806
87,56.0,1.0,0.017543859649122806
88,57.0,0.0,0.0
89,55.0,1.0,0.017857142857142856
90,57.0,0.0,0.0
91,57.0,0.0,0.0
92,57.0,0.0,0.0
93,57.0,0.0,0.0
94,57.0,0.0,0.0
95,57.0,0.0,0.0
96,56.0,0.0,0.0
97,57.0,0.0,0.0
98,57.0,0.0,0.0
99,57.0,0.0,0.0
100,28.0,0.0,0.0
