Model Score Threshold,Accuracy
0.0,0.5
0.01,0.5
0.02,0.49964825888146325
0.03,0.49701020049243755
0.04,0.49208582483292296
0.05,0.4778403095321843
0.06,0.4586704185719311
0.07,0.43756595145972565
0.08,0.41470277875483647
0.09,0.3798804080196975
0.1,0.3526204713330988
0.11,0.32606401688357367
0.12,0.3007386563489272
0.13,0.27734787196623284
0.14,0.25536405205768553
0.15,0.235138937741822
0.16,0.21860710517059445
0.17,0.2034822370735139
0.18,0.18818149841716497
0.19,0.1749912064720366
0.2,0.16567006683081253
0.21,0.157052409426662
0.22,0.1487864931410482
0.23,0.1405205768554344
0.24,0.13383749560323602
0.25,0.12926486106225818
0.26,0.12275765036932818
0.27,0.11994372142103411
0.28,0.11660218079493492
0.29,0.11484347520225115
0.3,0.11238128737249384
0.31,0.11062258177981006
0.32,0.10886387618712627
0.33,0.10816039395005277
0.34,0.10640168835736898
0.35,0.10517059444249033
0.36,0.10393950052761168
0.37,0.10341188884980654
0.38,0.10323601829053816
0.39,0.10235666549419627
0.4,0.10235666549419627
0.41,0.10235666549419627
0.42,0.10182905381639114
0.43,0.10165318325712276
0.44,0.10147731269785439
0.45,0.101301442138586
0.46,0.10112557157931762
0.47,0.10112557157931762
0.48,0.10112557157931762
0.49,0.101301442138586
0.5,0.101301442138586
0.51,0.10182905381639114
0.52,0.10200492437565951
0.53,0.10218079493492789
0.54,0.10253253605346466
0.55,0.10253253605346466
0.56,0.10306014773126979
0.57,0.10306014773126979
0.58,0.10306014773126979
0.59,0.10323601829053816
0.6,0.10323601829053816
0.61,0.10323601829053816
0.62,0.1037636299683433
0.63,0.10517059444249033
0.64,0.10640168835736898
0.65,0.10728104115371087
0.66,0.10816039395005277
0.67,0.10921561730566304
0.68,0.10991909954273654
0.69,0.11167780513542033
0.7,0.11308476960956736
0.71,0.11554695743932465
0.72,0.11836088638761871
0.73,0.12187829757298628
0.74,0.12609919099542738
0.75,0.13137530777347872
0.76,0.13577207175518818
0.77,0.14104818853323953
0.78,0.1463243053112909
0.79,0.15546957439324657
0.8,0.16373549067886037
0.81,0.1749912064720366
0.82,0.18906085121350685
0.83,0.20154766092156173
0.84,0.21983819908547308
0.85,0.23654590221596905
0.86,0.2576503693281745
0.87,0.2801618009145269
0.88,0.30478367921209987
0.89,0.32606401688357367
0.9,0.3540274358072459
0.91,0.38128737249384453
0.92,0.40960253253605344
0.93,0.43756595145972565
0.94,0.4607808652831516
0.95,0.48047836792121
0.96,0.4901512486809708
0.97,0.4975378121702427
0.98,0.4998241294407316
0.99,0.5
1.0,0.5
