Percentile,Did Not Cover,Covered,success
0,11,3,0.21428571428571427
1,24,4,0.14285714285714285
2,19,9,0.32142857142857145
3,19,9,0.32142857142857145
4,18,10,0.35714285714285715
5,19,9,0.32142857142857145
6,23,5,0.17857142857142858
7,20,8,0.2857142857142857
8,18,10,0.35714285714285715
9,15,13,0.4642857142857143
10,16,12,0.42857142857142855
11,20,8,0.2857142857142857
12,17,11,0.39285714285714285
13,17,11,0.39285714285714285
14,19,9,0.32142857142857145
15,12,16,0.5714285714285714
16,20,8,0.2857142857142857
17,14,14,0.5
18,14,14,0.5
19,15,13,0.4642857142857143
20,20,8,0.2857142857142857
21,15,13,0.4642857142857143
22,21,7,0.25
23,17,11,0.39285714285714285
24,14,14,0.5
25,12,16,0.5714285714285714
26,11,17,0.6071428571428571
27,18,10,0.35714285714285715
28,14,14,0.5
29,13,15,0.5357142857142857
30,14,14,0.5
31,14,14,0.5
32,17,11,0.39285714285714285
33,14,14,0.5
34,15,13,0.4642857142857143
35,15,13,0.4642857142857143
36,12,16,0.5714285714285714
37,14,14,0.5
38,8,20,0.7142857142857143
39,10,18,0.6428571428571429
40,14,14,0.5
41,13,15,0.5357142857142857
42,18,10,0.35714285714285715
43,15,13,0.4642857142857143
44,10,18,0.6428571428571429
45,8,20,0.7142857142857143
46,17,11,0.39285714285714285
47,12,16,0.5714285714285714
48,8,20,0.7142857142857143
49,13,15,0.5357142857142857
50,12,16,0.5714285714285714
51,7,21,0.75
52,14,14,0.5
53,12,16,0.5714285714285714
54,15,13,0.4642857142857143
55,10,18,0.6428571428571429
56,18,10,0.35714285714285715
57,9,19,0.6785714285714286
58,13,15,0.5357142857142857
59,14,14,0.5
60,9,19,0.6785714285714286
61,10,18,0.6428571428571429
62,6,22,0.7857142857142857
63,12,16,0.5714285714285714
64,15,13,0.4642857142857143
65,9,19,0.6785714285714286
66,6,22,0.7857142857142857
67,10,18,0.6428571428571429
68,8,20,0.7142857142857143
69,7,21,0.75
70,8,20,0.7142857142857143
71,8,20,0.7142857142857143
72,9,19,0.6785714285714286
73,8,20,0.7142857142857143
74,9,19,0.6785714285714286
75,7,21,0.75
76,7,21,0.75
77,5,23,0.8214285714285714
78,12,16,0.5714285714285714
79,10,18,0.6428571428571429
80,7,21,0.75
81,4,24,0.8571428571428571
82,12,16,0.5714285714285714
83,8,20,0.7142857142857143
84,12,16,0.5714285714285714
85,6,22,0.7857142857142857
86,7,21,0.75
87,6,22,0.7857142857142857
88,7,21,0.75
89,6,22,0.7857142857142857
90,8,20,0.7142857142857143
91,5,23,0.8214285714285714
92,7,21,0.75
93,6,22,0.7857142857142857
94,5,23,0.8214285714285714
95,6,22,0.7857142857142857
96,9,19,0.6785714285714286
97,5,23,0.8214285714285714
98,4,24,0.8571428571428571
99,4,24,0.8571428571428571
100,2,11,0.8461538461538461
