Importance,Feature
2.9085584380083387,line___h_ml
1.40848649162174,line___h_close_line
1.212843178529084,travel___h_tz_change_last_game
1.157749004779578,travel___v_days_since_last_game
1.0918579933006094,travel___h_days_since_last_game
1.0579380821945954,home_field___v_consecutive_visitor
1.048879245122939,time_date___game_time_local
1.0409814913535433,team_history___h_close_wr_past_5_games
1.0392334845692308,time_date___day_of_week
1.0094283115197806,home_field___h_consecutive_home
0.9784049078074709,travel___v_tz_change_last_game
0.9765466586501392,matchup___h_wr_ytd
0.975342881006356,team_history___v_close_wr_ytd
0.9583948948304484,team_history___v_close_wr_past_2_seasons
0.9538859968848921,line___close_ou
0.9513865606649555,travel___v_home_body_time
0.9504900279834859,team_history___h_close_wr_ytd
0.9412495576584098,home_field___v_visitor__close_wr_ytd
0.9298317170941122,time_date___week_id
0.9220410774235163,home_field___v_visitor__close_wr_last_8_games
0.9190309423894392,line___open_ou
0.8817840956039183,team_history___h_ovr_wr_ytd
0.8796463087196426,matchup___is_same_division
0.8768005685985371,home_field___h_home__close_wr_ytd
0.8762058856477013,team_history___h_ovr_wr_past_2_seasons
0.8703812699084911,weather___wind_mph
0.8678710573674117,home_field___v_visitor__ovr_wr_last_4_games
0.8592962947134433,home_field___h_home__ovr_wr_last_8_games
0.8552346971435643,team_history___h_close_wr_past_2_seasons
0.8535027664110666,weather___temperature
0.8342564212752237,travel___v_travel_from_last_game_decay
0.8321574652485927,home_field___h_home__close_wr_last_8_games
0.8294773909442601,travel___h_travel_from_last_game_decay
0.8253156327088678,weather___is_grass
0.8200278766714412,weather___humidity_pct
0.7916158098275288,travel___h_body_clock_from_last_wk
0.7757147820065214,weather___wind_chill
