game_id,label,fold,home_field___h_consecutive_home,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__ovr_wr_last_8_games,home_field___v_consecutive_visitor,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,line___close_ou,line___h_close_line,line___h_ml,line___open_ou,matchup___h_wr_ytd,matchup___is_same_division,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_ytd,time_date___day_of_week,time_date___game_time_local,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_game,travel___v_days_since_last_game,travel___v_home_body_time,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph
200709300dal,1,3,1,1.0,1.0,1.0,2,0.0,0.0,0.0,47.0,-13.0,-800,45.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,12.0,4.0,12.0,7.0,12.953220054488384,0.0,7.0,12.0,15.206613844567762,-1.0,58.0,1,0,85.0,85.0,0.0
200710070htx,1,4,1,1.0,0.75,0.5,1,0.5,0.25,0.0,43.5,-4.5,-215,42.5,0.5,0.0,0.75,0.75,0.75,0.5,0.5,0.25,0.25,6.0,12.0,5.0,13.0,7.0,11.73916379421038,-1.0,7.0,13.0,15.622924121917773,-1.0,0.0,1,1,68.0,68.0,0.0
200811090nyj,1,2,1,0.5,0.5,0.75,1,0.375,0.3125,0.25,43.0,-9.5,-400,45.0,0.5,0.0,0.4375,0.6,0.5,0.375,0.625,0.3125,0.3125,6.0,13.0,10.0,13.0,7.0,5.102278507882514,0.0,7.0,12.0,16.25840917502385,1.0,46.0,1,0,53.0,53.0,14.0
200910180nor,1,0,2,1.0,1.0,1.0,1,1.0,0.9,1.0,47.5,-3.0,-180,49.0,0.5,0.0,0.725,0.8,1.0,0.6,1.0,0.75,0.9,6.0,12.0,6.0,12.0,14.0,0.0,0.0,7.0,13.0,19.34174888992719,-1.0,0.0,1,0,68.0,68.0,0.0
200910250cle,0,4,1,0.5,0.5,0.0,1,0.5,0.6,0.5,41.5,9.0,320,43.0,0.5,0.0,0.45454545454545453,0.6,0.5,0.22727272727272727,0.16666666666666666,0.5,0.6,6.0,13.0,7.0,13.0,7.0,1.9892098294800242,0.0,7.0,12.0,7.032543750791744,1.0,45.0,1,1,50.0,50.0,12.0
200912060atl,0,4,2,0.8,0.6363636363636364,1.0,1,0.6,0.5454545454545454,0.5,43.5,4.0,190,44.5,0.5,0.0,0.5714285714285714,0.6,0.6363636363636364,0.6071428571428571,0.5454545454545454,0.6,0.5454545454545454,6.0,13.0,13.0,13.0,7.0,0.0,0.0,7.0,13.0,11.0901705423722,0.0,0.0,1,0,68.0,68.0,0.0
200912270cle,1,2,1,0.5,0.5714285714285714,0.16666666666666666,2,0.5714285714285714,0.5,0.5,37.0,-3.0,-180,37.5,0.5,0.0,0.5,1.0,0.5714285714285714,0.23333333333333334,0.21428571428571427,0.4666666666666667,0.5,6.0,13.0,16.0,12.0,7.0,13.018451979052662,1.0,7.0,10.0,23.38704637276798,2.0,84.0,1,1,34.0,30.0,6.0
201009120jax,1,4,1,0.5,0.5,0.5,1,0.5,0.5,0.5,41.5,-3.0,-175,41.5,0.5,0.0,0.3125,0.2,0.5,0.4375,0.5,0.5625,0.5,6.0,13.0,1.0,13.0,300.0,0.0,0.0,300.0,11.0,0.0,0.0,67.0,1,1,90.0,90.0,10.0
201012260kan,1,0,1,0.6666666666666666,0.5714285714285714,1.0,1,0.5,0.5,0.25,42.5,-4.0,-200,41.5,0.5,0.0,0.5,0.6,0.5714285714285714,0.43333333333333335,0.6428571428571429,0.43333333333333335,0.5,6.0,12.0,16.0,12.0,7.0,4.315388488942803,0.0,7.0,12.0,8.233557098848594,0.0,77.0,1,1,19.0,10.0,7.0
201109180was,1,0,2,1.0,1.0,1.0,1,0.5,1.0,0.5,45.0,-4.5,-220,42.5,0.5,0.0,0.6176470588235294,0.9,1.0,0.4117647058823529,1.0,0.35294117647058826,1.0,6.0,13.0,2.0,13.0,7.0,0.0,0.0,7.0,11.0,35.804609544610315,2.0,71.0,1,1,66.0,66.0,7.0
201111130atl,0,3,1,0.6666666666666666,0.5,0.6666666666666666,1,0.2,0.5555555555555556,0.5,50.0,-1.0,-115,51.5,0.5,1.0,0.6,0.6,0.5,0.72,0.625,0.4423076923076923,0.5555555555555556,6.0,13.0,10.0,13.0,7.0,6.255570415299627,0.0,7.0,12.0,6.837996272373936,1.0,0.0,1,0,68.0,68.0,0.0
201111270sea,0,3,1,0.75,0.65,0.5,1,0.4,0.4,0.25,37.0,-3.0,-155,37.5,0.5,0.0,0.5178571428571429,0.7,0.65,0.42857142857142855,0.4,0.5192307692307693,0.4,6.0,13.0,12.0,15.0,7.0,33.369099154704486,-2.0,7.0,16.0,46.28967384549171,-3.0,0.0,1,0,52.0,52.0,13.0
201212300was,1,0,1,0.5714285714285714,0.6666666666666666,0.5714285714285714,1,0.7142857142857143,0.4,0.75,49.0,-3.0,-175,50.0,1.0,1.0,0.5483870967741935,1.0,0.6666666666666666,0.45161290322580644,0.6,0.3709677419354839,0.4,6.0,21.0,17.0,21.0,7.0,1.9661519946586024,0.0,7.0,20.0,21.145480348187885,1.0,53.0,1,1,37.0,30.0,9.0
