Importance,Feature
0.14301887063966962,line___h_ml
0.058515185586510546,team_history___v_close_wr_past_2_seasons
0.05244349254870491,team_history___h_close_wr_past_2_seasons
0.049524748715252136,team_history___h_ovr_wr_past_2_seasons
0.0490555171914944,travel___v_travel_from_last_game_decay
0.046433476982118825,line___h_close_line
0.04235015111097112,line___close_ou
0.03975456314486523,line___open_ou
0.03736869383291535,travel___h_travel_from_last_game_decay
0.03460819332228775,weather___wind_mph
0.03350625994947483,weather___humidity_pct
0.027166376701213565,team_history___h_ovr_wr_ytd
0.02568436445720269,weather___temperature
0.02534931172452888,home_field___v_visitor__close_wr_last_8_games
0.025240517222344803,time_date___week_id
0.023666610953784334,team_history___h_close_wr_past_5_games
0.02237775186286133,weather___wind_chill
0.02141447086119942,travel___v_tz_change_last_game
0.02126816312851132,team_history___v_close_wr_ytd
0.020417443274913568,travel___v_home_body_time
0.019162529794572888,home_field___h_home__close_wr_last_8_games
0.018657050994946033,time_date___game_time_local
0.018425423630688564,home_field___v_visitor__close_wr_ytd
0.017063668693642238,home_field___h_home__ovr_wr_last_8_games
0.016180530256909964,team_history___h_close_wr_ytd
0.015620565960408199,home_field___h_home__close_wr_ytd
0.012743174673381128,travel___h_days_since_last_game
0.011983116716923137,home_field___v_visitor__ovr_wr_last_4_games
0.01191899461061844,travel___h_body_clock_from_last_wk
0.011304938661156269,travel___h_tz_change_last_game
0.010097423095946755,travel___v_days_since_last_game
0.010036637261717793,matchup___h_wr_ytd
0.006154415277846317,matchup___is_same_division
0.005888445406550481,home_field___h_consecutive_home
0.005606028530382285,time_date___day_of_week
0.005080119232420442,weather___is_grass
0.004912773991064336,home_field___v_consecutive_visitor
0.0,weather___is_dome
