Feature,full,1,0,3,2,4,Importance,StdDev
line___h_ml,0.15125167956935756,0.1601263262376519,0.1469679771298479,0.14947327804151195,0.14301887063966962,0.11834978475251008,0.14358724736023828,0.01546664469141815
team_history___v_close_wr_past_2_seasons,0.06332831762151901,0.05750064765767765,0.05842628315387705,0.054526543787752985,0.05851518558651055,0.05563103053600375,0.0569199381443644,0.0017706448399777523
team_history___h_close_wr_past_2_seasons,0.05553231088339388,0.0487337498876267,0.0477854795237477,0.0498894011001937,0.05244349254870491,0.06006852789012573,0.05178413019007975,0.004948485360125625
team_history___h_ovr_wr_past_2_seasons,0.05192900343555859,0.057724051496511414,0.056041620477543234,0.05902656267827621,0.049524748715252136,0.056537183242819165,0.05577083332208044,0.0036772620819694023
travel___v_travel_from_last_game_decay,0.05173762821415434,0.062331304464616336,0.05623449415846421,0.052621646211083055,0.0490555171914944,0.06064001663687835,0.05617659573250726,0.005503483979752119
line___close_ou,0.041113783064653305,0.03609227376744912,0.03649117754029981,0.039407406428381225,0.04235015111097112,0.03765933966913087,0.03840006970324643,0.002556185769850266
line___h_close_line,0.0362071357113823,0.032011868348829436,0.0470596320491637,0.03889639452945472,0.046433476982118825,0.07038854262915281,0.046957982907743896,0.014471110146267622
line___open_ou,0.03514649005425085,0.03742676092916807,0.03968910629468342,0.03422945073265125,0.03975456314486523,0.0369035053628056,0.037600677292834714,0.002284853610244976
travel___h_travel_from_last_game_decay,0.034236595639485765,0.036760021118776194,0.04494541136262583,0.035624053137210974,0.03736869383291535,0.028770747505153543,0.03669378539133638,0.005754738833943018
weather___humidity_pct,0.029769676629590475,0.028502758513001655,0.029295196306779632,0.03362945770618433,0.03350625994947483,0.033039923296810256,0.03159471915445014,0.002486503073257552
time_date___week_id,0.02927425595648373,0.025274285988415787,0.026675494921740955,0.029406433791204695,0.025240517222344803,0.03311100016915282,0.02794154641857181,0.003349696643267483
weather___wind_mph,0.027836994231790174,0.03411476991608328,0.031681801317992024,0.03234915273320038,0.03460819332228775,0.025914100414794482,0.03173360354087158,0.003470641894187374
team_history___h_close_wr_past_5_games,0.024464309291086613,0.028581527287174644,0.019610502064403585,0.02582483265497891,0.02366661095378433,0.019648761759846086,0.02346644694403751,0.003911813095914994
weather___temperature,0.024215913925818303,0.0235505727423656,0.0235038338831147,0.025227086485102662,0.02568436445720269,0.01908963642811894,0.023411098799180918,0.002606177173010542
