Importance,Feature
0.15125167956935756,line___h_ml
0.06332831762151901,team_history___v_close_wr_past_2_seasons
0.05553231088339388,team_history___h_close_wr_past_2_seasons
0.05192900343555859,team_history___h_ovr_wr_past_2_seasons
0.051737628214154334,travel___v_travel_from_last_game_decay
0.041113783064653305,line___close_ou
0.0362071357113823,line___h_close_line
0.03514649005425085,line___open_ou
0.03423659563948576,travel___h_travel_from_last_game_decay
0.029769676629590472,weather___humidity_pct
0.02927425595648373,time_date___week_id
0.027836994231790178,weather___wind_mph
0.024464309291086613,team_history___h_close_wr_past_5_games
0.024215913925818303,weather___temperature
0.023752132645237966,weather___wind_chill
0.023692607489805895,home_field___h_home__close_wr_last_8_games
0.02273816225189908,home_field___h_home__ovr_wr_last_8_games
0.022282465053245562,home_field___v_visitor__close_wr_last_8_games
0.02192022183357058,team_history___v_close_wr_ytd
0.02098779885928051,team_history___h_ovr_wr_ytd
0.020944754601618022,travel___v_home_body_time
0.020536142898380245,home_field___v_visitor__close_wr_ytd
0.017335108063738155,team_history___h_close_wr_ytd
0.01732624975779046,home_field___h_home__close_wr_ytd
0.016116349980841802,time_date___game_time_local
0.01588623849605544,travel___h_body_clock_from_last_wk
0.015440342415087942,travel___v_tz_change_last_game
0.013671687970113354,travel___h_days_since_last_game
0.013412832744914095,home_field___v_visitor__ovr_wr_last_4_games
0.009761049345682926,travel___v_days_since_last_game
0.009528225989566541,travel___h_tz_change_last_game
0.008181788920255213,home_field___h_consecutive_home
0.0077262824026283925,home_field___v_consecutive_visitor
0.00727931474084263,matchup___is_same_division
0.00530103132567283,time_date___day_of_week
0.005106960750349904,matchup___h_wr_ytd
0.005028157234897671,weather___is_grass
0.0,weather___is_dome
