game_id,label,fold,home_field___h_consecutive_home,home_field___h_home__close_wr_last_4_games,home_field___h_home__close_wr_last_8_games,home_field___h_home__close_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___h_home__open_wr_last_8_games,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_4_games,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,home_field___h_home__pfr_wr_ytd,home_field___h_is_home,home_field___v_consecutive_visitor,home_field___v_is_home,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,home_field___v_visitor__close_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__open_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,home_field___v_visitor__pfr_wr_ytd,line___close_ou,line___h_close_line,line___h_ml,line___h_open_line,line___h_pfr_line,line___open_ou,line___pfr_ou,line___v_ml,matchup___h_wr_past_2_seasons,matchup___h_wr_past_3_seasons,matchup___h_wr_past_5_games,matchup___h_wr_ytd,matchup___is_same_conf,matchup___is_same_division,team_history___h_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_close_wr_ytd,team_history___h_open_wr_past_2_seasons,team_history___h_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,team_history___h_open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_past_5_games,team_history___h_ovr_wr_ytd,team_history___h_pfr_wr_past_2_seasons,team_history___h_pfr_wr_past_3_seasons,team_history___h_pfr_wr_past_5_games,team_history___h_pfr_wr_ytd,team_history___v_close_wr_past_2_seasons,team_history___v_close_wr_past_3_seasons,team_history___v_close_wr_past_5_games,team_history___v_close_wr_ytd,team_history___v_open_wr_past_2_seasons,team_history___v_open_wr_past_3_seasons,team_history___v_open_wr_past_5_games,team_history___v_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_2_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_5_games,team_history___v_pfr_wr_ytd,time_date___day_of_week,time_date___game_time_eastern,time_date___game_time_local,time_date___is_playoffs,time_date___is_sunday,time_date___is_superbowl,time_date___week_id,travel___h_body_clock_from_last_wk,travel___h_days_since_last_game,travel___h_same_stadium_last_game,travel___h_travel_from_last_10_days,travel___h_travel_from_last_game,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_10_days,travel___h_tz_change_last_game,travel___v_body_clock_from_last_wk,travel___v_days_since_last_game,travel___v_dist_from_home,travel___v_home_body_time,travel___v_same_stadium_last_game,travel___v_travel_from_last_10_days,travel___v_travel_from_last_game,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,travel___v_tz_change_last_game,weather___humidity_pct,weather___is_dome,weather___is_grass,weather___temperature,weather___wind_chill,weather___wind_mph
200709300dal,1,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,-13.0,-800,-11.0,-13.0,45.0,47.0,600,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,12.0,0.0,1.0,0.0,4.0,12.0,7.0,0,12.953220054488384,12.953220054488384,12.953220054488384,0.0,0.0,13.0,7.0,8.87394091937173,12.0,0,15.206613844567762,15.206613844567762,15.206613844567762,-1.0,-1.0,58.0,1,0,85.0,85.0,0.0
200710070htx,0,4,1,1.0,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.75,1.0,1,0.0,0.5,0.5,0.25,0.5,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.25,43.5,-4.5,-215,-5.5,-5.5,42.5,43.5,185,0.5,0.5,0.5,0.5,1.0,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,6.0,13.0,12.0,0.0,1.0,0.0,5.0,13.0,7.0,0,11.73916379421038,11.73916379421038,11.73916379421038,-1.0,-1.0,13.0,7.0,15.622924121917773,13.0,0,15.622924121917773,15.622924121917773,15.622924121917773,-1.0,-1.0,0.0,1,1,68.0,68.0,0.0
200811090nyj,1,2,1,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.625,0.5,0.5,0.5,1.0,1,0.0,0.375,0.375,0.3125,0.375,0.375,0.3125,0.25,0.25,0.25,0.5,0.5,0.375,43.0,-9.5,-400,-9.0,-9.5,45.0,43.5,320,0.5,0.5,0.5,0.5,0.0,0.0,0.4375,0.4375,0.6,0.5,0.4375,0.4375,0.6,0.5,0.375,0.375,0.8,0.625,0.4375,0.4375,0.6,0.5,0.3125,0.3125,0.5,0.3125,0.25,0.25,0.5,0.3125,0.20833333333333334,0.20833333333333334,0.4,0.25,0.3333333333333333,0.3333333333333333,0.6,0.375,6.0,13.0,13.0,0.0,1.0,0.0,10.0,13.0,7.0,0,5.102278507882514,5.102278507882514,5.102278507882514,0.0,0.0,12.0,7.0,16.25840917502385,12.0,0,16.25840917502385,16.25840917502385,16.25840917502385,1.0,1.0,46.0,1,0,53.0,53.0,14.0
200910180nor,1,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,47.5,-3.0,-180,-3.5,-3.0,49.0,47.5,160,0.5,0.5,0.5,0.5,1.0,0.0,0.725,0.5694444444444444,0.8,1.0,0.775,0.5972222222222222,1.0,1.0,0.6,0.5277777777777778,0.8,1.0,0.725,0.5694444444444444,0.8,1.0,0.75,0.7261904761904762,0.9,0.9,0.7045454545454546,0.7023809523809523,0.9,0.9,0.7727272727272727,0.7380952380952381,1.0,1.0,0.75,0.7261904761904762,0.9,0.9,6.0,13.0,12.0,0.0,1.0,0.0,6.0,12.0,14.0,1,0.0,0.0,0.0,0.0,0.0,13.0,7.0,19.34174888992719,13.0,0,19.34174888992719,19.34174888992719,19.34174888992719,-1.0,-1.0,0.0,1,0,68.0,68.0,0.0
200910250cle,0,4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.16666666666666666,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,41.5,9.0,320,6.5,9.0,43.0,41.5,-400,0.5,0.5,0.5,0.5,0.0,0.0,0.45454545454545453,0.5789473684210527,0.6,0.5,0.45454545454545453,0.5394736842105263,0.6,0.5,0.22727272727272727,0.39473684210526316,0.2,0.16666666666666666,0.4318181818181818,0.5657894736842105,0.6,0.5,0.5,0.6153846153846154,0.6,0.6,0.5238095238095238,0.6153846153846154,0.6,0.6,0.42857142857142855,0.5897435897435898,0.6,0.6,0.5238095238095238,0.6282051282051282,0.6,0.6,6.0,13.0,13.0,0.0,1.0,0.0,7.0,13.0,7.0,0,1.9892098294800242,1.9892098294800242,1.9892098294800242,0.0,0.0,12.0,7.0,7.032543750791744,12.0,0,7.032543750791744,7.032543750791744,7.032543750791744,1.0,1.0,45.0,1,1,50.0,50.0,12.0
200912060atl,0,4,2,0.75,0.8,0.6363636363636364,0.75,0.8,0.6363636363636364,1.0,1.0,0.5454545454545454,0.75,0.8,0.6363636363636364,1.0,1,0.0,0.5,0.6,0.5454545454545454,0.5,0.6,0.5454545454545454,0.5,0.6,0.6363636363636364,0.5,0.6,0.5454545454545454,43.5,4.0,190,3.0,4.0,44.5,43.5,-230,0.0,0.0,0.0,0.5,1.0,0.0,0.5714285714285714,0.5340909090909091,0.6,0.6363636363636364,0.6071428571428571,0.5681818181818182,0.6,0.6363636363636364,0.6071428571428571,0.4772727272727273,0.4,0.5454545454545454,0.5714285714285714,0.5454545454545454,0.6,0.6363636363636364,0.6,0.5652173913043478,0.4,0.5454545454545454,0.6,0.5652173913043478,0.4,0.5454545454545454,0.6166666666666667,0.5760869565217391,0.6,0.6363636363636364,0.6,0.5652173913043478,0.4,0.5454545454545454,6.0,13.0,13.0,0.0,1.0,0.0,13.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,13.0,7.0,11.0901705423722,13.0,0,11.0901705423722,11.0901705423722,11.0901705423722,0.0,0.0,0.0,1,0,68.0,68.0,0.0
200912270cle,1,2,1,0.5,0.5,0.5714285714285714,0.5,0.5,0.5714285714285714,0.25,0.16666666666666666,0.21428571428571427,0.5,0.5,0.5714285714285714,1.0,2,0.0,0.75,0.5714285714285714,0.5,0.75,0.5714285714285714,0.5,0.5,0.42857142857142855,0.35714285714285715,0.75,0.5714285714285714,0.5,37.0,-3.0,-180,-3.0,-3.0,37.5,37.0,160,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5869565217391305,1.0,0.5714285714285714,0.5,0.5543478260869565,1.0,0.5714285714285714,0.23333333333333334,0.3695652173913043,0.4,0.21428571428571427,0.48333333333333334,0.5760869565217391,1.0,0.5714285714285714,0.4666666666666667,0.43478260869565216,0.6,0.5,0.4666666666666667,0.43478260869565216,0.6,0.5,0.3333333333333333,0.30434782608695654,0.6,0.35714285714285715,0.4666666666666667,0.43478260869565216,0.6,0.5,6.0,13.0,13.0,0.0,1.0,0.0,16.0,12.0,7.0,0,13.018451979052662,13.018451979052662,13.018451979052662,1.0,1.0,11.0,7.0,40.674765407657866,10.0,0,23.38704637276798,23.38704637276798,23.38704637276798,2.0,2.0,84.0,1,1,34.0,30.0,6.0
201009120jax,1,4,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,41.5,-3.0,-175,-1.5,-3.0,41.5,41.5,155,0.5,1.0,1.0,0.5,1.0,0.0,0.3125,0.28125,0.2,0.5,0.375,0.34375,0.4,0.5,0.4375,0.375,0.2,0.5,0.3125,0.28125,0.2,0.5,0.5625,0.421875,0.4,0.5,0.5625,0.453125,0.4,0.5,0.5,0.5,0.2,0.5,0.5625,0.421875,0.4,0.5,6.0,13.0,13.0,0.0,1.0,0.0,1.0,13.0,300.0,0,0.0,0.0,0.0,0.0,0.0,13.0,300.0,25.20868315184273,11.0,0,0.0,0.0,0.0,0.0,0.0,67.0,1,1,90.0,90.0,10.0
201012260kan,1,0,1,0.5,0.6666666666666666,0.5714285714285714,0.5,0.6666666666666666,0.5,1.0,1.0,0.6428571428571429,0.5,0.6666666666666666,0.5714285714285714,1.0,1,0.0,0.25,0.5,0.5,0.25,0.5,0.4642857142857143,0.25,0.5,0.42857142857142855,0.25,0.5,0.5,42.5,-4.0,-200,-5.0,-4.0,41.5,42.5,170,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.6,0.5714285714285714,0.4666666666666667,0.4782608695652174,0.6,0.5,0.43333333333333335,0.32608695652173914,0.8,0.6428571428571429,0.5,0.5,0.6,0.5714285714285714,0.43333333333333335,0.5425531914893617,0.4,0.5,0.4666666666666667,0.5425531914893617,0.3,0.4642857142857143,0.4666666666666667,0.574468085106383,0.2,0.42857142857142855,0.4666666666666667,0.5531914893617021,0.4,0.5,6.0,13.0,12.0,0.0,1.0,0.0,16.0,12.0,7.0,0,4.315388488942803,4.315388488942803,4.315388488942803,0.0,0.0,12.0,7.0,8.233557098848594,12.0,0,8.233557098848594,8.233557098848594,8.233557098848594,0.0,0.0,77.0,1,1,19.0,10.0,7.0
201109180was,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,45.0,-4.5,-220,-4.0,-4.5,42.5,45.0,180,0.5,0.5,1.0,0.5,1.0,0.0,0.6176470588235294,0.5303030303030303,0.9,1.0,0.6470588235294118,0.5606060606060606,0.9,1.0,0.4117647058823529,0.3333333333333333,0.4,1.0,0.6470588235294118,0.5454545454545454,1.0,1.0,0.35294117647058826,0.45714285714285713,0.6,1.0,0.35294117647058826,0.42857142857142855,0.6,1.0,0.35294117647058826,0.4857142857142857,0.6,1.0,0.3235294117647059,0.4142857142857143,0.5,0.5,6.0,13.0,13.0,0.0,1.0,0.0,2.0,13.0,7.0,1,0.0,0.0,0.0,0.0,0.0,11.0,7.0,35.804609544610315,11.0,0,35.804609544610315,35.804609544610315,35.804609544610315,2.0,2.0,71.0,1,1,66.0,66.0,7.0
