game_id,label,score
200910180nor,1,0.41262951
201012260kan,1,0.26634094
201109180was,0,0.64192337
201212300was,1,0.5024582
201310200car,1,0.4698599
201510250kan,1,0.62089527
200712020was,0,0.4004917
200811160sfo,1,0.12610902
201010100clt,1,0.75007194
201010310det,1,0.45657977
201611130car,0,0.915017
200709090jax,0,0.92468077
200712090oti,0,0.50977355
200810120nor,1,0.7527116
200812140mia,0,0.38495684
201309080clt,0,0.096500576
201510260crd,0,0.10045681
201711120chi,0,0.41605273
200810050nyg,1,0.5557214
200811170buf,0,0.6411396
201012120car,0,0.093868
201509130sdg,1,0.7239872
201609250tam,0,0.4069939
201109110crd,1,0.30276284
201401120den,0,0.13434236
201512060rai,0,0.16670412
200811270det,0,0.9165481
201010240rav,0,0.52812135
201411090nor,0,0.5472287
201712240nwe,1,0.5327722
200809210sea,1,0.79832894
201210220chi,0,0.2961827
201212090buf,0,0.7660843
201510120sdg,0,0.52285576
201611060sdg,1,0.19155413
201310060dal,1,0.7077437
200811230jax,0,0.3988459
200912060crd,1,0.8743682
201010310ram,1,0.40451974
201112170tam,0,0.69613457
201209160pit,1,0.37138134
201309090sdg,1,0.731575
201312290nwe,1,0.21946341
201411300atl,1,0.22348295
201010170tam,0,0.19136827
201201140sfo,1,0.46907622
201212160cle,0,0.21031156
201301050htx,1,0.50317866
201410120min,0,0.15341564
201509270sea,1,0.17026542
200812070gnb,0,0.59036046
201311240cle,0,0.7447204
201411300htx,1,0.27628613
201412150chi,0,0.83470553
200812280nor,0,0.5847603
201212100nwe,1,0.92649615
201212300det,1,0.68294376
201309290oti,1,0.23377927
201609250buf,1,0.29118615
200909270tam,0,0.34885845
200912130htx,1,0.24417393
201409070tam,0,0.68227744
201411020min,1,0.029503962
201612040atl,0,0.944175
201209090chi,1,0.66202724
201612110tam,1,0.12756555
201710220min,1,0.33850566
201712240chi,1,0.15765348
201612240chi,0,0.5076703
201701070htx,1,0.32525426
201712100kan,1,0.38454297
201712170nyg,1,0.9184293
200910110crd,1,0.38431942
201512130phi,1,0.50512975
200911080nyg,0,0.82643086
200910180rai,1,0.4890201
201212230den,1,0.7713813
201312220det,0,0.80677503
201509270car,0,0.21407479
201610160nwe,1,0.34376454
200801130clt,0,0.4853814
200912270mia,0,0.26753163
201112040nor,1,0.9433424
201411020pit,1,0.2620261
201609250dal,1,0.8903265
201212090min,1,0.8327898
201312290min,1,0.42276227
201509200car,1,0.51233685
201511080nwe,1,0.29907912
200811020buf,0,0.66648364
201312290sea,1,0.9342331
201610090clt,1,0.13929538
201611240clt,0,0.16016883
201110020jax,0,0.65095943
201312220gnb,0,0.45796558
201512200min,1,0.28686836
201601030sfo,1,0.57903063
201312020sea,1,0.67651737
201409290kan,1,0.6857928
201712160det,1,0.38051078
200712300phi,0,0.81301445
200910250mia,0,0.48374376
200912210was,0,0.27646172
201110160atl,1,0.47411448
201211250nor,0,0.5458874
201309150buf,1,0.7773093
201309220mia,1,0.67886007
201410120atl,0,0.6476727
201411200rai,1,0.5900282
201512270kan,0,0.80593437
201601030htx,1,0.12776694
201611270htx,0,0.3463507
201411160crd,1,0.5939265
201412280htx,0,0.2150409
201601030kan,0,0.5932378
200711250sdg,1,0.63124186
201011070sea,0,0.30970886
201110090buf,1,0.20949975
201510180min,1,0.41004777
200811020chi,0,0.494857
201011280sea,0,0.9247714
200810050dal,0,0.3692799
201110160was,0,0.40141279
201609180car,1,0.5693044
201710080phi,1,0.7316388
200710070nor,0,0.381983
201010240gnb,1,0.5462852
201011140tam,1,0.09311625
201111200chi,1,0.4676284
200809070phi,1,0.52908003
200911010gnb,0,0.47387868
200912200sea,0,0.8893874
200709160oti,1,0.85152036
200812140dal,1,0.39913404
201109250chi,0,0.6851756
201310130min,0,0.3806356
201611060cle,0,0.06756042
201711260ram,1,0.1880363
200710010cin,0,0.82639086
201209270rav,0,0.4986434
201711260nwe,1,0.32414806
200810050gnb,0,0.6605802
201101020clt,0,0.3289769
201110020cin,1,0.62935287
201710080cle,0,0.11940595
201311240ram,1,0.74057573
201601240car,1,0.8556729
200801120nwe,0,0.61259246
201111070phi,0,0.5341152
201112110car,0,0.2892559
201710290nor,1,0.5542202
200709230pit,1,0.49776024
201012260rai,0,0.51561743
201110030tam,0,0.34640232
201210210tam,0,0.67425805
201309220pit,0,0.91344815
200910180pit,0,0.50758624
200912130tam,0,0.4024079
201209230cle,0,0.68325925
201409140car,1,0.8737965
201410120mia,0,0.8277364
201111060nwe,0,0.3141726
201210210nyg,0,0.4880513
201609110rav,1,0.1867191
