Bin,Did Not Cover,Covered
0,0.0,0.0
1,1.0,0.0
2,1.0,4.0
3,4.0,3.0
4,5.0,6.0
5,5.0,8.0
6,6.0,3.0
7,5.0,6.0
8,18.0,18.0
9,12.0,10.0
10,19.0,6.0
11,12.0,13.0
12,13.0,16.0
13,11.0,13.0
14,12.0,16.0
15,13.0,15.0
16,19.0,15.0
17,19.0,19.0
18,23.0,13.0
19,18.0,20.0
20,15.0,12.0
21,18.0,18.0
22,18.0,15.0
23,20.0,13.0
24,13.0,21.0
25,20.0,15.0
26,18.0,15.0
27,16.0,19.0
28,20.0,13.0
29,16.0,16.0
30,20.0,25.0
31,21.0,24.0
32,24.0,7.0
33,16.0,27.0
34,11.0,26.0
35,15.0,10.0
36,16.0,14.0
37,20.0,11.0
38,22.0,16.0
39,19.0,12.0
40,21.0,18.0
41,19.0,24.0
42,14.0,20.0
43,13.0,14.0
44,14.0,20.0
45,14.0,20.0
46,10.0,18.0
47,9.0,18.0
48,27.0,17.0
49,24.0,20.0
50,18.0,23.0
51,23.0,18.0
52,18.0,15.0
53,12.0,18.0
54,16.0,17.0
55,14.0,29.0
56,17.0,12.0
57,19.0,16.0
58,17.0,22.0
59,24.0,15.0
60,22.0,16.0
61,12.0,13.0
62,21.0,19.0
63,14.0,20.0
64,17.0,9.0
65,12.0,15.0
66,11.0,14.0
67,17.0,18.0
68,17.0,16.0
69,21.0,23.0
70,23.0,18.0
71,19.0,19.0
72,10.0,15.0
73,19.0,12.0
74,13.0,10.0
75,14.0,12.0
76,15.0,6.0
77,14.0,14.0
78,10.0,12.0
79,18.0,14.0
80,11.0,9.0
81,16.0,14.0
82,15.0,20.0
83,17.0,13.0
84,8.0,12.0
85,13.0,8.0
86,12.0,8.0
87,10.0,8.0
88,12.0,11.0
89,15.0,12.0
90,15.0,6.0
91,10.0,17.0
92,9.0,12.0
93,2.0,8.0
94,5.0,7.0
95,5.0,8.0
96,4.0,1.0
97,3.0,3.0
98,1.0,1.0
99,0.0,0.0
100,0.0,0.0
