Percentile,Did Not Cover,Covered,success
0,7,7,0.5
1,12,16,0.5714285714285714
2,16,12,0.42857142857142855
3,12,16,0.5714285714285714
4,19,9,0.32142857142857145
5,18,10,0.35714285714285715
6,12,16,0.5714285714285714
7,11,17,0.6071428571428571
8,15,13,0.4642857142857143
9,11,17,0.6071428571428571
10,15,13,0.4642857142857143
11,16,12,0.42857142857142855
12,14,14,0.5
13,16,12,0.42857142857142855
14,15,13,0.4642857142857143
15,15,13,0.4642857142857143
16,16,12,0.42857142857142855
17,13,15,0.5357142857142857
18,16,12,0.42857142857142855
19,16,12,0.42857142857142855
20,12,16,0.5714285714285714
21,13,15,0.5357142857142857
22,17,11,0.39285714285714285
23,17,11,0.39285714285714285
24,10,18,0.6428571428571429
25,15,13,0.4642857142857143
26,17,11,0.39285714285714285
27,13,15,0.5357142857142857
28,12,16,0.5714285714285714
29,12,16,0.5714285714285714
30,18,10,0.35714285714285715
31,20,8,0.2857142857142857
32,7,21,0.75
33,12,16,0.5714285714285714
34,9,19,0.6785714285714286
35,16,12,0.42857142857142855
36,21,7,0.25
37,14,14,0.5
38,16,12,0.42857142857142855
39,18,10,0.35714285714285715
40,15,13,0.4642857142857143
41,17,11,0.39285714285714285
42,9,19,0.6785714285714286
43,12,16,0.5714285714285714
44,11,17,0.6071428571428571
45,14,14,0.5
46,9,19,0.6785714285714286
47,10,18,0.6428571428571429
48,10,18,0.6428571428571429
49,17,11,0.39285714285714285
50,15,13,0.4642857142857143
51,15,13,0.4642857142857143
52,17,11,0.39285714285714285
53,11,17,0.6071428571428571
54,15,13,0.4642857142857143
55,15,13,0.4642857142857143
56,15,13,0.4642857142857143
57,10,18,0.6428571428571429
58,15,13,0.4642857142857143
59,8,20,0.7142857142857143
60,13,15,0.5357142857142857
61,17,11,0.39285714285714285
62,12,16,0.5714285714285714
63,13,15,0.5357142857142857
64,17,11,0.39285714285714285
65,17,11,0.39285714285714285
66,16,12,0.42857142857142855
67,12,16,0.5714285714285714
68,14,14,0.5
69,15,13,0.4642857142857143
70,15,13,0.4642857142857143
71,13,15,0.5357142857142857
72,16,12,0.42857142857142855
73,10,18,0.6428571428571429
74,18,10,0.35714285714285715
75,12,16,0.5714285714285714
76,11,17,0.6071428571428571
77,17,11,0.39285714285714285
78,15,13,0.4642857142857143
79,14,14,0.5
80,12,16,0.5714285714285714
81,15,13,0.4642857142857143
82,17,11,0.39285714285714285
83,15,13,0.4642857142857143
84,19,9,0.32142857142857145
85,13,15,0.5357142857142857
86,14,14,0.5
87,17,11,0.39285714285714285
88,15,13,0.4642857142857143
89,12,16,0.5714285714285714
90,14,14,0.5
91,14,14,0.5
92,17,11,0.39285714285714285
93,17,11,0.39285714285714285
94,11,17,0.6071428571428571
95,18,10,0.35714285714285715
96,19,9,0.32142857142857145
97,10,18,0.6428571428571429
98,11,17,0.6071428571428571
99,10,18,0.6428571428571429
100,8,5,0.38461538461538464
