Importance,Feature
1.48942375,time_date___is_playoffs
1.48530277508,weather___wind_chill
1.460715861765455,home_field___v_visitor__close_wr_ytd
1.378296931280769,matchup___h_wr_ytd
1.3256200720719016,travel___h_body_clock_from_last_wk
1.3066605804583333,travel___h_tz_change_last_game
1.2992237851384623,home_field___v_visitor__ovr_wr_last_4_games
1.2940797751309001,home_field___v_visitor__open_wr_ytd
1.2818713296276925,home_field___v_visitor__open_wr_last_4_games
1.2473496847610959,team_history___v_close_wr_ytd
1.236132516073256,team_history___h_close_wr_past_3_seasons
1.2322812665819673,travel___v_tz_change_last_10_days
1.2234393294649346,team_history___v_open_wr_ytd
1.2056093289218395,team_history___h_pfr_wr_past_3_seasons
1.2003977407854673,line___v_ml
1.1995410199600003,home_field___h_home__pfr_wr_last_4_games
1.1914658754548564,team_history___h_ovr_wr_past_2_seasons
1.1892832788516128,travel___v_days_since_last_game
1.180624571489884,team_history___h_ovr_wr_past_3_seasons
1.1769737881357447,home_field___v_visitor__close_wr_last_4_games
1.174377125523333,home_field___v_visitor__pfr_wr_last_4_games
1.1729602257854164,home_field___h_home__open_wr_ytd
1.1712932929456132,team_history___v_ovr_wr_past_5_games
1.170563832224736,team_history___h_open_wr_past_2_seasons
1.1659720020637798,home_field___v_visitor__ovr_wr_ytd
1.1654301604963455,matchup___h_wr_past_2_seasons
1.1618326354687056,weather___temperature
1.1589218491564517,team_history___h_ovr_wr_ytd
1.1524033138836058,home_field___v_consecutive_visitor
1.144952267083929,home_field___h_home__close_wr_ytd
1.1415575528666668,team_history___h_close_wr_ytd
1.137975105697468,team_history___v_ovr_wr_ytd
1.122680211456667,team_history___v_pfr_wr_ytd
1.1210686421232146,travel___h_tz_change_last_10_days
1.120303576298342,line___pfr_ou
1.116884322923108,team_history___h_ovr_wr_past_5_games
1.107286569421374,team_history___h_open_wr_past_3_seasons
1.1052888435628863,line___close_ou
1.1008900840216218,travel___h_days_since_last_game
1.0970449366447212,home_field___h_home__ovr_wr_ytd
1.0928546436419093,team_history___v_open_wr_past_2_seasons
1.091485775870787,home_field___v_visitor__pfr_wr_ytd
1.0790344786515156,team_history___h_pfr_wr_ytd
1.0725186308990706,line___h_ml
1.0660223720615385,team_history___h_close_wr_past_5_games
1.062819013632104,team_history___v_open_wr_past_3_seasons
1.0611708821782073,home_field___h_home__open_wr_last_8_games
1.061048452897345,team_history___h_open_wr_past_5_games
1.0598984474840654,travel___h_travel_from_last_game
1.0586311888728208,line___open_ou
1.0582406074668969,weather___humidity_pct
1.0506609022169286,time_date___day_of_week
1.0489294757939653,travel___h_travel_from_last_10_days
1.0448907785531247,matchup___is_same_conf
1.0367094531021737,matchup___h_wr_past_5_games
1.0357578896653703,home_field___h_home__open_wr_last_4_games
1.0355039972231586,home_field___v_visitor__open_wr_last_8_games
1.0338383094041266,weather___is_grass
1.0314604695142369,weather___wind_mph
1.0239106705504895,home_field___v_visitor__ovr_wr_last_8_games
1.0193456301683164,home_field___h_home__pfr_wr_ytd
1.0170195358657697,team_history___v_close_wr_past_2_seasons
1.0165947727776112,team_history___v_ovr_wr_past_3_seasons
1.0098570596505705,travel___v_dist_from_home
0.9997629272113402,home_field___v_visitor__close_wr_last_8_games
0.9996462526024509,team_history___v_pfr_wr_past_2_seasons
0.9950547615837935,team_history___v_pfr_wr_past_3_seasons
0.9945652871181249,team_history___v_close_wr_past_3_seasons
0.9923466743522728,team_history___h_pfr_wr_past_5_games
0.9898042138340752,travel___v_travel_from_last_game
0.9829917415134447,matchup___h_wr_past_3_seasons
0.9816515070591835,home_field___v_visitor__pfr_wr_last_8_games
0.9803675371092133,team_history___v_ovr_wr_past_2_seasons
0.9801585280476192,home_field___h_consecutive_home
0.9749597300214953,travel___v_body_clock_from_last_wk
0.963953132885185,time_date___game_time_eastern
0.9600503218895183,team_history___h_close_wr_past_2_seasons
0.9574532450130436,home_field___h_home__close_wr_last_4_games
0.9574216429158647,team_history___h_pfr_wr_past_2_seasons
0.9374321247928572,travel___v_tz_change_last_game
0.9346245176764154,home_field___h_home__close_wr_last_8_games
0.9286163143031368,line___h_open_line
0.9283781172830508,home_field___h_home__ovr_wr_last_4_games
0.9098633593156198,travel___v_travel_from_last_10_days
0.9023136183198263,line___h_close_line
0.9015489641431914,line___h_pfr_line
0.89953528931229,home_field___h_home__ovr_wr_last_8_games
0.8852467363606746,time_date___game_time_local
0.8683288132253163,travel___v_travel_from_last_game_decay
0.8627681723366665,team_history___v_pfr_wr_past_5_games
0.8530176023354649,travel___v_home_body_time
0.84409656135474,travel___h_travel_from_last_game_decay
0.8040621649595012,time_date___week_id
0.7759719250190424,team_history___v_close_wr_past_5_games
0.7509487158345395,team_history___v_open_wr_past_5_games
0.6932719011975,matchup___is_same_division
0.6484875221878872,team_history___h_open_wr_ytd
0.6408552660666668,travel___h_same_stadium_last_game
0.5476902755367345,home_field___h_home__pfr_wr_last_8_games
