Importance,Feature
1.6809116264571429,travel___h_same_stadium_last_game
1.5842377697650605,team_history___v_close_wr_ytd
1.486093695634066,travel___h_days_since_last_game
1.413182612980328,travel___h_tz_change_last_10_days
1.3162294796787883,travel___h_tz_change_last_game
1.3118347347151735,line___h_pfr_line
1.3055932012180793,line___v_ml
1.289059615025,matchup___h_wr_ytd
1.2876867616910088,team_history___v_close_wr_past_2_seasons
1.285392510524885,home_field___h_home__close_wr_ytd
1.261837704796034,line___h_ml
1.2570459605737059,home_field___v_visitor__close_wr_last_8_games
1.2494802360067792,travel___v_tz_change_last_10_days
1.2371727195266353,travel___v_home_body_time
1.2280233394798004,travel___v_travel_from_last_game
1.2166750747963073,team_history___h_close_wr_past_5_games
1.2165671509157894,team_history___v_open_wr_past_5_games
1.2149913792935065,home_field___v_visitor__ovr_wr_last_8_games
1.207591402870411,home_field___h_home__ovr_wr_ytd
1.2057384191704925,team_history___h_ovr_wr_past_2_seasons
1.2009345647894734,weather___wind_chill
1.1933039049988106,weather___is_grass
1.1867444940875969,team_history___h_close_wr_past_3_seasons
1.182675660441032,team_history___h_pfr_wr_past_3_seasons
1.1714447226520959,team_history___h_close_wr_past_2_seasons
1.1688291971660514,time_date___week_id
1.1643870403804881,matchup___is_same_conf
1.1630184275182351,team_history___h_ovr_wr_ytd
1.161904983814622,travel___h_travel_from_last_10_days
1.1614406513666664,time_date___day_of_week
1.1599527583090525,home_field___h_home__pfr_wr_ytd
1.1540592306161483,team_history___v_close_wr_past_3_seasons
1.1518826069105264,home_field___v_visitor__pfr_wr_last_4_games
1.1518482589243157,travel___v_dist_from_home
1.1456769908177782,team_history___v_ovr_wr_ytd
1.1422395491900983,time_date___game_time_local
1.1352841368942859,home_field___v_visitor__pfr_wr_last_8_games
1.134754567278463,travel___v_days_since_last_game
1.1272619949031883,team_history___v_pfr_wr_past_2_seasons
1.1244080629780537,home_field___h_home__ovr_wr_last_8_games
1.1087875707305397,team_history___v_open_wr_past_3_seasons
1.1075987388933628,travel___v_travel_from_last_10_days
1.101825630793937,travel___h_travel_from_last_game
1.1003501520904984,home_field___v_visitor__open_wr_ytd
1.1000430139178348,line___open_ou
1.0977895659633332,team_history___v_pfr_wr_past_5_games
1.0970856206795452,home_field___h_home__ovr_wr_last_4_games
1.0932631310487813,home_field___h_home__close_wr_last_4_games
1.0929224315509087,time_date___game_time_eastern
1.0925771158107378,home_field___v_visitor__ovr_wr_ytd
1.0879964005054341,home_field___h_home__open_wr_last_4_games
1.0817999272873784,home_field___h_home__open_wr_ytd
1.0799525822345772,travel___h_travel_from_last_game_decay
1.0735827284796473,matchup___h_wr_past_2_seasons
1.0656354473487073,weather___temperature
1.0600120769130723,matchup___h_wr_past_3_seasons
1.0561737246552094,travel___v_travel_from_last_game_decay
1.051333000507041,team_history___v_open_wr_past_2_seasons
1.0500327113123469,team_history___h_ovr_wr_past_3_seasons
1.0490145819499996,team_history___h_pfr_wr_past_5_games
1.045816478948136,team_history___h_open_wr_past_3_seasons
1.0440557036942861,team_history___h_pfr_wr_past_2_seasons
1.0431656908225564,travel___h_body_clock_from_last_wk
1.034845237046678,line___close_ou
1.0301854160332446,team_history___h_open_wr_past_2_seasons
1.0295321299247968,team_history___v_ovr_wr_past_2_seasons
1.0248800522,home_field___v_visitor__open_wr_last_4_games
1.0200661911332578,matchup___h_wr_past_5_games
1.0197021823631578,team_history___h_close_wr_ytd
1.0162181991304347,travel___v_tz_change_last_game
1.0149327206780225,team_history___v_ovr_wr_past_3_seasons
1.008548073480855,line___h_close_line
1.0078416295886594,home_field___v_visitor__close_wr_ytd
0.9984037880000001,time_date___is_playoffs
0.9921854476582245,home_field___v_visitor__pfr_wr_ytd
0.9913057868107653,weather___wind_mph
0.9892937342999999,home_field___h_home__pfr_wr_last_4_games
0.9834965782545277,weather___humidity_pct
0.9803635619572382,home_field___v_visitor__close_wr_last_4_games
0.9718804734890681,team_history___v_ovr_wr_past_5_games
0.9652150014759038,line___pfr_ou
0.9641502651259796,home_field___h_home__pfr_wr_last_8_games
0.9635194831505715,team_history___v_open_wr_ytd
0.9618063494366801,home_field___v_visitor__open_wr_last_8_games
0.9571577149303274,team_history___v_close_wr_past_5_games
0.9392416629614173,team_history___h_open_wr_past_5_games
0.9388232967583946,home_field___h_home__close_wr_last_8_games
0.9381709235749999,team_history___h_pfr_wr_ytd
0.92898584255548,travel___v_body_clock_from_last_wk
0.9282189238810957,team_history___h_open_wr_ytd
0.9273925451204893,team_history___v_pfr_wr_past_3_seasons
0.9220050406941178,home_field___v_consecutive_visitor
0.8917194955265922,line___h_open_line
0.8802465407761861,team_history___h_ovr_wr_past_5_games
0.8545528414689189,matchup___is_same_division
0.8523410098016001,home_field___v_visitor__ovr_wr_last_4_games
0.8318212681103662,home_field___h_home__open_wr_last_8_games
0.7559082943333336,team_history___v_pfr_wr_ytd
0.6555908561112821,home_field___h_consecutive_home
