Model Score Threshold,Accuracy
0.0,0.4930332261521972
0.01,0.4933904966059307
0.02,0.4933904966059307
0.03,0.4930332261521972
0.04,0.49231868524473027
0.05,0.49267595569846373
0.06,0.49231868524473027
0.07,0.49231868524473027
0.08,0.49231868524473027
0.09,0.49124687388352983
0.1,0.4962486602357985
0.11,0.4983922829581994
0.12,0.49589138978206504
0.13,0.49517684887459806
0.14,0.49446230796713114
0.15,0.4930332261521972
0.16,0.49374776705966417
0.17,0.49446230796713114
0.18,0.49446230796713114
0.19,0.49803501250446586
0.2,0.4976777420507324
0.21,0.4991068238656663
0.22,0.5005359056806002
0.23,0.5008931761343337
0.24,0.5012504465880672
0.25,0.49982136477313327
0.26,0.5019649874955341
0.27,0.5030367988567346
0.28,0.5019649874955341
0.29,0.5048231511254019
0.3,0.5016077170418006
0.31,0.5008931761343337
0.32,0.5026795284030011
0.33,0.5066095033940693
0.34,0.5001786352268668
0.35,0.49732047159699894
0.36,0.4983922829581994
0.37,0.5030367988567346
0.38,0.5037513397642015
0.39,0.5066095033940693
0.4,0.5062522329403358
0.41,0.5105394783851376
0.42,0.5073240443015362
0.43,0.504108610217935
0.44,0.5037513397642015
0.45,0.49874955341193283
0.46,0.49732047159699894
0.47,0.4941050375133976
0.48,0.4962486602357985
0.49,0.4994640943193998
0.5,0.49982136477313327
0.51,0.4991068238656663
0.52,0.4991068238656663
0.53,0.4994640943193998
0.54,0.4969632011432655
0.55,0.4941050375133976
0.56,0.4933904966059307
0.57,0.49446230796713114
0.58,0.4930332261521972
0.59,0.4948195784208646
0.6,0.49874955341193283
0.61,0.4976777420507324
0.62,0.49874955341193283
0.63,0.49803501250446586
0.64,0.4983922829581994
0.65,0.49803501250446586
0.66,0.49982136477313327
0.67,0.49660593068953196
0.68,0.49874955341193283
0.69,0.4976777420507324
0.7,0.49803501250446586
0.71,0.49874955341193283
0.72,0.4976777420507324
0.73,0.49803501250446586
0.74,0.5005359056806002
0.75,0.5005359056806002
0.76,0.5026795284030011
0.77,0.5044658806716684
0.78,0.5030367988567346
0.79,0.5037513397642015
0.8,0.5058949624866024
0.81,0.5058949624866024
0.82,0.5055376920328689
0.83,0.5069667738478028
0.84,0.5048231511254019
0.85,0.5080385852090032
0.86,0.5080385852090032
0.87,0.5101822079314041
0.88,0.5073240443015362
0.89,0.510896748838871
0.9,0.5123258306538049
0.91,0.5112540192926045
0.92,0.510896748838871
0.93,0.5087531261164702
0.94,0.5076813147552698
0.95,0.5058949624866024
0.96,0.5069667738478028
0.97,0.5073240443015362
0.98,0.5066095033940693
0.99,0.5069667738478028
1.0,0.5069667738478028
