Bin,Did Not Cover,Covered
0,4.0,5.0
1,16.0,10.0
2,16.0,16.0
3,16.0,16.0
4,17.0,7.0
5,20.0,13.0
6,16.0,20.0
7,16.0,10.0
8,10.0,14.0
9,17.0,15.0
10,13.0,20.0
11,17.0,7.0
12,14.0,14.0
13,6.0,11.0
14,15.0,15.0
15,14.0,14.0
16,10.0,9.0
17,10.0,10.0
18,6.0,9.0
19,10.0,8.0
20,12.0,6.0
21,9.0,7.0
22,14.0,11.0
23,8.0,8.0
24,13.0,7.0
25,11.0,12.0
26,8.0,11.0
27,12.0,9.0
28,7.0,4.0
29,9.0,7.0
30,5.0,8.0
31,8.0,5.0
32,12.0,11.0
33,11.0,19.0
34,7.0,4.0
35,7.0,11.0
36,12.0,8.0
37,9.0,10.0
38,7.0,7.0
39,10.0,11.0
40,10.0,7.0
41,14.0,11.0
42,3.0,6.0
43,6.0,6.0
44,11.0,9.0
45,11.0,7.0
46,10.0,9.0
47,8.0,6.0
48,9.0,8.0
49,8.0,4.0
50,8.0,11.0
51,5.0,5.0
52,9.0,8.0
53,6.0,13.0
54,11.0,6.0
55,10.0,7.0
56,6.0,7.0
57,5.0,2.0
58,9.0,9.0
59,5.0,6.0
60,14.0,7.0
61,9.0,5.0
62,10.0,13.0
63,5.0,5.0
64,9.0,10.0
65,12.0,8.0
66,7.0,14.0
67,5.0,12.0
68,15.0,8.0
69,7.0,6.0
70,11.0,8.0
71,5.0,5.0
72,4.0,9.0
73,10.0,6.0
74,7.0,10.0
75,4.0,7.0
76,12.0,8.0
77,3.0,7.0
78,6.0,6.0
79,6.0,17.0
80,5.0,11.0
81,11.0,9.0
82,6.0,9.0
83,6.0,10.0
84,6.0,9.0
85,7.0,8.0
86,14.0,4.0
87,13.0,3.0
88,10.0,12.0
89,13.0,5.0
90,12.0,9.0
91,9.0,4.0
92,10.0,10.0
93,5.0,12.0
94,10.0,11.0
95,7.0,7.0
96,13.0,8.0
97,10.0,6.0
98,9.0,6.0
99,6.0,10.0
100,0.0,1.0
