Percentile,Did Not Cover,Covered,success
0,4,6,0.6
1,12,6,0.3333333333333333
2,12,7,0.3684210526315789
3,8,11,0.5789473684210527
4,9,9,0.5
5,8,11,0.5789473684210527
6,15,4,0.21052631578947367
7,13,5,0.2777777777777778
8,8,11,0.5789473684210527
9,7,11,0.6111111111111112
10,13,6,0.3157894736842105
11,9,10,0.5263157894736842
12,9,9,0.5
13,9,10,0.5263157894736842
14,9,9,0.5
15,12,7,0.3684210526315789
16,5,14,0.7368421052631579
17,12,6,0.3333333333333333
18,11,8,0.42105263157894735
19,9,10,0.5263157894736842
20,5,13,0.7222222222222222
21,11,8,0.42105263157894735
22,8,10,0.5555555555555556
23,11,8,0.42105263157894735
24,9,10,0.5263157894736842
25,10,8,0.4444444444444444
26,8,11,0.5789473684210527
27,13,6,0.3157894736842105
28,11,7,0.3888888888888889
29,9,10,0.5263157894736842
30,11,7,0.3888888888888889
31,11,8,0.42105263157894735
32,10,9,0.47368421052631576
33,9,9,0.5
34,8,11,0.5789473684210527
35,11,8,0.42105263157894735
36,11,7,0.3888888888888889
37,10,9,0.47368421052631576
38,9,9,0.5
39,8,11,0.5789473684210527
40,8,11,0.5789473684210527
41,9,9,0.5
42,11,8,0.42105263157894735
43,7,11,0.6111111111111112
44,11,8,0.42105263157894735
45,9,10,0.5263157894736842
46,9,9,0.5
47,9,10,0.5263157894736842
48,10,9,0.47368421052631576
49,11,7,0.3888888888888889
50,7,12,0.631578947368421
51,11,7,0.3888888888888889
52,11,8,0.42105263157894735
53,12,7,0.3684210526315789
54,10,8,0.4444444444444444
55,11,8,0.42105263157894735
56,8,11,0.5789473684210527
57,10,8,0.4444444444444444
58,7,12,0.631578947368421
59,7,11,0.6111111111111112
60,14,5,0.2631578947368421
61,8,11,0.5789473684210527
62,12,6,0.3333333333333333
63,8,11,0.5789473684210527
64,13,5,0.2777777777777778
65,11,8,0.42105263157894735
66,8,11,0.5789473684210527
67,11,7,0.3888888888888889
68,9,10,0.5263157894736842
69,9,10,0.5263157894736842
70,6,12,0.6666666666666666
71,8,11,0.5789473684210527
72,11,7,0.3888888888888889
73,10,9,0.47368421052631576
74,10,9,0.47368421052631576
75,8,10,0.5555555555555556
76,11,8,0.42105263157894735
77,8,11,0.5789473684210527
78,9,9,0.5
79,8,11,0.5789473684210527
80,7,11,0.6111111111111112
81,7,12,0.631578947368421
82,5,14,0.7368421052631579
83,9,9,0.5
84,10,9,0.47368421052631576
85,7,12,0.631578947368421
86,7,11,0.6111111111111112
87,15,4,0.21052631578947367
88,13,5,0.2777777777777778
89,9,10,0.5263157894736842
90,13,6,0.3157894736842105
91,12,6,0.3333333333333333
92,11,8,0.42105263157894735
93,9,9,0.5
94,7,12,0.631578947368421
95,8,11,0.5789473684210527
96,9,9,0.5
97,13,6,0.3157894736842105
98,12,7,0.3684210526315789
99,8,10,0.5555555555555556
100,3,6,0.6666666666666666
