Importance,Feature
0.033357963115382694,rankings___v__defensedvoa
0.02806168878482851,rankings___h__s_t_dvoa
0.02101949774380841,rankings___h__s_t_rank
0.020879964213091524,team_history___v_open_wr_past_2_seasons
0.02037921607291261,rankings___v__offensedvoa
0.019988825887444047,rankings___v__estim_winrate
0.01895478518583948,rankings___h__defensedvoa
0.018329454389843736,travel___v_dist_from_home
0.018315880734890114,rankings___v__s_t_dvoa
0.017456310050793754,line___open_ou
0.017285036770866322,team_history___v_ovr_wr_past_3_seasons
0.017169679253589466,travel___v_travel_from_last_game_decay
0.017000546412444337,team_history___h_open_wr_past_3_seasons
0.01677716593472515,weather___humidity_pct
0.016352629391768455,weather___wind_mph
0.01567252596740753,team_history___h_ovr_wr_past_3_seasons
0.015563109659359517,rankings___h__offensedvoa
0.014865069307824514,line___h_open_line
0.014846607717963376,rankings___v__totaldvoa
0.014425161100940137,rankings___v__off_rank
0.013954422251203809,team_history___v_ovr_wr_past_2_seasons
0.013793589153118326,team_history___h_close_wr_past_2_seasons
0.013578484017951465,rankings___v__s_t_rank
0.013473750438619609,team_history___h_close_wr_past_3_seasons
0.012909757534541199,team_history___h_pfr_wr_past_3_seasons
0.012856883541155285,rankings___h__estim_winrate
0.012836807795642035,team_history___h_pfr_wr_past_2_seasons
0.01243461363030697,team_history___h_open_wr_past_2_seasons
0.012420002109467596,weather___wind_chill
0.012418634577690539,team_history___v_close_wr_past_2_seasons
0.012403410194823898,line___pfr_ou
0.012194643716918203,rankings___h__def_rank
0.011777515804837938,team_history___v_open_wr_past_3_seasons
0.011421660467624651,team_history___v_pfr_wr_past_3_seasons
0.011272059547062006,rankings___h__dave_or_wtddvoa
0.011112289325070648,travel___v_travel_from_last_10_days
0.010986219173439015,weather___temperature
0.01054398594981682,team_history___v_close_wr_past_3_seasons
0.010507988561360568,team_history___v_pfr_wr_past_2_seasons
0.010203663682527871,line___h_ml
0.010160434254149678,travel___h_travel_from_last_game_decay
0.010123352452801297,home_field___h_home__ovr_wr_ytd
0.010037409259096228,travel___h_travel_from_last_game
0.010034694610185402,rankings___h__off_rank
0.00998249395914468,rankings___v__dave_or_wtddvoa
0.00908114348999169,team_history___h_ovr_wr_past_2_seasons
0.008888629633655418,line___v_ml
0.008868120539681324,rankings___v__def_rank
0.008599520164043093,travel___v_travel_from_last_game
0.008373228876302399,team_history___v_ovr_wr_ytd
0.008170789886248168,home_field___h_home__open_wr_ytd
0.008124884841538626,home_field___v_visitor__ovr_wr_last_8_games
0.007899642206875718,line___close_ou
0.007858941326610854,time_date___week_id
0.007827687854865425,matchup___h_wr_past_5_games
0.007723619863004091,team_history___v_ovr_wr_past_5_games
0.007550287002807578,home_field___v_visitor__open_wr_last_8_games
0.0074323769573530155,team_history___h_ovr_wr_ytd
0.007367521904893995,home_field___h_home__close_wr_last_8_games
0.007213421629681367,home_field___v_visitor__close_wr_ytd
0.007147499231412359,team_history___v_close_wr_past_5_games
0.006820150614061376,team_history___v_pfr_wr_ytd
0.006614646412536418,home_field___h_home__ovr_wr_last_8_games
0.00647129443488652,travel___h_days_since_last_game
0.005988047237547293,home_field___v_visitor__close_wr_last_4_games
0.005923038915265148,rankings___h__totaldvoa
0.005915205923743064,home_field___v_visitor__open_wr_ytd
