Feature,full,1,0,3,2,4,Importance,StdDev
rankings___h__s_t_dvoa,0.02863397327606465,0.02659376356493284,0.026070303555354408,0.022933434617139654,0.02806168878482851,0.02557554027059273,0.02584694615856963,0.0018758278388346186
rankings___v__defensedvoa,0.028557812345914237,0.021681403353126683,0.017157054370875585,0.027740749639983287,0.033357963115382694,0.027296377359253568,0.025446709567724362,0.006208215074798405
team_history___v_ovr_wr_past_3_seasons,0.02751761276888274,0.015880117526419248,0.017334034681493467,0.017037472161495933,0.017285036770866322,0.019166017194011682,0.01734053566685733,0.001179001042138139
rankings___h__defensedvoa,0.020692940610369342,0.02358617139519936,0.017499097223407728,0.015252656215135453,0.01895478518583948,0.028656728510048787,0.020789887705926165,0.005351733890758459
travel___v_dist_from_home,0.02054838795057677,0.024040604313461958,0.026668534852168968,0.02058789759051937,0.01832945438984374,0.023138275231232238,0.022552953275445254,0.003209092776745591
team_history___v_ovr_wr_past_2_seasons,0.0203794028969923,0.01938535170426216,0.015970131662473453,0.019029381676679127,0.013954422251203807,0.013142474675091323,0.016296352393941973,0.0028526026372431112
travel___v_travel_from_last_game_decay,0.01853878457497144,0.0115664474042697,0.009123302926970488,0.016763873298339203,0.017169679253589466,0.015477302287433025,0.014020121034120375,0.0035203200325599894
team_history___h_ovr_wr_past_3_seasons,0.01846176189122784,0.014998959686777844,0.017425534347470538,0.017765910570998328,0.015672525967407532,0.013338428918350636,0.015840271898200975,0.0018177117869350701
team_history___v_open_wr_past_3_seasons,0.017820807079646027,0.015014159970017994,0.0192956122179342,0.018635170984648224,0.011777515804837938,0.014824231205627912,0.015909338036613253,0.0030800882151421766
rankings___v__s_t_dvoa,0.017519015902198634,0.017439538403240622,0.012903862825255756,0.022619586172973976,0.018315880734890117,0.020252015719502872,0.018306176771172668,0.003616902752297842
rankings___h__dave_or_wtddvoa,0.01720711476868686,0.019289574343258044,0.007913325166399034,0.01289555124705128,0.011272059547062006,0.016580400720841642,0.013590182204922401,0.004458345774494711
rankings___v__offensedvoa,0.016885290873973464,0.0183056206868507,0.018335412425483928,0.02183213124792244,0.02037921607291261,0.019862165901000484,0.019742909266834033,0.0014858333354618402
team_history___h_open_wr_past_3_seasons,0.01623132685989252,0.01237461161772248,0.011643629444784729,0.015096495298696644,0.017000546412444337,0.012312100149329524,0.013685476584595544,0.0022778460939959088
team_history___v_open_wr_past_2_seasons,0.01543584229642816,0.017402746785212645,0.016673306643287682,0.012101105566662385,0.020879964213091524,0.010298502554023124,0.015471125152455472,0.00425866760288178
team_history___v_close_wr_past_3_seasons,0.015412993514401722,0.014258976035595824,0.010442875484183172,0.014209904328540053,0.01054398594981682,0.010924381765440793,0.012076024712715332,0.001978592892978741
team_history___v_pfr_wr_past_3_seasons,0.015380593938973303,0.012407147205077164,0.009454427338640691,0.006343254302389171,0.011421660467624651,0.017462142460948262,0.01141772635493599,0.004096301526927129
rankings___v__estim_winrate,0.014920061298708575,0.015264782508030688,0.023697252886918797,0.018387477456994226,0.019988825887444047,0.014781928507018153,0.01842405344928118,0.003657271861334342
rankings___h__s_t_rank,0.013644788010972742,0.01326027820218441,0.020012274994006526,0.013611522817671863,0.02101949774380841,0.01633818597452439,0.016848351946439116,0.0035714307929660912
weather___humidity_pct,0.013417099236802996,0.012951288181957324,0.01544483347802668,0.013621236357267287,0.01677716593472515,0.013892649424193448,0.014537434675233978,0.0015500642549576588
rankings___v__totaldvoa,0.013351395054388029,0.007982403118204908,0.008456973865347734,0.013782875386482549,0.014846607717963376,0.010735826153897728,0.011160937248379257,0.0030843939050693063
travel___v_travel_from_last_10_days,0.013132714649850965,0.012434596120431686,0.01634039709994118,0.011167371700480424,0.011112289325070648,0.017303698346754968,0.01367167051853578,0.002943893061970806
rankings___v__off_rank,0.013080706012752885,0.012760300838495369,0.008919423399002424,0.014491086059122828,0.014425161100940137,0.01389504334101412,0.012898202947714977,0.002329821466711689
rankings___h__totaldvoa,0.013076110558707924,0.017092676876844144,0.012475340859911468,0.010462543223346207,0.005923038915265148,0.01639338189318181,0.012469396353709755,0.004573146505565466
rankings___v__dave_or_wtddvoa,0.01304264754094058,0.012677835307245278,0.00970103978864487,0.014630589368624922,0.009982493959144679,0.010789578412465122,0.011556307367224974,0.002074597217897295
line___close_ou,0.013017693980564165,0.014313271283969153,0.010593484145596228,0.010052781779830076,0.007899642206875718,0.015127544369826568,0.01159734475721955,0.0030374735090640368
rankings___v__def_rank,0.012928012171135385,0.01074390060739811,0.01249763435322467,0.015664598750683836,0.008868120539681324,0.006785419461860435,0.010911934742569674,0.0034035201908352557
line___open_ou,0.01278440156644638,0.012606374449551821,0.015591427277578004,0.018244037564498824,0.017456310050793754,0.012990514448683913,0.015377732758221265,0.002547601336733853
team_history___h_pfr_wr_past_3_seasons,0.012521449849770546,0.012443274230627372,0.009975054045861336,0.009674116524812005,0.0129097575345412,0.011014051444238648,0.011203250756016112,0.0014432895272771256
weather___wind_mph,0.01206898701654515,0.00943174583275955,0.017125633046578537,0.01587984013779576,0.016352629391768455,0.016476878396782642,0.015053345361136988,0.0031738949423523316
line___v_ml,0.012016917826953324,0.008981027941575945,0.007845889856016027,0.008436009648597306,0.008888629633655418,0.009728154035535988,0.008775942223076138,0.0006967814400674076
time_date___week_id,0.011126263322485895,0.011798201644929342,0.010015553595584977,0.01179758496072406,0.007858941326610854,0.010614387264008316,0.010416933758371511,0.0016246167178680239
team_history___h_open_wr_past_2_seasons,0.011018217084557115,0.012584078390899674,0.011497379795124765,0.010693538335769763,0.01243461363030697,0.009500360269081987,0.011341994084236631,0.0012818780736971978
team_history___v_close_wr_past_2_seasons,0.010848933042880815,0.015603029035215118,0.017150392256705716,0.009643603234059248,0.01241863457769054,0.012655658474764112,0.013494263515686947,0.002936919730716009
rankings___h__offensedvoa,0.010746218723013666,0.012105867330042637,0.017425664935046936,0.011431184808309808,0.015563109659359515,0.01850330025050181,0.015005825396652142,0.00314588348553585
weather___wind_chill,0.01065610014882452,0.010225398063898937,0.009774490571881957,0.007417105351019739,0.012420002109467596,0.008080297732514178,0.00958345876575648,0.00196514233349665
rankings___h__estim_winrate,0.010636085698936136,0.008930985994165554,0.014590296398554437,0.01443787338834143,0.012856883541155285,0.00786061410465826,0.011735330685374995,0.0031460381760673225
rankings___h__off_rank,0.010602501154116713,0.010415005145461984,0.01320024664360362,0.008094267665572249,0.0100346946101854,0.013455810549003168,0.011040004922765283,0.0022683365408839237
team_history___h_close_wr_past_2_seasons,0.0106009798730387,0.015625615814418688,0.011203073772221215,0.01234115057753313,0.013793589153118327,0.016441622477553132,0.013881010358968899,0.002188066360590054
team_history___h_ovr_wr_past_2_seasons,0.010362497379353977,0.009131435358306744,0.011091142632134435,0.02108750222239279,0.009081143489991691,0.01839532128613753,0.01375730899779264,0.00560393978757394
team_history___v_pfr_wr_past_2_seasons,0.010019640678756393,0.015252172029584931,0.010744546783821784,0.007702943102531999,0.010507988561360568,0.009709486954407556,0.010783427486341368,0.0027699182482618413
team_history___h_pfr_wr_past_2_seasons,0.010004678784532295,0.010842248644016502,0.007926363959552018,0.01633292440485276,0.012836807795642035,0.010506596800368126,0.011688988320886289,0.0031287374359028333
rankings___h__def_rank,0.009889061836953792,0.009904417559356492,0.007905637438476555,0.010707069912409429,0.012194643716918205,0.009832229033503429,0.010108799532132822,0.001555704008925801
rankings___v__s_t_rank,0.009853186430415441,0.015311803211367516,0.010840183494648324,0.017942237142056852,0.013578484017951463,0.01179363782271282,0.013893269137747393,0.0028388049463092487
team_history___h_close_wr_past_3_seasons,0.009510900957757206,0.010950077652669752,0.01165199708708605,0.011062872215809157,0.013473750438619607,0.011553479050759851,0.011738435288988883,0.0010162298300498583
travel___h_travel_from_last_game,0.00949586967542794,0.012060735119546598,0.011274700666993386,0.0069005330382388725,0.010037409259096228,0.008520035140830738,0.009758682644941164,0.0020843890938470394
home_field___v_visitor__ovr_wr_ytd,0.009485535606760298,0.009289746331191692,0.004214519307219272,0.006854614514191985,0.004555470508879288,0.005525832074545314,0.006088036547205511,0.0020623704019754594
home_field___v_visitor__close_wr_last_4_games,0.009444795518009105,0.006786306420552115,0.011825886214919245,0.006435729880326739,0.005988047237547293,0.002786319002691282,0.006764457751207336,0.003246344045957146
line___pfr_ou,0.009233830151763892,0.009932265517889272,0.0123665349221551,0.012208727524163687,0.012403410194823898,0.010143937371358705,0.011410975106078133,0.0012576165508056125
home_field___v_visitor__pfr_wr_last_8_games,0.008963180290472869,0.0026684015050079837,0.005328513548103543,0.0037811917847848744,0.004020038419283354,0.0041626566694766545,0.0039921603853312814,0.0009503330030819642
line___h_open_line,0.008946427915371388,0.0090752061613678,0.011064660645737313,0.007746056377724869,0.014865069307824512,0.008509466607993055,0.01025209182012951,0.0028566521279590282
travel___v_travel_from_last_game,0.008409035881582148,0.011580955825737677,0.01450036327472279,0.009496314105879837,0.008599520164043094,0.013884437690810077,0.011612318212238695,0.0026009008182006892
weather___temperature,0.00828897243680408,0.010820775788461488,0.00684304403819581,0.010792952637123605,0.010986219173439015,0.008041383264606036,0.00949687498036519,0.0019243149152184192
team_history___v_ovr_wr_ytd,0.0077255920491018405,0.00762781352072765,0.01009512890830978,0.003754620255675553,0.008373228876302399,0.009545324431372024,0.00787922319847748,0.002500286448823412
team_history___v_open_wr_ytd,0.007493927256755201,0.0066619339726478434,0.008412054528863346,0.009650610312930444,0.0030982649796338487,0.008305006618029102,0.0072255740824209175,0.0025399843390903807
travel___h_body_clock_from_last_wk,0.007413743728204925,0.0061925229269037116,0.0041428778568099655,0.006593096629998326,0.004162803668244875,0.005852303093523085,0.005388720835095993,0.0011582880681197494
home_field___v_visitor__open_wr_last_8_games,0.0072566349770569845,0.004601804022558871,0.0056327404297281955,0.0046670944417965725,0.007550287002807578,0.007003688213148557,0.005891122822007955,0.0013433146905349716
home_field___h_home__close_wr_ytd,0.00662460943910384,0.005799451405711286,0.004498587285852215,0.003798206209035857,0.005772817932559999,0.0053927761656560064,0.005052367799763073,0.0008764494162437993
team_history___v_open_wr_past_5_games,0.0064008503118432435,0.007877134920359203,0.004348829479899831,0.0043565878116448315,0.003933127507027653,0.00695066356251375,0.005493268656289053,0.001791831678361258
line___h_pfr_line,0.006394675107330679,0.003648200162086064,0.0041355097048855136,0.0046663794443137785,0.0055260980353322026,0.0072121975992004185,0.005037676989163595,0.0014008487186732538
travel___h_travel_from_last_game_decay,0.00633555629957425,0.008254314374526615,0.0069717973647368155,0.00821387171346744,0.010160434254149678,0.009995597288359056,0.00871920299904792,0.0013445480192880981
team_history___h_close_wr_past_5_games,0.00626353491467339,0.0057633601652048025,0.0031522159410220197,0.0063814627282054465,0.0017440592691735034,0.0060861403503757495,0.004625447690796304,0.002060635076959025
home_field___h_home__open_wr_last_4_games,0.006198594357572883,0.0031056500787171987,0.0040021653884174824,0.006161416715107317,0.0037824474926851405,0.0016443562477983964,0.003739207184545107,0.0016376744796136869
travel___v_tz_change_last_10_days,0.006140655249006983,0.002903262415867739,0.0035883141163074437,0.003137725034520985,0.0021962669644228897,0.0021232108379442088,0.0027897558738126534,0.0006261335538364099
home_field___h_home__open_wr_ytd,0.006118390863650341,0.006448880261215599,0.0064791030298237545,0.0076541093144836155,0.008170789886248168,0.004713050024362033,0.006693186503226633,0.0013353971464615685
home_field___h_home__ovr_wr_ytd,0.006077092397583747,0.00507795717923526,0.006880368582163941,0.004091737225634585,0.010123352452801295,0.006610185535171663,0.006556720195001349,0.0022962661855476067
home_field___h_home__open_wr_last_8_games,0.005951606969092543,0.0067906557383652045,0.007769688743038675,0.007472524569382427,0.005238419933350981,0.009187830107815985,0.007291823818390654,0.0014425224830735463
team_history___h_open_wr_past_5_games,0.005940269166658838,0.004344230028048835,0.004827613090684508,0.0071370263317950735,0.0055328377910072255,0.00564044565252198,0.005496430578811525,0.0010593043935604304
travel___v_home_body_time,0.005745220394423357,0.009425959022196279,0.008787133829763271,0.008210589405865788,0.002850988480634777,0.0036010365850714476,0.006575141464706313,0.0030987649241771688
travel___h_travel_from_last_10_days,0.005664167545968391,0.007323232926002604,0.006278815355320615,0.003448438913354222,0.005449141872983683,0.006841336906758776,0.00586819319488398,0.001521806053272299
home_field___v_visitor__ovr_wr_last_8_games,0.005589154165802393,0.005713622661594939,0.005355953708376922,0.008052952207383548,0.008124884841538626,0.006311040274798076,0.006711690738738422,0.0013029565875177188
home_field___v_visitor__pfr_wr_ytd,0.005507938773992655,0.003957476201166844,0.00421337514716386,0.0066776025177240255,0.004732286694108372,0.010588579898760114,0.006033864091784644,0.0027604123620971733
home_field___v_consecutive_visitor,0.005282237405566475,0.0012236317305802885,0.005271512961269896,0.002681505912368891,0.0038764339944723962,0.0024312377883897386,0.003096864477416242,0.0015379700265911649
travel___v_body_clock_from_last_wk,0.005227441956940871,0.005029669034478008,0.005194048975612147,0.005681498819328491,0.002701898504130393,0.003561699423192453,0.004433762951348298,0.0012499832954407037
team_history___v_pfr_wr_ytd,0.005155571996994929,0.005667607546490191,0.00596661311507768,0.008617337024082655,0.006820150614061376,0.004547802812363139,0.006323902222415008,0.0015181413782951582
team_history___h_pfr_wr_ytd,0.005130307806910867,0.003332515283870717,0.004341138801210414,0.003969216835355382,0.005796321487225721,0.007804211641494719,0.005048680809831391,0.0017862669890999403
home_field___h_home__pfr_wr_last_8_games,0.005072618487996072,0.003883114496992433,0.007207427637562079,0.004081398252265203,0.004340580621648463,0.002100206810111807,0.004322545563715996,0.0018379955840062483
home_field___v_visitor__close_wr_last_8_games,0.0050482014357809924,0.007934449268197415,0.003491424469396623,0.003313634502731744,0.004263412873192218,0.004696060952418827,0.0047397964131873655,0.001872633922888368
team_history___h_open_wr_ytd,0.0050320098250603105,0.004475834401986879,0.005746185760123851,0.008208457320644303,0.004444828784293595,0.004830020973421857,0.005541065448094096,0.0015810668861378965
team_history___h_close_wr_ytd,0.004987589059369292,0.003091677445474495,0.003701969124652349,0.0048848740535252745,0.002845597918384461,0.005050942265879229,0.003915012161583162,0.0010121614872610869
home_field___h_home__ovr_wr_last_8_games,0.004985409702078107,0.011478293329944187,0.004756499577553334,0.0025753126174301844,0.006614646412536418,0.007106321220306112,0.006506214631554047,0.0033017777547412015
matchup___h_wr_past_3_seasons,0.004951199413769858,0.008516306446261111,0.007338427643696636,0.006617026609665715,0.0051858627577623185,0.001848512725686688,0.005901227236614493,0.0025667486373811433
line___h_ml,0.0048235541159878355,0.00574868474726771,0.010746592006484451,0.008229359391713776,0.010203663682527873,0.0090269339771797,0.0087910467610347,0.0019651174186481584
travel___h_days_since_last_game,0.004783197571698817,0.006952092176028229,0.006011055079913414,0.007763591914468886,0.006471294434886521,0.004588605937113089,0.006357327908482029,0.0011824332583102541
home_field___v_visitor__ovr_wr_last_4_games,0.004762215773377181,0.0014824045023687279,0.0029209741017585593,0.0031585786968892377,0.002997246278984955,0.004241736567403365,0.002960188029480969,0.0009834226851859966
home_field___h_home__ovr_wr_last_4_games,0.00476099265681669,0.004091392645730586,0.00501159709986371,0.004150374335824584,0.0027885678395583955,0.002391722761790441,0.0036867309365535435,0.0010744451792382278
team_history___v_close_wr_ytd,0.004568412067576515,0.006840515223908667,0.0085448744018498,0.0053230871953438156,0.004667929863748034,0.007957515367145994,0.006666784410399261,0.0016601455146063027
travel___v_days_since_last_game,0.004542275520461568,0.004849191721851032,0.005848162348720067,0.0060957125030610135,0.0038541243581905783,0.005820394646943695,0.005293517115753278,0.0009351504254576158
travel___h_tz_change_last_game,0.0044474235161784505,0.0027759654792199138,0.0021106505628869423,0.0030408704496613,0.004029668745879784,0.004050453423004817,0.0032015217321305516,0.0008371707351236198
matchup___h_wr_past_5_games,0.004404066948949904,0.009465318193552123,0.009184036140735723,0.007764579033792482,0.007827687854865425,0.010053056522644488,0.00885893554911805,0.0010198533221857965
home_field___v_visitor__close_wr_ytd,0.004365327303326096,0.0070552781772893125,0.0045327733980541325,0.006112991727018154,0.007213421629681367,0.003266948016274512,0.005636282589663496,0.0016999740062358423
home_field___v_visitor__open_wr_last_4_games,0.004324738465892958,0.00254590125754012,0.006827684957421639,0.003317926903287927,0.0037252359830329007,0.0027722845321603296,0.0038378067266885835,0.0017339749368117852
team_history___h_ovr_wr_ytd,0.004279799013562367,0.004523457393308537,0.008034745407789754,0.004380873893426325,0.007432376957353014,0.004174612187666637,0.005709213167908853,0.0018643293564756858
team_history___h_ovr_wr_past_5_games,0.003803278252994503,0.003961911114080322,0.0041629155852596226,0.00159062053273569,0.004485555068110507,0.004841323834909873,0.0038084652270192034,0.0012838675303041554
home_field___v_visitor__open_wr_ytd,0.0037813852100230406,0.010623834523274202,0.007389875823581696,0.008853233128606005,0.0059152059237430644,0.00731160829913279,0.008018751539667553,0.0017890819755495976
matchup___h_wr_past_2_seasons,0.003753593112810808,0.005388878918619065,0.005375277561081178,0.004954375771384179,0.0038356232425310844,0.002735871955455648,0.004458005489814232,0.0011518897974093114
home_field___h_home__pfr_wr_ytd,0.0035810173889681803,0.00588860403519984,0.004518687404879439,0.005823000209685364,0.0045492970201008315,0.0037546172794808968,0.004906841189869273,0.0009232181172223022
line___h_close_line,0.0034987171703166685,0.002721820095146005,0.0027125557270434586,0.002546973031150746,0.0032551409184882482,0.006103565838836507,0.0034680111221329925,0.0014972714730555625
home_field___h_home__close_wr_last_8_games,0.0033516335667321587,0.0039423670681968176,0.005600063859095072,0.003975868849008333,0.007367521904893995,0.0012643681703116113,0.004430037970301165,0.0022618206288574265
