Importance,Feature
0.028633973276064654,rankings___h__s_t_dvoa
0.028557812345914237,rankings___v__defensedvoa
0.027517612768882736,team_history___v_ovr_wr_past_3_seasons
0.02069294061036934,rankings___h__defensedvoa
0.020548387950576775,travel___v_dist_from_home
0.0203794028969923,team_history___v_ovr_wr_past_2_seasons
0.01853878457497144,travel___v_travel_from_last_game_decay
0.018461761891227838,team_history___h_ovr_wr_past_3_seasons
0.017820807079646027,team_history___v_open_wr_past_3_seasons
0.017519015902198634,rankings___v__s_t_dvoa
0.01720711476868686,rankings___h__dave_or_wtddvoa
0.016885290873973464,rankings___v__offensedvoa
0.01623132685989252,team_history___h_open_wr_past_3_seasons
0.01543584229642816,team_history___v_open_wr_past_2_seasons
0.015412993514401722,team_history___v_close_wr_past_3_seasons
0.015380593938973305,team_history___v_pfr_wr_past_3_seasons
0.014920061298708575,rankings___v__estim_winrate
0.013644788010972742,rankings___h__s_t_rank
0.013417099236802996,weather___humidity_pct
0.01335139505438803,rankings___v__totaldvoa
0.013132714649850965,travel___v_travel_from_last_10_days
0.013080706012752885,rankings___v__off_rank
0.013076110558707924,rankings___h__totaldvoa
0.01304264754094058,rankings___v__dave_or_wtddvoa
0.013017693980564165,line___close_ou
0.012928012171135383,rankings___v__def_rank
0.01278440156644638,line___open_ou
0.012521449849770546,team_history___h_pfr_wr_past_3_seasons
0.01206898701654515,weather___wind_mph
0.012016917826953325,line___v_ml
0.011126263322485895,time_date___week_id
0.011018217084557115,team_history___h_open_wr_past_2_seasons
0.010848933042880815,team_history___v_close_wr_past_2_seasons
0.010746218723013666,rankings___h__offensedvoa
0.010656100148824519,weather___wind_chill
0.010636085698936136,rankings___h__estim_winrate
0.010602501154116713,rankings___h__off_rank
0.010600979873038699,team_history___h_close_wr_past_2_seasons
0.010362497379353975,team_history___h_ovr_wr_past_2_seasons
0.010019640678756393,team_history___v_pfr_wr_past_2_seasons
0.010004678784532296,team_history___h_pfr_wr_past_2_seasons
0.009889061836953792,rankings___h__def_rank
0.009853186430415441,rankings___v__s_t_rank
