Model Score Threshold,Accuracy
0.0,0.48388829215896884
0.01,0.48603651987110635
0.02,0.48711063372717506
0.03,0.48764769065520946
0.04,0.49033297529538133
0.05,0.4940923737916219
0.06,0.49140708915145004
0.07,0.49462943071965626
0.08,0.49462943071965626
0.09,0.49516648764769067
0.1,0.49731471535982813
0.11,0.49462943071965626
0.12,0.49785177228786254
0.13,0.49624060150375937
0.14,0.4940923737916219
0.15,0.4924812030075188
0.16,0.4940923737916219
0.17,0.495703544575725
0.18,0.49462943071965626
0.19,0.49462943071965626
0.2,0.49785177228786254
0.21,0.49946294307196565
0.22,0.49731471535982813
0.23,0.5010741138560687
0.24,0.5032223415682062
0.25,0.5032223415682062
0.26,0.5042964554242749
0.27,0.5026852846401718
0.28,0.5048335123523093
0.29,0.505907626208378
0.3,0.505907626208378
0.31,0.5048335123523093
0.32,0.5048335123523093
0.33,0.5032223415682062
0.34,0.5042964554242749
0.35,0.5042964554242749
0.36,0.5021482277121375
0.37,0.5042964554242749
0.38,0.5037593984962406
0.39,0.5026852846401718
0.4,0.5016111707841031
0.41,0.5026852846401718
0.42,0.5053705692803437
0.43,0.5042964554242749
0.44,0.5021482277121375
0.45,0.5053705692803437
0.46,0.5053705692803437
0.47,0.5091299677765844
0.48,0.5102040816326531
0.49,0.5107411385606875
0.5,0.5102040816326531
0.51,0.5096670247046187
0.52,0.5118152524167562
0.53,0.50859291084855
0.54,0.5069817400644469
0.55,0.5112781954887218
0.56,0.5107411385606875
0.57,0.5112781954887218
0.58,0.5123523093447906
0.59,0.5128893662728249
0.6,0.514500537056928
0.61,0.5166487647690655
0.62,0.5161117078410311
0.63,0.5155746509129968
0.64,0.5171858216970999
0.65,0.5161117078410311
0.66,0.514500537056928
0.67,0.5123523093447906
0.68,0.5139634801288937
0.69,0.514500537056928
0.7,0.5150375939849624
0.71,0.5155746509129968
0.72,0.514500537056928
0.73,0.5155746509129968
0.74,0.514500537056928
0.75,0.5128893662728249
0.76,0.5150375939849624
0.77,0.5123523093447906
0.78,0.5118152524167562
0.79,0.5091299677765844
0.8,0.5064446831364124
0.81,0.5032223415682062
0.82,0.5016111707841031
0.83,0.5026852846401718
0.84,0.5
0.85,0.49892588614393124
0.86,0.5016111707841031
0.87,0.505907626208378
0.88,0.5075187969924813
0.89,0.5091299677765844
0.9,0.5123523093447906
0.91,0.5161117078410311
0.92,0.5171858216970999
0.93,0.5150375939849624
0.94,0.5128893662728249
0.95,0.5118152524167562
0.96,0.5128893662728249
0.97,0.5161117078410311
0.98,0.5182599355531686
0.99,0.5166487647690655
1.0,0.5161117078410311
