Bin,Did Not Cover,Covered
0,58,17
1,47,26
2,48,14
3,29,9
4,12,7
5,17,8
6,20,4
7,14,9
8,11,10
9,5,6
10,11,5
11,10,2
12,9,7
13,5,5
14,13,9
15,4,4
16,6,8
17,3,4
18,5,5
19,6,1
20,4,3
21,8,6
22,3,3
23,3,4
24,4,4
25,7,2
26,7,4
27,8,3
28,2,6
29,3,3
30,8,2
31,1,4
32,7,2
33,6,4
34,4,7
35,1,5
36,3,2
37,2,4
38,5,3
39,2,1
40,4,3
41,5,3
42,2,2
43,2,3
44,7,3
45,3,4
46,7,7
47,5,8
48,2,5
49,2,10
50,2,1
51,5,7
52,4,7
53,5,6
54,2,4
55,6,6
56,3,5
57,2,3
58,4,5
59,4,9
60,4,3
61,4,6
62,2,5
63,1,7
64,7,2
65,7,4
66,6,7
67,5,4
68,3,7
69,5,2
70,5,7
71,3,3
72,10,8
73,5,6
74,6,7
75,2,7
76,6,5
77,4,4
78,2,5
79,4,11
80,7,7
81,9,8
82,6,5
83,3,11
84,10,2
85,8,7
86,7,8
87,6,12
88,8,11
89,4,12
90,10,10
91,7,17
92,10,15
93,7,8
94,4,13
95,7,21
96,12,18
97,18,27
98,18,50
99,35,95
100,45,233
