Percentile,Did Not Cover,Covered,success
0,6,4,0.4
1,11,7,0.3888888888888889
2,17,2,0.10526315789473684
3,17,2,0.10526315789473684
4,14,4,0.2222222222222222
5,12,7,0.3684210526315789
6,9,10,0.5263157894736842
7,14,4,0.2222222222222222
8,15,4,0.21052631578947367
9,13,5,0.2777777777777778
10,15,4,0.21052631578947367
11,15,4,0.21052631578947367
12,13,5,0.2777777777777778
13,13,6,0.3157894736842105
14,12,6,0.3333333333333333
15,13,6,0.3157894736842105
16,16,3,0.15789473684210525
17,12,6,0.3333333333333333
18,12,7,0.3684210526315789
19,9,10,0.5263157894736842
20,11,7,0.3888888888888889
21,14,5,0.2631578947368421
22,11,7,0.3888888888888889
23,9,10,0.5263157894736842
24,10,9,0.47368421052631576
25,8,10,0.5555555555555556
26,13,6,0.3157894736842105
27,11,8,0.42105263157894735
28,8,10,0.5555555555555556
29,13,6,0.3157894736842105
30,12,6,0.3333333333333333
31,9,10,0.5263157894736842
32,13,6,0.3157894736842105
33,7,11,0.6111111111111112
34,7,12,0.631578947368421
35,13,6,0.3157894736842105
36,10,8,0.4444444444444444
37,10,9,0.47368421052631576
38,6,12,0.6666666666666666
39,7,12,0.631578947368421
40,7,12,0.631578947368421
41,7,11,0.6111111111111112
42,7,12,0.631578947368421
43,9,9,0.5
44,7,12,0.631578947368421
45,8,11,0.5789473684210527
46,5,13,0.7222222222222222
47,14,5,0.2631578947368421
48,9,10,0.5263157894736842
49,9,9,0.5
50,8,11,0.5789473684210527
51,10,8,0.4444444444444444
52,9,10,0.5263157894736842
53,7,12,0.631578947368421
54,7,11,0.6111111111111112
55,6,13,0.6842105263157895
56,10,9,0.47368421052631576
57,10,8,0.4444444444444444
58,6,13,0.6842105263157895
59,12,6,0.3333333333333333
60,11,8,0.42105263157894735
61,6,13,0.6842105263157895
62,7,11,0.6111111111111112
63,5,14,0.7368421052631579
64,10,8,0.4444444444444444
65,5,14,0.7368421052631579
66,7,12,0.631578947368421
67,8,10,0.5555555555555556
68,6,13,0.6842105263157895
69,5,14,0.7368421052631579
70,6,12,0.6666666666666666
71,5,14,0.7368421052631579
72,7,11,0.6111111111111112
73,10,9,0.47368421052631576
74,7,12,0.631578947368421
75,8,10,0.5555555555555556
76,5,14,0.7368421052631579
77,3,16,0.8421052631578947
78,4,14,0.7777777777777778
79,6,13,0.6842105263157895
80,7,11,0.6111111111111112
81,5,14,0.7368421052631579
82,4,15,0.7894736842105263
83,5,13,0.7222222222222222
84,2,17,0.8947368421052632
85,4,15,0.7894736842105263
86,1,17,0.9444444444444444
87,5,14,0.7368421052631579
88,4,14,0.7777777777777778
89,4,15,0.7894736842105263
90,2,17,0.8947368421052632
91,4,14,0.7777777777777778
92,5,14,0.7368421052631579
93,2,16,0.8888888888888888
94,2,17,0.8947368421052632
95,3,16,0.8421052631578947
96,3,15,0.8333333333333334
97,1,18,0.9473684210526315
98,3,16,0.8421052631578947
99,3,15,0.8333333333333334
100,2,7,0.7777777777777778
