Importance,Feature
0.0556029732657737,line___h_ml
0.053749610291302145,line___v_ml
0.03944327395395539,line___h_pfr_line
0.02618431842793265,rankings___v__offensedvoa
0.02041574745980114,rankings___v__defensedvoa
0.020045064669419115,team_history___v_ovr_wr_past_3_seasons
0.019050842970102608,rankings___h__s_t_dvoa
0.019030062472879746,rankings___v__s_t_dvoa
0.01787405442394984,travel___v_travel_from_last_game_decay
0.01781403734166635,rankings___h__dave_or_wtddvoa
0.01618967370535166,team_history___v_pfr_wr_past_3_seasons
0.015888900031622626,weather___humidity_pct
0.015871859837492064,rankings___h__offensedvoa
0.01581262126298759,team_history___v_ovr_wr_past_2_seasons
0.014256776316089664,team_history___h_open_wr_past_3_seasons
0.013766090263960655,line___close_ou
0.01348013768638917,travel___v_dist_from_home
0.013390822486667148,rankings___h__totaldvoa
0.01305516361537194,line___h_close_line
0.012833319477948243,team_history___h_ovr_wr_past_3_seasons
0.01248768644637213,travel___v_travel_from_last_game
0.01243044804205891,rankings___h__s_t_rank
0.011985416702104044,line___pfr_ou
0.011751773873124293,rankings___h__defensedvoa
0.011590883972713358,team_history___v_close_wr_past_2_seasons
0.011584044920626927,team_history___v_open_wr_past_2_seasons
0.011508061361304434,rankings___v__off_rank
0.01134701247418021,team_history___h_ovr_wr_past_2_seasons
0.011143311064372753,rankings___h__estim_winrate
0.011060540017685938,weather___wind_mph
0.010813494730366888,team_history___v_open_wr_past_3_seasons
0.010658067998970983,team_history___v_pfr_wr_past_2_seasons
0.010349671163401552,line___h_open_line
0.010156955908403572,rankings___h__off_rank
0.009872044515119171,travel___h_travel_from_last_game_decay
0.009726951797113668,rankings___v__totaldvoa
0.009625972493119882,team_history___h_close_wr_past_2_seasons
0.009515843486136068,line___open_ou
0.009495439000931761,rankings___v__def_rank
0.009474733370771623,rankings___v__estim_winrate
0.009276929190340413,rankings___v__dave_or_wtddvoa
0.0086288740178777,team_history___h_pfr_wr_past_3_seasons
0.008540140965520932,team_history___h_close_wr_past_3_seasons
0.008449657068976078,rankings___v__s_t_rank
0.008248464118965411,home_field___v_visitor__ovr_wr_last_8_games
0.008131495370652775,team_history___h_pfr_wr_past_2_seasons
0.008061129000318063,team_history___h_open_wr_past_2_seasons
0.008033518786459247,travel___h_travel_from_last_10_days
0.0076325307243626074,time_date___week_id
0.0075749913333766315,team_history___v_open_wr_past_5_games
0.0075506989199171076,home_field___v_visitor__ovr_wr_ytd
0.007537062846728263,travel___v_travel_from_last_10_days
0.007519267970206531,home_field___h_home__ovr_wr_last_8_games
0.007270017509210524,travel___h_travel_from_last_game
0.0067981832960468044,team_history___v_close_wr_past_3_seasons
0.0066116889147178415,weather___temperature
0.006552702242664333,home_field___v_visitor__close_wr_last_8_games
0.006201901353356131,travel___v_tz_change_last_10_days
0.006101102733270639,rankings___h__def_rank
0.006056080854657196,team_history___v_ovr_wr_ytd
0.005949264464438145,home_field___h_home__open_wr_ytd
0.005882408348943468,home_field___v_consecutive_visitor
0.005765928166491854,home_field___h_home__ovr_wr_ytd
0.005684283390927734,team_history___h_open_wr_ytd
0.005612572297184623,matchup___h_wr_past_5_games
0.00552234093909338,team_history___v_pfr_wr_ytd
0.005477492198317185,weather___wind_chill
0.005381971792588097,home_field___v_visitor__pfr_wr_last_8_games
0.005378117486411321,travel___v_tz_change_last_game
0.005313962869323412,home_field___h_home__open_wr_last_4_games
0.005236056345969286,matchup___h_wr_past_2_seasons
0.005231791318685577,travel___v_body_clock_from_last_wk
0.005032003468573505,home_field___v_visitor__open_wr_ytd
0.004911344825238794,team_history___v_close_wr_past_5_games
0.0047618638960845415,home_field___h_home__close_wr_ytd
0.004733660889977835,team_history___v_open_wr_ytd
0.004692892136327414,time_date___game_time_local
0.004656965526145229,matchup___h_wr_past_3_seasons
0.004542509872262954,home_field___h_home__pfr_wr_ytd
0.004499499821353365,home_field___h_home__close_wr_last_8_games
0.004406915278007375,team_history___h_ovr_wr_ytd
0.0042448456148443964,home_field___v_visitor__close_wr_ytd
0.004007220973732978,home_field___v_visitor__open_wr_last_8_games
0.003862116230209464,team_history___h_close_wr_past_5_games
0.0038464201800285725,team_history___h_pfr_wr_past_5_games
0.0037315782492093877,team_history___h_open_wr_past_5_games
0.0035326241923983944,home_field___h_home__close_wr_last_4_games
0.0034777363019384356,team_history___h_ovr_wr_past_5_games
0.003134510550922411,home_field___v_visitor__pfr_wr_ytd
0.003118958192131608,home_field___h_consecutive_home
0.003118795498175243,team_history___v_close_wr_ytd
0.0031151719763431495,home_field___h_home__ovr_wr_last_4_games
0.0030474521557134525,team_history___h_close_wr_ytd
0.002992871759925577,team_history___h_pfr_wr_ytd
0.002945483338675241,matchup___h_wr_ytd
0.002908626551029004,travel___v_days_since_last_game
0.002743264967811339,travel___h_days_since_last_game
0.002606473993415819,team_history___v_ovr_wr_past_5_games
0.0025207091940656627,home_field___h_home__pfr_wr_last_4_games
0.0024373298408712843,matchup___is_same_conf
0.0024138047785428624,travel___h_tz_change_last_10_days
0.002335876977268409,team_history___v_pfr_wr_past_5_games
0.002314378692219576,home_field___h_home__pfr_wr_last_8_games
0.002304295292529366,travel___v_home_body_time
0.002191929932459512,home_field___v_visitor__open_wr_last_4_games
0.002134928281792777,matchup___is_same_division
0.0020613493188646166,home_field___v_visitor__pfr_wr_last_4_games
0.0020103545664462833,home_field___v_visitor__ovr_wr_last_4_games
0.0019305975297711016,home_field___h_home__open_wr_last_8_games
0.0018745631167094423,home_field___v_visitor__close_wr_last_4_games
0.0016772034999258288,weather___is_grass
0.0015304843905982518,travel___h_tz_change_last_game
0.0012029641474116846,travel___h_body_clock_from_last_wk
0.0010639033651423345,time_date___game_time_eastern
0.0007300753982696041,time_date___is_sunday
0.0007204765991885984,time_date___day_of_week
0.00032663850190631813,travel___h_same_stadium_last_game
0.0,travel___v_same_stadium_last_game
0.0,time_date___is_superbowl
0.0,time_date___is_playoffs
0.0,weather___is_dome
0.0,home_field___v_is_home
0.0,home_field___h_is_home
