Feature,full,1,0,3,2,4,Importance,StdDev
line___h_ml,0.11772584054190388,0.10406307297793614,0.09708812389529352,0.09156235745039952,0.059743764414715635,0.0556029732657737,0.0816120584008237,0.02234535690771101
line___v_ml,0.03560105055493865,0.030134539501732182,0.052011175598558,0.023281762207767908,0.03933725236125472,0.05374961029130215,0.03970286799212299,0.013324270199758735
rankings___v__offensedvoa,0.02465538347521084,0.02394348718017049,0.019807059190416643,0.030385251620207405,0.0204650478926988,0.02618431842793265,0.024157032862285197,0.0043445143969484045
team_history___v_ovr_wr_past_3_seasons,0.021532030353005174,0.013107733571066192,0.017440111743270138,0.02195995631984561,0.02096463643458053,0.020045064669419115,0.018703500547636316,0.003550556059109179
weather___humidity_pct,0.017895229002759618,0.013460922521713306,0.01080272213002807,0.01150739638446935,0.016539175688842594,0.015888900031622626,0.013639823351335189,0.002554064579578049
rankings___v__s_t_dvoa,0.01666227903031356,0.016909966993511074,0.018143582456384512,0.01625213820902951,0.020390034958115345,0.019030062472879743,0.018145157017984036,0.001653159982960643
rankings___h__s_t_dvoa,0.016648463031739936,0.015558143650401932,0.02046834065208121,0.016493183795644895,0.02062077636304534,0.019050842970102608,0.018438257486255195,0.002309667435590773
travel___v_travel_from_last_game,0.016298206185807188,0.009884988338768521,0.011353610270720809,0.017676473229338727,0.014634308901594596,0.01248768644637213,0.013207413437358956,0.003041448164447438
team_history___h_open_wr_past_3_seasons,0.016052169712970462,0.013958012545742705,0.011830785317851542,0.01975141804756193,0.017861443455493745,0.014256776316089662,0.015531687136547918,0.00320282754205299
rankings___v__defensedvoa,0.015404747980160487,0.02003902405989409,0.01877796701919736,0.01391519632105132,0.01793279905816701,0.02041574745980114,0.018216146783622184,0.002600731987878907
team_history___h_ovr_wr_past_2_seasons,0.015330949618213503,0.010138337327625641,0.015227260545306022,0.016394420406089415,0.011504220919024869,0.011347012474180209,0.012922250334445232,0.002720817452878046
rankings___h__offensedvoa,0.015173649872571325,0.009480796760094085,0.014673061999901737,0.013738001082448787,0.008741139597128281,0.015871859837492064,0.01250097185541299,0.0031964393826910717
team_history___v_pfr_wr_past_3_seasons,0.014521556211336162,0.01472818898127996,0.013801478637139462,0.008482347964334275,0.008201551017810877,0.01618967370535166,0.012280648061183248,0.0036962812392338862
team_history___h_ovr_wr_past_3_seasons,0.014025682507427282,0.012129444020589995,0.013944349445344744,0.013114259923385364,0.011540846246865423,0.012833319477948244,0.012712443822826755,0.0009227930719921965
weather___wind_mph,0.013797135042775414,0.010506042725715658,0.008598437791977628,0.008447796501236492,0.020374545135796604,0.011060540017685937,0.011797472434482464,0.004930293797152271
travel___v_dist_from_home,0.013500476642805232,0.018038425305592968,0.017639332023189687,0.02015476252559412,0.015408591144286743,0.013480137686389171,0.016944249737010537,0.002566421221164213
rankings___h__estim_winrate,0.013465552766622795,0.010200027392920322,0.017888909949637734,0.010930977506315609,0.013490636053787277,0.011143311064372751,0.012730772393406739,0.0031363888947176298
line___pfr_ou,0.01334879279589629,0.01019702869307605,0.008777739211117495,0.009341977725993862,0.011471796450084882,0.011985416702104044,0.010354791756475265,0.0013642226150985478
rankings___h__dave_or_wtddvoa,0.013226716232295826,0.01435181534965271,0.015501333639219296,0.01306207783029872,0.010388603813352852,0.01781403734166635,0.014223573594837988,0.0027657102266836833
rankings___h__s_t_rank,0.012625542160479494,0.013640480895137792,0.018676834856134392,0.009878690769490371,0.015154778487456463,0.012430448042058909,0.013956246610055584,0.003270117082762833
rankings___v__off_rank,0.012581939109633938,0.009985880645923205,0.008101958651256921,0.011790120731501716,0.013530620584151852,0.011508061361304434,0.010983328394827626,0.0020440248083973323
rankings___h__totaldvoa,0.012302888042291668,0.011966836158721206,0.007508193879976187,0.02060468223565036,0.009086037921506172,0.013390822486667148,0.012511314536504215,0.005082723872218643
team_history___v_ovr_wr_past_2_seasons,0.012138128578230248,0.015026899675752053,0.011401127691942466,0.00929994132248485,0.011538544232448909,0.01581262126298759,0.012615826837123173,0.0027232285712108562
