Importance,Feature
0.11772584054190388,line___h_ml
0.03560105055493865,line___v_ml
0.024655383475210842,rankings___v__offensedvoa
0.021532030353005178,team_history___v_ovr_wr_past_3_seasons
0.017895229002759618,weather___humidity_pct
0.01666227903031356,rankings___v__s_t_dvoa
0.016648463031739936,rankings___h__s_t_dvoa
0.016298206185807188,travel___v_travel_from_last_game
0.016052169712970462,team_history___h_open_wr_past_3_seasons
0.015404747980160489,rankings___v__defensedvoa
0.015330949618213505,team_history___h_ovr_wr_past_2_seasons
0.015173649872571325,rankings___h__offensedvoa
0.014521556211336165,team_history___v_pfr_wr_past_3_seasons
0.014025682507427282,team_history___h_ovr_wr_past_3_seasons
0.013797135042775414,weather___wind_mph
0.013500476642805232,travel___v_dist_from_home
0.013465552766622797,rankings___h__estim_winrate
0.01334879279589629,line___pfr_ou
0.013226716232295826,rankings___h__dave_or_wtddvoa
0.012625542160479494,rankings___h__s_t_rank
0.012581939109633938,rankings___v__off_rank
0.012302888042291668,rankings___h__totaldvoa
0.012138128578230248,team_history___v_ovr_wr_past_2_seasons
0.011907517230653393,rankings___h__off_rank
0.011872054150276496,travel___h_travel_from_last_game_decay
0.011849632346788251,line___close_ou
0.011575715508880815,rankings___v__estim_winrate
0.011495862827490143,line___open_ou
0.011422913846063127,travel___v_travel_from_last_game_decay
0.011384189709180677,team_history___v_close_wr_past_2_seasons
0.011234166142846596,rankings___h__defensedvoa
0.011045471835408537,team_history___h_pfr_wr_past_3_seasons
0.010661175629215742,rankings___v__totaldvoa
0.010492245950796834,team_history___v_open_wr_past_3_seasons
0.010326338385758253,team_history___v_open_wr_past_2_seasons
0.009263429629949428,rankings___v__dave_or_wtddvoa
0.009152780601404354,line___h_open_line
0.008945680104073745,team_history___h_open_wr_past_2_seasons
0.008854588678065427,travel___v_travel_from_last_10_days
0.008704209871791853,time_date___week_id
0.008655136120651125,line___h_pfr_line
0.00850480429045699,rankings___h__def_rank
0.008487350084484892,rankings___v__s_t_rank
0.007887267025305527,team_history___v_close_wr_past_3_seasons
0.007878243577532118,travel___h_travel_from_last_game
0.007813044074349662,home_field___v_visitor__ovr_wr_ytd
0.007469728165782175,team_history___h_pfr_wr_past_2_seasons
0.007418260506464416,line___h_close_line
0.0073339722438648695,weather___wind_chill
0.0071902638331733885,matchup___h_wr_past_5_games
0.007094868020898582,team_history___h_close_wr_past_2_seasons
0.0070590302478641676,team_history___h_ovr_wr_ytd
0.006899311570653192,home_field___v_visitor__ovr_wr_last_8_games
0.006705397828181846,rankings___v__def_rank
0.006697915115733614,team_history___h_close_wr_past_3_seasons
0.006636487215654347,home_field___h_home__ovr_wr_ytd
0.006429292627861946,team_history___h_close_wr_past_5_games
0.006409597717504477,home_field___h_home__ovr_wr_last_8_games
0.006408811664955155,home_field___h_home__open_wr_last_8_games
0.006375207457537121,home_field___v_visitor__open_wr_ytd
0.006362636253857978,team_history___v_pfr_wr_past_2_seasons
0.0062956136151004986,home_field___v_visitor__close_wr_last_8_games
0.006180833622837254,team_history___v_open_wr_ytd
0.00605791381499908,home_field___h_home__open_wr_ytd
0.0058589056504902365,home_field___v_visitor__open_wr_last_8_games
0.005542871340700022,home_field___h_home__close_wr_ytd
0.005490801423727926,travel___h_travel_from_last_10_days
0.005483633464560679,home_field___h_home__open_wr_last_4_games
0.005408258976333258,team_history___v_pfr_wr_ytd
0.005392612157348324,team_history___v_ovr_wr_ytd
0.0053416303514239455,travel___v_body_clock_from_last_wk
0.004886959190582444,team_history___h_pfr_wr_ytd
0.004886376977103079,travel___v_tz_change_last_10_days
0.004819207197945242,home_field___h_home__close_wr_last_8_games
0.004739374095670183,home_field___v_visitor__pfr_wr_ytd
0.004732726037924646,time_date___game_time_local
0.004653296746381726,home_field___v_visitor__pfr_wr_last_8_games
0.004365181234585698,team_history___h_close_wr_ytd
0.0043471150471526485,home_field___h_home__pfr_wr_last_8_games
0.004340270707880023,travel___v_days_since_last_game
0.0041984765641521924,weather___temperature
0.004162026918426919,home_field___v_visitor__pfr_wr_last_4_games
0.004151625326418535,travel___v_tz_change_last_game
0.0038493056656914654,home_field___v_visitor__ovr_wr_last_4_games
0.0038296923672127125,matchup___h_wr_past_3_seasons
0.003611338496509438,home_field___h_home__pfr_wr_ytd
0.00347700164766616,team_history___v_ovr_wr_past_5_games
0.003474455845282463,home_field___v_consecutive_visitor
0.0034713688656931646,team_history___h_open_wr_ytd
0.0033688440355749555,home_field___v_visitor__close_wr_ytd
0.0032828544258329067,home_field___h_home__pfr_wr_last_4_games
0.003195082525799894,travel___v_home_body_time
0.0031199961760462846,team_history___v_close_wr_ytd
0.003073076972532784,travel___h_days_since_last_game
0.0029828584696420333,team_history___v_pfr_wr_past_5_games
0.0029513697795369226,team_history___h_ovr_wr_past_5_games
0.0029274480150882354,team_history___h_open_wr_past_5_games
0.0029134774305317945,travel___h_tz_change_last_game
0.0028444410027152517,team_history___v_open_wr_past_5_games
0.002811781673350645,travel___h_body_clock_from_last_wk
0.002688757683894898,home_field___h_home__ovr_wr_last_4_games
0.0026607963604247087,team_history___v_close_wr_past_5_games
0.002403969446690329,travel___h_tz_change_last_10_days
0.0023765939130764233,matchup___h_wr_ytd
0.0023652554382540512,home_field___h_home__close_wr_last_4_games
0.002090751506724548,home_field___v_visitor__close_wr_last_4_games
0.0020439858472591924,team_history___h_pfr_wr_past_5_games
0.0018232656138723632,home_field___h_consecutive_home
0.001707527328689,home_field___v_visitor__open_wr_last_4_games
0.0013970768486492526,matchup___is_same_division
0.0012695911092426362,matchup___h_wr_past_2_seasons
0.001216372009546659,weather___is_grass
0.0007627077616830963,matchup___is_same_conf
0.00076128085039101,time_date___day_of_week
0.0007133465189022743,time_date___is_sunday
0.0004469478907683581,travel___h_same_stadium_last_game
0.000332662474679313,time_date___game_time_eastern
0.0,time_date___is_superbowl
0.0,travel___v_same_stadium_last_game
0.0,time_date___is_playoffs
0.0,home_field___h_is_home
0.0,home_field___v_is_home
0.0,weather___is_dome
