Bin,Lost,Won
0,58,20
1,55,17
2,23,20
3,31,14
4,14,7
5,19,14
6,19,11
7,10,9
8,17,9
9,12,8
10,14,7
11,11,7
12,11,12
13,9,8
14,8,2
15,3,6
16,4,7
17,6,2
18,2,6
19,7,7
20,8,7
21,7,3
22,8,5
23,3,5
24,9,2
25,6,3
26,5,6
27,5,2
28,4,7
29,3,4
30,3,1
31,2,7
32,3,2
33,1,4
34,3,1
35,4,1
36,1,4
37,6,2
38,1,4
39,3,3
40,6,3
41,4,3
42,2,2
43,5,3
44,5,3
45,2,3
46,9,8
47,3,4
48,3,1
49,8,2
50,2,5
51,5,6
52,6,2
53,1,3
54,3,4
55,5,10
56,2,4
57,5,5
58,1,2
59,4,4
60,4,2
61,2,1
62,2,11
63,6,1
64,6,6
65,4,4
66,4,4
67,4,6
68,1,3
69,5,2
70,4,6
71,2,5
72,3,6
73,1,6
74,5,1
75,5,2
76,6,4
77,4,5
78,6,7
79,6,3
80,3,2
81,3,7
82,11,7
83,3,8
84,2,5
85,3,9
86,4,7
87,3,10
88,2,8
89,5,15
90,10,14
91,13,16
92,10,11
93,4,13
94,12,14
95,17,20
96,16,38
97,9,33
98,28,52
99,37,102
100,55,214
