Percentile,Lost,Won,success
0,8,2,0.2
1,14,4,0.2222222222222222
2,14,5,0.2631578947368421
3,13,6,0.3157894736842105
4,14,4,0.2222222222222222
5,12,7,0.3684210526315789
6,16,3,0.15789473684210525
7,13,5,0.2777777777777778
8,14,5,0.2631578947368421
9,9,9,0.5
10,10,9,0.47368421052631576
11,16,3,0.15789473684210525
12,13,5,0.2777777777777778
13,12,7,0.3684210526315789
14,9,9,0.5
15,13,6,0.3157894736842105
16,11,8,0.42105263157894735
17,9,9,0.5
18,13,6,0.3157894736842105
19,11,8,0.42105263157894735
20,11,7,0.3888888888888889
21,11,8,0.42105263157894735
22,12,6,0.3333333333333333
23,11,8,0.42105263157894735
24,11,8,0.42105263157894735
25,10,8,0.4444444444444444
26,8,11,0.5789473684210527
27,8,11,0.5789473684210527
28,10,8,0.4444444444444444
29,12,7,0.3684210526315789
30,10,8,0.4444444444444444
31,13,6,0.3157894736842105
32,10,9,0.47368421052631576
33,7,11,0.6111111111111112
34,9,10,0.5263157894736842
35,10,9,0.47368421052631576
36,8,10,0.5555555555555556
37,12,7,0.3684210526315789
38,10,8,0.4444444444444444
39,10,9,0.47368421052631576
40,11,8,0.42105263157894735
41,11,7,0.3888888888888889
42,10,9,0.47368421052631576
43,8,10,0.5555555555555556
44,6,13,0.6842105263157895
45,10,9,0.47368421052631576
46,5,13,0.7222222222222222
47,11,8,0.42105263157894735
48,10,9,0.47368421052631576
49,10,8,0.4444444444444444
50,6,13,0.6842105263157895
51,7,11,0.6111111111111112
52,11,8,0.42105263157894735
53,9,10,0.5263157894736842
54,11,7,0.3888888888888889
55,8,11,0.5789473684210527
56,9,10,0.5263157894736842
57,5,13,0.7222222222222222
58,6,13,0.6842105263157895
59,4,14,0.7777777777777778
60,5,14,0.7368421052631579
61,8,11,0.5789473684210527
62,6,12,0.6666666666666666
63,11,8,0.42105263157894735
64,6,12,0.6666666666666666
65,7,12,0.631578947368421
66,9,10,0.5263157894736842
67,3,15,0.8333333333333334
68,12,7,0.3684210526315789
69,8,11,0.5789473684210527
70,7,11,0.6111111111111112
71,3,16,0.8421052631578947
72,3,15,0.8333333333333334
73,6,13,0.6842105263157895
74,6,13,0.6842105263157895
75,3,15,0.8333333333333334
76,5,14,0.7368421052631579
77,8,11,0.5789473684210527
78,8,10,0.5555555555555556
79,2,17,0.8947368421052632
80,4,14,0.7777777777777778
81,5,14,0.7368421052631579
82,10,9,0.47368421052631576
83,5,13,0.7222222222222222
84,4,15,0.7894736842105263
85,5,14,0.7368421052631579
86,4,14,0.7777777777777778
87,5,14,0.7368421052631579
88,3,15,0.8333333333333334
89,7,12,0.631578947368421
90,3,16,0.8421052631578947
91,3,15,0.8333333333333334
92,3,16,0.8421052631578947
93,3,15,0.8333333333333334
94,4,15,0.7894736842105263
95,3,16,0.8421052631578947
96,3,15,0.8333333333333334
97,6,13,0.6842105263157895
98,1,18,0.9473684210526315
99,4,14,0.7777777777777778
100,3,6,0.6666666666666666
