Importance,Feature
0.10056790604423141,rankings___h__estim_winrate
0.07288989270750972,rankings___v__dave_or_wtddvoa
0.05951182608123209,rankings___v__offensedvoa
0.05345062511640237,rankings___v__defensedvoa
0.05315303662504907,team_history___v_ovr_wr_past_3_seasons
0.051083545311141,team_history___h_ovr_wr_past_3_seasons
0.05045945972645631,travel___v_travel_from_last_game_decay
0.050311582813192396,rankings___h__defensedvoa
0.05009651589331773,rankings___h__s_t_dvoa
0.04928328961393012,rankings___v__estim_winrate
0.048978308376387246,rankings___h__offensedvoa
0.04774085233967964,rankings___v__s_t_dvoa
0.04636853074931264,rankings___h__dave_or_wtddvoa
0.04541459180976062,weather___wind_chill
0.0423866302267952,home_field___v_visitor__ovr_wr_ytd
0.03698382984035689,travel___h_travel_from_last_game_decay
0.03580983135954227,weather___humidity_pct
0.03571307027563938,weather___wind_mph
0.03501666883700282,team_history___h_ovr_wr_ytd
0.03478000625306107,home_field___v_visitor__ovr_wr_last_8_games
