Model Score Threshold,Accuracy
0.0,0.5547798066595059
0.01,0.5848549946294307
0.02,0.5972073039742213
0.03,0.6031149301825993
0.04,0.6095596133190118
0.05,0.611170784103115
0.06,0.6143931256713212
0.07,0.6160042964554243
0.08,0.6192266380236305
0.09,0.6208378088077336
0.1,0.6251342642320086
0.11,0.6278195488721805
0.12,0.6288936627282492
0.13,0.631578947368421
0.14,0.6326530612244898
0.15,0.6321160042964554
0.16,0.6310418904403867
0.17,0.631578947368421
0.18,0.6321160042964554
0.19,0.6283566058002148
0.2,0.6299677765843179
0.21,0.631578947368421
0.22,0.6337271750805585
0.23,0.6348012889366272
0.24,0.6348012889366272
0.25,0.6380236305048335
0.26,0.6380236305048335
0.27,0.6385606874328679
0.28,0.6380236305048335
0.29,0.6374865735767992
0.3,0.6380236305048335
0.31,0.6374865735767992
0.32,0.635875402792696
0.33,0.635875402792696
0.34,0.635875402792696
0.35,0.6364124597207304
0.36,0.635875402792696
0.37,0.6364124597207304
0.38,0.6374865735767992
0.39,0.6353383458646616
0.4,0.6364124597207304
0.41,0.6385606874328679
0.42,0.6385606874328679
0.43,0.6390977443609023
0.44,0.6390977443609023
0.45,0.6407089151450054
0.46,0.6407089151450054
0.47,0.6407089151450054
0.48,0.6407089151450054
0.49,0.6417830290010741
0.5,0.644468313641246
0.51,0.644468313641246
0.52,0.6423200859291085
0.53,0.644468313641246
0.54,0.6433941997851772
0.55,0.6423200859291085
0.56,0.640171858216971
0.57,0.6390977443609023
0.58,0.6380236305048335
0.59,0.6390977443609023
0.6,0.6396348012889366
0.61,0.6407089151450054
0.62,0.6380236305048335
0.63,0.6353383458646616
0.64,0.6380236305048335
0.65,0.6369495166487648
0.66,0.6380236305048335
0.67,0.6369495166487648
0.68,0.6369495166487648
0.69,0.635875402792696
0.7,0.6374865735767992
0.71,0.6353383458646616
0.72,0.6331901181525241
0.73,0.6310418904403867
0.74,0.631578947368421
0.75,0.6337271750805585
0.76,0.635875402792696
0.77,0.6342642320085929
0.78,0.6331901181525241
0.79,0.6348012889366272
0.8,0.6369495166487648
0.81,0.6342642320085929
0.82,0.6342642320085929
0.83,0.6353383458646616
0.84,0.6326530612244898
0.85,0.6294307196562836
0.86,0.6272824919441461
0.87,0.6267454350161117
0.88,0.6224489795918368
0.89,0.6176154672395274
0.9,0.6154672395273899
0.91,0.6122448979591837
0.92,0.611170784103115
0.93,0.60687432867884
0.94,0.6047261009667024
0.95,0.5993555316863588
0.96,0.6009667024704619
0.97,0.583780880773362
0.98,0.569280343716434
0.99,0.5472610096670247
1.0,0.4452201933404941
