Bin,Did Not Cover,Covered
0,54.0,13.0
1,53.0,25.0
2,45.0,21.0
3,24.0,15.0
4,19.0,13.0
5,19.0,7.0
6,10.0,12.0
7,14.0,8.0
8,10.0,11.0
9,10.0,3.0
10,9.0,6.0
11,15.0,7.0
12,1.0,4.0
13,5.0,7.0
14,8.0,7.0
15,10.0,6.0
16,9.0,4.0
17,11.0,4.0
18,4.0,8.0
19,6.0,5.0
20,5.0,2.0
21,3.0,4.0
22,3.0,3.0
23,4.0,6.0
24,3.0,3.0
25,4.0,4.0
26,4.0,4.0
27,3.0,5.0
28,6.0,8.0
29,10.0,5.0
30,2.0,5.0
31,6.0,2.0
32,4.0,1.0
33,3.0,4.0
34,2.0,7.0
35,4.0,2.0
36,9.0,2.0
37,5.0,3.0
38,8.0,1.0
39,3.0,2.0
40,2.0,2.0
41,1.0,2.0
42,2.0,5.0
43,4.0,6.0
44,2.0,3.0
45,2.0,3.0
46,3.0,5.0
47,2.0,4.0
48,3.0,5.0
49,1.0,1.0
50,3.0,5.0
51,0.0,3.0
52,4.0,2.0
53,2.0,4.0
54,5.0,9.0
55,4.0,6.0
56,4.0,4.0
57,4.0,6.0
58,6.0,3.0
59,5.0,3.0
60,3.0,2.0
61,2.0,6.0
62,3.0,4.0
63,2.0,4.0
64,3.0,4.0
65,8.0,5.0
66,5.0,5.0
67,2.0,6.0
68,6.0,3.0
69,5.0,5.0
70,3.0,5.0
71,3.0,2.0
72,0.0,5.0
73,2.0,8.0
74,7.0,1.0
75,2.0,9.0
76,3.0,7.0
77,6.0,7.0
78,4.0,12.0
79,8.0,9.0
80,7.0,6.0
81,5.0,4.0
82,5.0,3.0
83,3.0,9.0
84,5.0,11.0
85,8.0,15.0
86,7.0,9.0
87,8.0,8.0
88,6.0,5.0
89,13.0,8.0
90,10.0,14.0
91,7.0,10.0
92,11.0,19.0
93,7.0,16.0
94,8.0,12.0
95,11.0,19.0
96,15.0,29.0
97,19.0,35.0
98,21.0,52.0
99,36.0,101.0
100,54.0,199.0
