Importance,Feature
0.09978832928885234,rankings___h__estim_winrate
0.06291011249514054,rankings___v__offensedvoa
0.04801038140705703,rankings___v__dave_or_wtddvoa
0.045468343876571976,rankings___h__offensedvoa
0.04514539611368356,rankings___h__dave_or_wtddvoa
0.045133643318980954,rankings___h__s_t_dvoa
0.04479639594802067,rankings___v__s_t_dvoa
0.044281196918720664,rankings___h__defensedvoa
0.04253319191075099,rankings___v__estim_winrate
0.037215600133625876,travel___v_travel_from_last_game_decay
0.035973498816165274,travel___h_travel_from_last_game_decay
0.03591296017880794,team_history___v_ovr_wr_past_3_seasons
0.03519234955979507,team_history___h_ovr_wr_past_3_seasons
0.03255097186831264,team_history___v_ovr_wr_past_2_seasons
0.03229286286412757,rankings___v__defensedvoa
0.030150010930164204,weather___humidity_pct
0.029800075857201604,team_history___h_ovr_wr_past_2_seasons
0.024998846283223436,weather___wind_mph
0.022094128955589622,time_date___week_id
0.019385821992336152,home_field___h_home__ovr_wr_last_8_games
0.018992429257263896,travel___v_home_body_time
0.018650216662381668,home_field___v_visitor__ovr_wr_last_8_games
0.01782000103879059,home_field___v_visitor__ovr_wr_ytd
0.017472831526621938,weather___temperature
0.015687155621286225,team_history___h_ovr_wr_ytd
0.014963073839751255,weather___wind_chill
0.013536488759216038,travel___v_days_since_last_game
0.012265048217457976,travel___v_tz_change_last_10_days
0.012114996102414104,team_history___v_ovr_wr_ytd
0.011633632140058223,home_field___v_visitor__ovr_wr_last_4_games
0.011377880338964582,matchup___h_wr_past_3_seasons
0.010929018405866674,home_field___h_home__ovr_wr_ytd
0.010923109372798692,travel___h_days_since_last_game
