Percentile,Did Not Cover,Covered,success
0,8.0,2.0,0.2
1,13.0,5.0,0.2777777777777778
2,12.0,7.0,0.3684210526315789
3,12.0,7.0,0.3684210526315789
4,14.0,4.0,0.2222222222222222
5,13.0,6.0,0.3157894736842105
6,15.0,4.0,0.21052631578947367
7,14.0,4.0,0.2222222222222222
8,12.0,7.0,0.3684210526315789
9,13.0,5.0,0.2777777777777778
10,16.0,3.0,0.15789473684210525
11,11.0,8.0,0.42105263157894735
12,10.0,8.0,0.4444444444444444
13,12.0,7.0,0.3684210526315789
14,11.0,7.0,0.3888888888888889
15,9.0,10.0,0.5263157894736842
16,14.0,5.0,0.2631578947368421
17,10.0,8.0,0.4444444444444444
18,12.0,7.0,0.3684210526315789
19,13.0,6.0,0.3157894736842105
20,11.0,7.0,0.3888888888888889
21,13.0,6.0,0.3157894736842105
22,12.0,6.0,0.3333333333333333
23,10.0,9.0,0.47368421052631576
24,10.0,9.0,0.47368421052631576
25,5.0,13.0,0.7222222222222222
26,10.0,9.0,0.47368421052631576
27,6.0,13.0,0.6842105263157895
28,15.0,3.0,0.16666666666666666
29,10.0,9.0,0.47368421052631576
30,8.0,10.0,0.5555555555555556
31,8.0,11.0,0.5789473684210527
32,10.0,9.0,0.47368421052631576
33,11.0,7.0,0.3888888888888889
34,10.0,9.0,0.47368421052631576
35,13.0,6.0,0.3157894736842105
36,10.0,8.0,0.4444444444444444
37,6.0,13.0,0.6842105263157895
38,8.0,10.0,0.5555555555555556
39,11.0,8.0,0.42105263157894735
40,8.0,11.0,0.5789473684210527
41,7.0,11.0,0.6111111111111112
42,10.0,9.0,0.47368421052631576
43,8.0,10.0,0.5555555555555556
44,13.0,6.0,0.3157894736842105
45,9.0,10.0,0.5263157894736842
46,10.0,8.0,0.4444444444444444
47,10.0,9.0,0.47368421052631576
48,13.0,6.0,0.3157894736842105
49,9.0,9.0,0.5
50,9.0,10.0,0.5263157894736842
51,6.0,12.0,0.6666666666666666
52,10.0,9.0,0.47368421052631576
53,11.0,8.0,0.42105263157894735
54,9.0,9.0,0.5
55,7.0,12.0,0.631578947368421
56,4.0,15.0,0.7894736842105263
57,5.0,13.0,0.7222222222222222
58,5.0,14.0,0.7368421052631579
59,7.0,11.0,0.6111111111111112
60,11.0,8.0,0.42105263157894735
61,7.0,12.0,0.631578947368421
62,5.0,13.0,0.7222222222222222
63,4.0,15.0,0.7894736842105263
64,10.0,8.0,0.4444444444444444
65,7.0,12.0,0.631578947368421
66,6.0,13.0,0.6842105263157895
67,4.0,14.0,0.7777777777777778
68,7.0,12.0,0.631578947368421
69,6.0,13.0,0.6842105263157895
70,6.0,12.0,0.6666666666666666
71,8.0,11.0,0.5789473684210527
72,7.0,11.0,0.6111111111111112
73,4.0,15.0,0.7894736842105263
74,7.0,12.0,0.631578947368421
75,7.0,11.0,0.6111111111111112
76,7.0,12.0,0.631578947368421
77,3.0,16.0,0.8421052631578947
78,4.0,14.0,0.7777777777777778
79,7.0,12.0,0.631578947368421
80,5.0,13.0,0.7222222222222222
81,4.0,15.0,0.7894736842105263
82,7.0,12.0,0.631578947368421
83,5.0,13.0,0.7222222222222222
84,1.0,18.0,0.9473684210526315
85,6.0,13.0,0.6842105263157895
86,2.0,16.0,0.8888888888888888
87,6.0,13.0,0.6842105263157895
88,7.0,11.0,0.6111111111111112
89,7.0,12.0,0.631578947368421
90,7.0,12.0,0.631578947368421
91,2.0,16.0,0.8888888888888888
92,5.0,14.0,0.7368421052631579
93,2.0,16.0,0.8888888888888888
94,0.0,19.0,1.0
95,3.0,16.0,0.8421052631578947
96,7.0,11.0,0.6111111111111112
97,4.0,15.0,0.7894736842105263
98,3.0,16.0,0.8421052631578947
99,4.0,14.0,0.7777777777777778
100,4.0,5.0,0.5555555555555556
