Feature,full,1,0,3,2,4,Importance,StdDev
rankings___h__estim_winrate,0.09518123392484626,0.05462890019440898,0.0996143486578126,0.0938862007726998,0.09674284231476964,0.09586452734844242,0.08814736385762668,0.018850399585546813
rankings___v__offensedvoa,0.06237964010191325,0.054347560953110406,0.05475970106921737,0.058708977027441225,0.04762308330943758,0.06629337449220785,0.05634653937028289,0.0068398336379306085
rankings___v__dave_or_wtddvoa,0.04606450323908905,0.05051214797852819,0.03565105269662785,0.041098966043261916,0.061095049691455836,0.05276438986884484,0.04822432125574373,0.010004496411048065
rankings___v__estim_winrate,0.04540512321260983,0.03557255846501948,0.02836560173385165,0.04916757881740642,0.03198837784525011,0.028711332016243606,0.03476108977555425,0.008564391041302064
rankings___h__dave_or_wtddvoa,0.0453929113155452,0.0991363211020981,0.05056086206145493,0.057775337797793036,0.030398230798005837,0.051563795031902976,0.05788690935825097,0.02525275534567454
rankings___h__offensedvoa,0.04271452811693223,0.041849820253017436,0.04495011229850949,0.041538281915087384,0.04646983957387852,0.04637974513212277,0.04423755983452312,0.002401414338122641
rankings___h__defensedvoa,0.04235017389067505,0.04280491926187062,0.03773196877461335,0.03912321813937726,0.039503289176028585,0.034532937783136194,0.0387392666270052,0.0029986885413816615
travel___v_travel_from_last_game_decay,0.040872986648513326,0.04224280480406388,0.040497844936760126,0.0301298541001806,0.03746706744036935,0.03981035249496583,0.03802958475526796,0.004736476417083484
rankings___h__s_t_dvoa,0.04014098487487894,0.04492327206998081,0.04069688286525722,0.03732358881664877,0.041765318909824614,0.03220213343060885,0.03938223921846405,0.004845161565848521
team_history___v_ovr_wr_past_3_seasons,0.03784119609555545,0.030382141642064486,0.0370878634052195,0.03203903381948157,0.029833526135665967,0.02962210322475905,0.031792933645438115,0.003108012348678932
rankings___v__defensedvoa,0.037219471214885516,0.038067372114269964,0.033752912879733935,0.0285948144027939,0.0465694810484552,0.03514587625101739,0.03642609133925408,0.006627516306643245
rankings___v__s_t_dvoa,0.034280096212654015,0.04603541228779018,0.03486536020135325,0.037681264631216425,0.03382615111992862,0.03977979308722033,0.038437596265501764,0.004850944108790269
team_history___v_ovr_wr_past_2_seasons,0.031330272964452816,0.0267923697961191,0.03132833284854411,0.03224707308384014,0.0275702593015514,0.033153103930929184,0.030218227792196788,0.0028596452813239043
team_history___h_ovr_wr_past_2_seasons,0.029867833058893963,0.027016468478771656,0.025178319245173598,0.03048144466413968,0.0404066006162831,0.027527983353303958,0.030122163271534396,0.006056307413929325
team_history___h_ovr_wr_past_3_seasons,0.028661523126704044,0.032786494220967494,0.041754520936350605,0.029259822520865158,0.03126302792366944,0.03094114342254124,0.03320100180487878,0.004942926837683911
travel___h_travel_from_last_game_decay,0.027947641302772816,0.02724448656653846,0.032736047852915603,0.0209278425796684,0.0266229036527653,0.02859107951641397,0.027224472033660345,0.0042501444564454335
weather___wind_mph,0.02667639873374211,0.025030457755726102,0.030186476076089788,0.02575534056187529,0.029595294146653406,0.028215508757846883,0.02775661545963829,0.00228760693911905
weather___humidity_pct,0.023420084833198712,0.02282875172997893,0.03134244122683802,0.025081795907271408,0.026506052228240574,0.02108271901931926,0.02536835202232964,0.003933269564574433
