game_id,team_history___v_pfr_wr_past_5_games,travel___v_body_clock_from_last_wk,team_history___v_ovr_wr_ytd,travel___v_travel_from_last_game,travel___h_travel_from_last_game_decay,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,rankings___v__offensedvoa,time_date___day_of_week,team_history___v_open_wr_past_2_seasons,rankings___h__dave_or_wtddvoa,home_field___v_consecutive_visitor,team_history___v_close_wr_past_5_games,home_field___h_is_home,travel___h_same_stadium_last_game,team_history___h_open_wr_past_2_seasons,rankings___v__s_t_rank,home_field___h_home__open_wr_ytd,home_field___h_home__close_wr_last_4_games,line___h_ml,line___open_ou,home_field___h_home__ovr_wr_last_4_games,team_history___h_open_wr_past_5_games,travel___h_travel_from_last_game,home_field___v_visitor__ovr_wr_last_4_games,home_field___h_home__pfr_wr_ytd,matchup___is_same_conf,travel___h_body_clock_from_last_wk,time_date___game_time_eastern,team_history___v_open_wr_past_5_games,matchup___h_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_pfr_wr_past_2_seasons,line___close_ou,rankings___h__defensedvoa,rankings___v__dave_or_wtddvoa,time_date___is_sunday,home_field___v_visitor__pfr_wr_ytd,travel___h_tz_change_last_10_days,rankings___v__defensedvoa,team_history___v_open_wr_ytd,home_field___v_visitor__open_wr_ytd,weather___humidity_pct,travel___v_tz_change_last_game,team_history___h_pfr_wr_ytd,weather___wind_chill,team_history___v_ovr_wr_past_5_games,weather___wind_mph,matchup___h_wr_past_5_games,team_history___v_close_wr_past_2_seasons,weather___is_grass,rankings___v__off_rank,line___h_close_line,weather___temperature,travel___v_home_body_time,team_history___v_ovr_wr_past_2_seasons,rankings___h__estim_winrate,team_history___v_close_wr_ytd,rankings___h__totaldvoa,time_date___game_time_local,home_field___h_home__pfr_wr_last_8_games,home_field___v_is_home,team_history___h_pfr_wr_past_5_games,rankings___h__offensedvoa,rankings___h__def_rank,team_history___h_open_wr_past_3_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_pfr_wr_past_3_seasons,rankings___h__off_rank,travel___h_days_since_last_game,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__pfr_wr_last_4_games,team_history___h_close_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___h_open_wr_ytd,home_field___v_visitor__close_wr_ytd,team_history___v_open_wr_past_3_seasons,team_history___v_close_wr_past_3_seasons,home_field___h_home__close_wr_ytd,matchup___is_same_division,home_field___h_home__open_wr_last_8_games,team_history___h_ovr_wr_past_2_seasons,travel___h_tz_change_last_game,home_field___h_home__open_wr_last_4_games,team_history___v_pfr_wr_past_2_seasons,home_field___h_consecutive_home,team_history___h_ovr_wr_past_5_games,line___h_open_line,home_field___h_home__close_wr_last_8_games,home_field___v_visitor__pfr_wr_last_8_games,line___h_pfr_line,time_date___week_id,travel___v_travel_from_last_game_decay,line___pfr_ou,team_history___h_close_wr_ytd,home_field___v_visitor__ovr_wr_last_8_games,team_history___h_ovr_wr_ytd,travel___v_tz_change_last_10_days,team_history___h_ovr_wr_past_3_seasons,rankings___h__s_t_rank,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,matchup___h_wr_past_2_seasons,weather___is_dome,rankings___v__def_rank,rankings___v__estim_winrate,home_field___v_visitor__close_wr_last_8_games,rankings___h__s_t_dvoa,travel___v_days_since_last_game,time_date___is_superbowl,travel___h_travel_from_last_10_days,rankings___v__s_t_dvoa,matchup___h_wr_ytd,rankings___v__totaldvoa,team_history___v_pfr_wr_past_3_seasons,line___v_ml,travel___v_same_stadium_last_game,time_date___is_playoffs,travel___v_dist_from_home,team_history___v_pfr_wr_ytd,travel___v_travel_from_last_10_days,home_field___v_visitor__open_wr_last_4_games,home_field___h_home__ovr_wr_ytd,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold,score
200709300dal,0.0,13.0,0.0,15.20661384456776,12.953220054488385,0.0,0.0,-20.7,6.0,0.0,21.6,2,0.0,1.0,0,1.0,24.0,1.0,1.0,-800,45.0,1.0,1.0,12.953220054488385,0.0,1.0,1.0,12.0,13.0,0.0,0.5,1.0,1.0,47.0,-9.3,-32.3,1.0,0.0,0.0,14.1,0.0,0.0,58.0,-1.0,1.0,85.0,0.0,0.0,0.5,0.0,0,27.0,-13.0,85.0,12.0,0.0,0.5190258251586375,0.0,60.1,12.0,1.0,0.0,1.0,46.7,9.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1,1.0,-11.0,1.0,0.0,-13.0,4.0,15.20661384456776,47.0,1.0,0.0,1.0,-1.0,1.0,11.0,0.0,0.0,0.5,1,22.0,0.5294328528952108,0.0,4.1,7.0,0.0,12.953220054488385,-6.5,0.5,-41.4,0.0,600,0,0.0,8.87394091937173,0.0,15.20661384456776,0.0,1.0,1,1,4,2007,28,13.0,1,training,0,0.73815614
200811090nyj,0.6,12.0,0.25,16.25840917502385,5.102278507882513,0.375,0.375,-15.7,6.0,0.25,-2.9,1,0.5,1.0,0,0.4375,14.0,0.5,0.5,-400,45.0,0.75,0.6,5.102278507882513,0.25,0.5,0.0,13.0,13.0,0.5,0.5,0.6,0.4375,43.0,0.9,-36.7,1.0,0.375,0.0,24.3,0.3125,0.3125,46.0,1.0,0.5,53.0,0.4,14.0,0.5,0.3125,0,29.0,-9.5,53.0,12.0,0.20833333333333331,0.55,0.3125,-1.7,13.0,0.5,0.0,0.6,-1.5,13.0,0.4375,0.4375,0.4375,22.0,7.0,0.75,0.5,0.4375,0.20833333333333331,0.5,0.3125,0.25,0.3125,0.5,0.0,0.5,0.375,0.0,0.5,0.3333333333333333,1,0.8,-9.0,0.5,0.5,-9.5,10.0,16.25840917502385,43.5,0.5,0.25,0.625,1.0,0.375,15.0,0.25,0.5,0.5,1,31.0,0.225,0.375,0.7,7.0,0.0,5.102278507882513,1.3,0.5,-38.7,0.3333333333333333,320,0,0.0,16.25840917502385,0.375,16.25840917502385,0.375,0.625,1,1,10,2008,44,9.5,1,training,0,0.78826857
201212300was,0.4,20.0,0.5333333333333333,21.14548034818789,1.9661519946586024,0.75,0.7142857142857143,7.1,6.0,0.3709677419354839,13.1,1,0.4,1.0,0,0.5483870967741935,19.0,0.6666666666666666,0.75,-175,50.0,0.75,1.0,1.9661519946586024,0.75,0.6666666666666666,1.0,21.0,21.0,0.4,0.4,1.0,0.5483870967741935,49.0,3.9,1.1,1.0,0.4,0.0,6.1,0.4,0.4,53.0,1.0,0.6666666666666666,30.0,0.6,9.0,0.4,0.3709677419354839,1,11.0,-3.0,37.0,20.0,0.5161290322580645,0.5933333333333334,0.4,7.5,21.0,0.5714285714285714,0.0,1.0,14.3,21.0,0.5744680851063829,0.5638297872340425,0.5744680851063829,6.0,7.0,0.5714285714285714,0.75,0.5483870967741935,0.4680851063829787,0.6666666666666666,0.4,0.3723404255319149,0.3723404255319149,0.6666666666666666,1.0,0.5714285714285714,0.4516129032258064,0.0,0.75,0.3709677419354839,1,1.0,-3.5,0.5714285714285714,0.7142857142857143,-3.0,17.0,21.14548034818789,49.0,0.6666666666666666,0.5714285714285714,0.6,1.0,0.425531914893617,25.0,0.5333333333333333,0.75,0.33333333333333337,1,23.0,0.5133333333333333,0.7142857142857143,-2.9,7.0,0.0,1.9661519946586024,-0.7,1.0,0.3,0.39361702127659576,155,0,0.0,21.14548034818789,0.4,21.14548034818789,0.75,0.6,1,1,17,2012,10,3.0,1,training,0,0.07007936
201201010rai,0.6,16.0,0.4666666666666667,39.422922230460046,19.881602304612716,0.25,0.14285714285714285,14.4,6.0,0.41935483870967744,-6.8,2,0.6,1.0,0,0.532258064516129,25.0,0.5666666666666667,0.5,-145,49.0,0.25,0.4,27.74701021042268,0.25,0.6666666666666666,1.0,15.0,16.0,0.6,0.6,0.6,0.5806451612903226,50.0,9.9,1.8,1.0,0.3333333333333333,-2.0,14.1,0.26666666666666666,0.26666666666666666,63.0,-3.0,0.6666666666666666,56.0,0.6,8.0,0.6,0.41935483870967744,1,6.0,-2.5,56.0,13.0,0.5161290322580645,0.4933333333333334,0.3333333333333333,-4.7,13.0,0.5714285714285714,0.0,0.6,4.9,22.0,0.5212765957446809,0.5531914893617021,0.5531914893617021,16.0,8.0,0.42857142857142855,0.5,0.5806451612903226,0.6041666666666666,0.5666666666666667,0.3333333333333333,0.4375,0.4479166666666667,0.6666666666666666,1.0,0.35714285714285715,0.5161290322580645,-2.0,0.25,0.4516129032258064,1,0.4,-3.0,0.5714285714285714,0.2857142857142857,-3.0,17.0,28.247759146939202,48.5,0.6666666666666666,0.2857142857142857,0.5333333333333333,-3.0,0.44680851063829785,18.0,0.4666666666666667,0.25,1.0,1,26.0,0.44666666666666666,0.2857142857142857,0.3,8.0,0.0,27.74701021042268,-2.5,1.0,-2.2,0.46875,125,0,0.0,7.1066775490731375,0.3333333333333333,39.422922230460046,0.25,0.5333333333333333,-1,-1,17,2011,-12,2.5,0,training,0,0.47152767
201211040atl,0.4,20.0,0.42857142857142855,12.731921458161759,11.090170542372197,0.75,0.75,0.2,6.0,0.3695652173913043,21.0,1,0.4,1.0,0,0.5416666666666666,27.0,0.7142857142857143,0.3333333333333333,-195,47.5,1.0,0.6,11.090170542372197,0.5,0.7142857142857143,1.0,21.0,21.0,0.4,0.5,0.6,0.5208333333333334,47.5,-6.0,1.6,1.0,0.42857142857142855,0.0,-5.8,0.42857142857142855,0.42857142857142855,0.0,1.0,0.7142857142857143,68.0,0.4,0.0,0.0,0.3695652173913043,0,15.0,-4.0,68.0,20.0,0.4782608695652174,0.8142857142857143,0.42857142857142855,21.1,21.0,0.3333333333333333,0.0,0.6,11.5,10.0,0.5853658536585366,0.5975609756097561,0.573170731707317,7.0,7.0,1.0,0.3333333333333333,0.5625,0.4358974358974359,0.7142857142857143,0.42857142857142855,0.3717948717948718,0.3717948717948718,0.7142857142857143,0.0,0.3333333333333333,0.7083333333333334,0.0,0.3333333333333333,0.3695652173913043,1,1.0,-4.5,0.3333333333333333,0.75,-4.5,9.0,12.731921458161759,47.5,0.7142857142857143,0.5,1.0,1.0,0.7317073170731707,10.0,0.42857142857142855,0.75,0.5,1,11.0,0.5857142857142856,0.75,3.6,7.0,0.0,11.090170542372197,-4.6,0.5,1.4,0.3974358974358974,170,0,0.0,12.731921458161759,0.42857142857142855,12.731921458161759,0.75,1.0,1,1,9,2012,6,4.0,1,training,0,0.48179057
201309290sdg,0.6,15.0,0.6666666666666666,20.026691075512193,30.536061643430706,1.0,0.5,-0.4,6.0,0.4473684210526316,-4.0,1,0.6,1.0,0,0.4736842105263158,15.0,0.8333333333333334,1.0,105,45.5,0.0,0.7,30.536061643430706,0.0,0.8333333333333334,0.0,15.0,16.0,0.5,0.5,0.7,0.5,48.0,27.3,0.2,1.0,1.0,-2.0,-8.5,0.8333333333333334,0.8333333333333334,27.0,-2.0,0.8333333333333334,80.0,0.4,7.0,1.0,0.4736842105263158,1,17.0,1.5,80.0,15.0,0.5263157894736842,0.5190258251586375,1.0,-0.2,13.0,1.0,0.0,0.7,28.1,31.0,0.4,0.4428571428571429,0.4428571428571429,3.0,7.0,0.0,1.0,0.5,0.5142857142857142,0.8333333333333334,1.0,0.4,0.4142857142857143,0.8333333333333334,0.0,1.0,0.42105263157894735,-2.0,1.0,0.4736842105263158,1,0.6,1.0,1.0,1.0,1.5,4.0,20.026691075512193,47.0,0.8333333333333334,0.0,0.3333333333333333,-2.0,0.4571428571428571,19.0,0.6666666666666666,1.0,0.5,1,11.0,0.5294328528952108,1.0,-1.1,7.0,0.0,30.536061643430706,0.4,0.5,8.5,0.4142857142857143,-125,0,0.0,20.026691075512193,1.0,20.026691075512193,0.5,0.3333333333333333,1,1,4,2013,9,1.5,1,training,0,0.6993091
201409210crd,0.5,13.0,0.5,10.452514362582807,38.87698759292064,1.0,1.0,3.5,6.0,0.6428571428571429,2.8,1,0.5,1.0,0,0.6388888888888888,12.0,0.5,0.0,131,42.0,1.0,0.5,38.87698759292064,1.0,0.5,1.0,16.0,16.0,0.6,0.0,0.5,0.6388888888888888,41.0,-22.1,8.8,1.0,0.5,-2.0,0.6,0.5,0.5,0.0,1.0,0.5,68.0,0.6,0.0,0.2,0.6190476190476191,1,13.0,3.0,68.0,13.0,0.7142857142857143,0.5190258251586375,0.5,23.6,14.0,0.0,0.0,0.5,-3.9,5.0,0.5441176470588235,0.5588235294117647,0.5441176470588235,22.0,7.0,1.0,0.0,0.6388888888888888,0.7125,0.5,0.5,0.6125,0.5875,0.5,1.0,0.0,0.6666666666666666,-2.0,0.0,0.6666666666666666,1,0.8,3.0,0.0,1.0,3.0,3.0,10.452514362582807,42.0,0.5,1.0,1.0,1.0,0.5,3.0,0.5,1.0,0.0,1,17.0,0.5294328528952108,1.0,5.5,7.0,0.0,38.87698759292064,0.8,0.5,3.6,0.6,-151,0,0.0,10.452514362582807,0.5,10.452514362582807,1.0,1.0,1,1,3,2014,9,3.0,1,training,0,0.72525847
200712300cle,0.6,10.0,0.3333333333333333,40.863041638366845,3.7076221039501935,0.25,0.2857142857142857,-29.8,6.0,0.36666666666666653,11.8,1,0.6,1.0,0,0.7,2.0,0.7,1.0,-550,40.0,1.0,0.6,3.7076221039501935,0.25,0.7333333333333333,0.0,13.0,13.0,0.6,0.5,0.6,0.7333333333333333,41.0,8.7,-31.1,1.0,0.36666666666666653,0.0,12.1,0.36666666666666653,0.36666666666666653,64.0,3.0,0.7333333333333333,28.0,0.6,8.0,0.5,0.3333333333333333,1,32.0,-11.5,35.0,10.0,0.3333333333333333,0.5190258251586375,0.3333333333333333,4.8,13.0,0.8571428571428571,0.0,0.6,7.8,22.0,0.7,0.7333333333333333,0.7333333333333333,10.0,7.0,0.8571428571428571,1.0,0.7333333333333333,0.3333333333333333,0.7,0.3333333333333333,0.36666666666666653,0.3333333333333333,0.7333333333333333,0.0,0.8571428571428571,0.6,0.0,1.0,0.36666666666666653,1,0.6,-13.5,0.8571428571428571,0.2857142857142857,-11.5,17.0,40.863041638366845,41.0,0.7333333333333333,0.2857142857142857,0.6,3.0,0.6,4.0,0.3333333333333333,0.25,0.5,1,28.0,0.5294328528952108,0.2857142857142857,5.7,7.0,0.0,3.7076221039501935,6.1,0.5,-35.8,0.36666666666666653,450,0,0.0,40.863041638366845,0.36666666666666653,40.863041638366845,0.25,0.6,1,1,17,2007,13,11.5,1,training,0,1.0077722
201109190nyg,0.2,20.0,0.0,16.26114026363173,2.421029526844086,0.5,0.5,-10.8,0.0,0.5588235294117647,3.0,1,0.2,1.0,0,0.4117647058823529,20.0,0.0,0.5,-330,44.0,0.5,0.2,3.3788187678159165,0.5,0.0,1.0,21.0,21.0,0.2,0.5,0.2,0.4117647058823529,43.5,16.8,-17.7,0.0,0.0,0.0,38.1,0.0,0.0,72.0,1.0,0.0,60.0,0.2,6.0,1.0,0.5882352941176471,0,24.0,-7.0,60.0,20.0,0.4117647058823529,0.5190258251586375,0.0,-31.9,21.0,0.5,0.0,0.2,-2.9,23.0,0.4090909090909091,0.4090909090909091,0.4090909090909091,20.0,8.0,0.5,0.5,0.4117647058823529,0.24242424242424246,0.0,0.0,0.5,0.5151515151515151,0.0,0.0,0.5,0.5882352941176471,0.0,0.5,0.5882352941176471,1,0.4,-4.5,0.5,0.5,-7.0,2.0,11.651616562984154,44.0,0.0,0.5,0.0,1.0,0.5454545454545454,26.0,0.0,0.5,0.5,1,29.0,0.5294328528952108,0.5,-12.2,8.0,0.0,3.3788187678159165,-4.2,0.5,-53.1,0.5151515151515151,270,0,0.0,16.26114026363173,0.0,16.26114026363173,0.5,0.0,1,1,2,2011,12,7.0,1,training,0,0.7334918
201311030cle,0.5,16.0,0.42857142857142855,1.989209829480024,13.018451979052664,0.25,0.25,-14.5,6.0,0.5555555555555556,-9.7,2,0.5,1.0,0,0.5208333333333334,13.0,0.5,0.5,-104,40.0,0.5,0.6,13.018451979052664,0.25,0.5,1.0,15.0,16.0,0.6,0.0,0.6,0.5208333333333334,42.5,3.5,-8.4,1.0,0.5,1.0,-4.2,0.5714285714285714,0.5714285714285714,54.0,0.0,0.5,46.0,0.4,9.0,0.0,0.5185185185185185,1,25.0,1.0,46.0,16.0,0.6296296296296297,0.3625,0.5,-9.8,16.0,0.5,0.0,0.6,-11.4,23.0,0.5125,0.525,0.525,23.0,7.0,0.5,0.5,0.5208333333333334,0.6666666666666666,0.5,0.5,0.5444444444444444,0.5222222222222223,0.5,1.0,0.5,0.3333333333333333,1.0,0.5,0.5185185185185185,1,0.4,3.0,0.5,0.25,1.0,9.0,0.192897588600156,41.5,0.5,0.25,0.375,0.0,0.3,6.0,0.42857142857142855,0.25,0.0,1,10.0,0.4857142857142857,0.25,5.1,14.0,0.0,13.018451979052664,1.7,0.0,-8.6,0.5222222222222223,-116,0,0.0,5.544067420053612,0.5,0.0,0.25,0.375,1,1,9,2013,6,1.0,1,training,0,0.43368325
