,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
0,200909140nwe,-1,1,1,2009,1,13.5,0.85702467,,,0.99751043,,1,0.92726755
1,200911150oti,1,1,10,2009,24,7.5,,0.35506302,,,,1,0.35506302
2,200912270atl,1,1,16,2009,28,7.5,,0.9525950999999999,,,,1,0.9525950999999999
3,200912130kan,-1,-1,14,2009,-6,2.5,,0.65030307,,,,0,0.65030307
4,201001030min,1,1,17,2009,37,8.5,0.6208807,,,0.93063676,,1,0.77575873
5,200912210was,-1,-1,15,2009,-33,3.0,0.35398620000000003,,,,,0,0.35398620000000003
6,200911260den,1,1,12,2009,20,4.5,0.15172094,0.5174846,0.29547787,,,1,0.32156113666666664
7,200909270tam,-1,-1,3,2009,-24,6.0,,,0.42072496,,0.12268555,0,0.271705255
8,200911010phi,1,1,8,2009,23,3.0,0.18675768,0.60639966,,,0.54655886,1,0.44657206666666666
9,200910040kan,-1,-1,4,2009,-11,9.5,0.34284040000000005,,,0.16740882,0.045564324,0,0.18527118133333334
10,200910180nor,1,1,6,2009,21,3.0,,,0.55076766,0.6786563,,1,0.61471198
11,200909200dal,-1,-1,2,2009,-2,3.0,0.30418490000000004,0.62235147,,0.75740266,0.70793384,0,0.5979682175
12,200712090nyj,-1,-1,14,2007,-6,3.0,0.5625657,0.18378466,,,0.29837742,0,0.3482425933333333
13,200709230rai,-1,1,3,2007,2,3.0,0.51602316,0.340518,0.5065079,0.17047355,0.5117139,1,0.409047302
14,200710280ram,-1,-1,8,2007,-7,3.0,0.7141900999999999,0.3638872,0.49907643,,,0,0.52571791
15,200712230cin,1,1,16,2007,5,2.0,0.07061365,,0.4880616,0.722584,,1,0.42708641666666664
16,200712020crd,1,1,13,2007,6,1.0,0.08323875,,0.35210305,,,1,0.2176709
17,200710070nwe,1,1,5,2007,17,15.5,0.72473603,0.76674473,,,,1,0.74574038
18,200711110pit,-1,1,10,2007,3,9.0,0.821585,0.8651788,0.78535736,0.82892925,1.0363708,1,0.867484242
19,200711180rav,-1,-1,11,2007,-3,1.0,0.31230992,,,,,0,0.31230992
20,200809280nyj,1,1,4,2008,21,1.0,,0.47336414,0.5439848,,,1,0.50867447
21,200811020ram,-1,-1,9,2008,-21,3.0,,0.39081663,0.18651283,,-0.076711,0,0.16687282
22,200811160sea,-1,-1,11,2008,-6,3.0,0.25414586,,,0.5489456,,0,0.40154573000000005
23,200809210was,1,1,3,2008,7,3.0,0.48850998,,0.8872201,,,1,0.6878650399999999
24,200810260car,-1,1,8,2008,4,4.5,0.8672743,0.52091175,0.7938932,,,1,0.7273597500000001
25,200901100car,-1,-1,19,2008,-20,10.0,0.9185324,,,,,0,0.9185324
26,200812210nwe,1,1,16,2008,40,8.0,0.7336427,,,,,1,0.7336427
27,200811270phi,1,1,13,2008,28,3.0,0.58220464,,,0.5471454000000001,,1,0.5646750200000001
28,200809070sfo,-1,-1,1,2008,-10,2.5,0.94256264,,0.3136693,0.7293881999999999,,0,0.66187338
29,200810260nyj,-1,1,8,2008,4,13.0,,,0.71134686,0.9794558000000001,0.6283754,1,0.7730593533333333
30,200811090sdg,-1,1,10,2008,1,15.0,0.63058794,0.55323154,,,0.5810043,1,0.5882745933333333
31,200812280cin,1,1,17,2008,10,1.5,,0.44586040000000005,0.18017977,,0.64471215,1,0.42358410666666674
32,200810050car,1,1,5,2008,34,10.0,,0.7948818,0.9152684000000001,0.8099221,,1,0.8400241
33,200812070den,-1,1,14,2008,7,9.0,,0.7976386,0.5774636,0.5985590000000001,,1,0.6578870666666666
34,200809070nwe,-1,1,1,2008,7,16.0,,0.7811140999999999,,,0.8934351999999999,1,0.8372746499999999
35,200809210atl,1,1,3,2008,24,6.0,0.88749886,0.7931296,,0.81899846,0.6861586,1,0.7964463799999999
36,200811300rai,-1,-1,13,2008,-7,3.0,0.38876367,0.95356345,0.68900025,0.61480683,,0,0.66153355
37,200811090nyj,1,1,10,2008,44,9.5,0.8849546,,,0.8717094000000001,0.70829076,1,0.8216515866666668
38,200809210sea,1,1,3,2008,24,8.0,,,,,0.7767564,1,0.7767564
39,200810120was,-1,-1,6,2008,-2,12.0,,0.78893256,0.5080554,,0.6863451,0,0.66111102
41,200809070phi,1,1,1,2008,35,7.5,,0.9811127000000001,1.0314915,,0.6289579000000001,1,0.8805207
42,200812280atl,-1,1,17,2008,4,14.0,,0.8169806,1.1117963,,0.93150127,1,0.9534260566666667
43,200811160sfo,1,1,11,2008,19,7.0,,,,,0.6582142,1,0.6582142
44,200910110car,-1,1,5,2009,3,5.0,0.32570190000000004,0.48880804,0.392296,0.43879017,0.6499754,1,0.45911430200000003
45,200909270det,1,1,3,2009,5,6.5,,0.44415152,0.73262036,,,1,0.58838594
46,200911290phi,-1,1,12,2009,3,10.0,0.87239444,,,0.85816705,,1,0.865280745
47,200911080atl,1,1,9,2009,14,8.5,0.7584684,,0.8794495000000001,0.8255769000000001,,1,0.8211649333333334
48,200912130rai,-1,-1,14,2009,-21,2.0,0.48212948,,0.35320044,,,0,0.41766496
49,200911220dal,-1,1,11,2009,1,10.5,,,0.9572867,,1.1428361,1,1.0500614000000001
