,accuracy
1,0.7777777777777778
3,0.6666666666666666
5,0.7111111111111111
7,0.7301587301587301
9,0.7530864197530864
11,0.7878787878787878
13,0.7777777777777778
15,0.8
17,0.7973856209150327
19,0.7953216374269005
21,0.7936507936507936
23,0.7971014492753623
25,0.8044444444444444
27,0.8106995884773662
29,0.8045977011494253
31,0.7885304659498208
33,0.7912457912457912
35,0.7968253968253968
37,0.7927927927927928
39,0.7806267806267806
41,0.7777777777777778
43,0.7803617571059431
45,0.7753086419753087
47,0.7754137115839244
49,0.7732426303854876
51,0.7647058823529411
53,0.7651991614255765
55,0.7636363636363637
57,0.7660818713450293
59,0.7608286252354048
61,0.7595628415300546
63,0.7530864197530864
65,0.7504273504273504
67,0.746268656716418
69,0.7455716586151369
71,0.7402190923317684
73,0.7336377473363774
75,0.7318518518518519
77,0.7287157287157288
79,0.7271448663853727
81,0.7283950617283951
83,0.7255689424364123
85,0.7254901960784313
87,0.7177522349936143
89,0.7116104868913857
91,0.706959706959707
93,0.7060931899641577
95,0.704093567251462
97,0.6987399770904925
99,0.7014590347923682
101,0.6985698569856986
103,0.6968716289104638
105,0.6952380952380952
107,0.6967808930425753
109,0.6941896024464832
111,0.6876876876876877
113,0.6863323500491643
115,0.6879227053140097
117,0.6856600189933523
119,0.6862745098039216
121,0.6841138659320477
123,0.6820234869015357
125,0.6826666666666666
127,0.6797900262467191
129,0.6795865633074936
131,0.6759966072943172
133,0.6750208855472013
135,0.674074074074074
137,0.6747769667477697
139,0.6754596322941646
141,0.6729708431836091
143,0.6728826728826729
145,0.6720306513409962
147,0.6689342403628118
149,0.6674123788217748
151,0.6674025018395879
153,0.6623093681917211
155,0.6637992831541218
157,0.6610049539985846
159,0.6575821104122991
161,0.655624568668047
163,0.65439672801636
165,0.6518518518518519
167,0.6500332667997338
169,0.6476002629848784
171,0.6445743989603638
173,0.6448298008991651
175,0.6419047619047619
177,0.6396735718769617
179,0.6393544382371198
181,0.6396562308164518
183,0.6357012750455373
185,0.6324324324324324
187,0.6316102198455139
189,0.6308054085831863
191,0.6288539848749273
193,0.6257915947035118
195,0.6227920227920228
197,0.6209813874788495
199,0.620323841429369
201,0.6185737976782753
203,0.6185002736726875
205,0.6173441734417344
207,0.6151368760064412
209,0.6129718234981393
211,0.6092680358083201
213,0.6082420448617631
215,0.6051679586563308
217,0.6021505376344086
219,0.5996955859969558
221,0.599798893916541
223,0.5994020926756353
225,0.5965432098765432
227,0.5952031326480666
229,0.5900048520135857
231,0.5873015873015873
233,0.5846447305674773
235,0.5820330969267139
237,0.5808720112517581
239,0.5806601580660158
241,0.57860765329645
243,0.5762013729977117
245,0.5745454545454546
247,0.5733031674208144
249,0.5712353471596032
251,0.5704003598740441
253,0.5693758419398294
