Bin,Lost,Won
0,1.0,0.0
1,0.0,0.0
2,0.0,0.0
3,1.0,0.0
4,2.0,1.0
5,0.0,0.0
6,2.0,0.0
7,2.0,1.0
8,1.0,1.0
9,4.0,2.0
10,4.0,2.0
11,3.0,0.0
12,4.0,1.0
13,2.0,2.0
14,5.0,0.0
15,8.0,3.0
16,6.0,1.0
17,10.0,8.0
18,9.0,2.0
19,6.0,5.0
20,7.0,5.0
21,8.0,2.0
22,6.0,6.0
23,6.0,7.0
24,8.0,2.0
25,12.0,7.0
26,9.0,6.0
27,17.0,3.0
28,15.0,9.0
29,10.0,4.0
30,28.0,7.0
31,7.0,5.0
32,10.0,12.0
33,20.0,17.0
34,13.0,10.0
35,15.0,13.0
36,10.0,8.0
37,22.0,11.0
38,14.0,20.0
39,15.0,10.0
40,14.0,17.0
41,19.0,12.0
42,15.0,12.0
43,17.0,17.0
44,19.0,16.0
45,19.0,13.0
46,18.0,21.0
47,16.0,12.0
48,14.0,13.0
49,19.0,18.0
50,12.0,21.0
51,13.0,18.0
52,15.0,13.0
53,14.0,30.0
54,15.0,17.0
55,13.0,21.0
56,15.0,14.0
57,17.0,21.0
58,12.0,29.0
59,14.0,22.0
60,16.0,25.0
61,12.0,20.0
62,11.0,19.0
63,11.0,19.0
64,15.0,17.0
65,15.0,19.0
66,15.0,19.0
67,11.0,15.0
68,12.0,16.0
69,9.0,28.0
70,13.0,21.0
71,13.0,21.0
72,11.0,16.0
73,12.0,23.0
74,5.0,23.0
75,8.0,23.0
76,12.0,15.0
77,14.0,25.0
78,13.0,21.0
79,7.0,15.0
80,4.0,23.0
81,8.0,23.0
82,9.0,20.0
83,10.0,25.0
84,6.0,19.0
85,5.0,28.0
86,5.0,14.0
87,3.0,13.0
88,2.0,22.0
89,3.0,12.0
90,1.0,9.0
91,3.0,15.0
92,2.0,11.0
93,7.0,12.0
94,4.0,15.0
95,1.0,8.0
96,2.0,4.0
97,1.0,7.0
98,2.0,7.0
99,1.0,5.0
100,1.0,1.0
