Percentile,Lost,Won
0,11,1
1,16,6
2,16,6
3,14,9
4,15,7
5,15,7
6,11,11
7,16,7
8,14,8
9,18,4
10,15,8
11,15,7
12,19,3
13,13,9
14,11,12
15,9,13
16,14,8
17,14,9
18,12,10
19,12,10
20,17,5
21,8,15
22,12,10
23,11,11
24,12,11
25,12,10
26,12,10
27,13,9
28,12,11
29,11,11
30,12,10
31,15,8
32,11,11
33,9,13
34,12,11
35,9,13
36,16,6
37,10,12
38,8,15
39,9,13
40,9,13
41,12,11
42,11,11
43,5,17
44,12,10
45,7,16
46,9,13
47,9,13
48,15,8
49,8,14
50,8,14
51,6,16
52,7,16
53,9,13
54,10,12
55,9,14
56,7,15
57,8,14
58,9,13
59,10,13
60,9,13
61,11,11
62,9,14
63,10,12
64,8,14
65,10,12
66,9,14
67,5,17
68,9,13
69,7,16
70,10,12
71,9,13
72,8,15
73,7,15
74,3,19
75,5,17
76,8,15
77,9,13
78,9,13
79,9,14
80,7,15
81,7,15
82,3,19
83,7,16
84,6,16
85,6,16
86,7,16
87,7,15
88,3,19
89,3,19
90,6,17
91,4,18
92,2,20
93,4,19
94,5,17
95,4,18
96,6,16
97,4,19
98,6,16
99,5,17
100,3,8
