Bin,Lost,Won
0,1.0,0.0
1,0.0,0.0
2,0.0,0.0
3,1.0,0.0
4,2.0,1.0
5,0.0,0.0
6,3.0,0.0
7,2.0,2.0
8,2.0,4.0
9,1.0,2.0
10,4.0,2.0
11,4.0,0.0
12,4.0,0.0
13,5.0,2.0
14,5.0,0.0
15,9.0,2.0
16,6.0,3.0
17,9.0,4.0
18,6.0,6.0
19,7.0,6.0
20,15.0,5.0
21,8.0,5.0
22,8.0,7.0
23,9.0,7.0
24,5.0,4.0
25,12.0,6.0
26,8.0,6.0
27,12.0,7.0
28,15.0,6.0
29,15.0,6.0
30,21.0,9.0
31,8.0,9.0
32,8.0,6.0
33,23.0,13.0
34,13.0,11.0
35,17.0,11.0
36,12.0,14.0
37,18.0,7.0
38,16.0,16.0
39,16.0,12.0
40,15.0,15.0
41,15.0,11.0
42,10.0,14.0
43,16.0,8.0
44,12.0,18.0
45,20.0,18.0
46,14.0,20.0
47,20.0,11.0
48,15.0,15.0
49,15.0,18.0
50,17.0,16.0
51,20.0,16.0
52,17.0,15.0
53,10.0,25.0
54,15.0,20.0
55,15.0,20.0
56,12.0,20.0
57,10.0,19.0
58,14.0,24.0
59,12.0,19.0
60,18.0,25.0
61,11.0,21.0
62,16.0,22.0
63,8.0,14.0
64,16.0,20.0
65,14.0,18.0
66,14.0,21.0
67,9.0,16.0
68,18.0,24.0
69,8.0,20.0
70,6.0,18.0
71,15.0,18.0
72,10.0,16.0
73,14.0,26.0
74,6.0,21.0
75,10.0,26.0
76,10.0,15.0
77,11.0,23.0
78,12.0,19.0
79,10.0,12.0
80,4.0,21.0
81,9.0,31.0
82,5.0,18.0
83,10.0,24.0
84,8.0,23.0
85,6.0,22.0
86,9.0,19.0
87,4.0,13.0
88,3.0,23.0
89,3.0,13.0
90,1.0,10.0
91,3.0,11.0
92,4.0,10.0
93,7.0,13.0
94,3.0,15.0
95,1.0,8.0
96,1.0,6.0
97,2.0,5.0
98,1.0,4.0
99,1.0,5.0
100,1.0,3.0
