Percentile,Lost,Won
0,11,1
1,12,10
2,19,3
3,16,7
4,12,10
5,15,7
6,13,9
7,12,11
8,13,9
9,16,6
10,15,8
11,15,7
12,16,6
13,16,6
14,11,12
15,15,7
16,12,10
17,12,11
18,14,8
19,11,11
20,14,8
21,16,7
22,10,12
23,12,10
24,14,9
25,11,11
26,11,11
27,9,13
28,14,9
29,10,12
30,12,10
31,11,12
32,8,14
33,12,10
34,14,9
35,12,10
36,12,10
37,9,13
38,12,11
39,11,11
40,13,9
41,11,12
42,11,11
43,5,17
44,11,11
45,6,17
46,11,11
47,7,15
48,13,10
49,6,16
50,9,13
51,5,17
52,10,13
53,10,12
54,8,14
55,8,15
56,9,13
57,9,13
58,9,13
59,11,12
60,12,10
61,7,15
62,9,14
63,7,15
64,9,13
65,9,13
66,10,13
67,6,16
68,5,17
69,8,15
70,12,10
71,10,12
72,8,15
73,3,19
74,5,17
75,8,14
76,8,15
77,8,14
78,6,16
79,9,14
80,9,13
81,6,16
82,5,17
83,5,18
84,4,18
85,8,14
86,5,18
87,4,18
88,4,18
89,8,14
90,8,15
91,3,19
92,3,19
93,5,18
94,4,18
95,8,14
96,3,19
97,5,18
98,3,19
99,6,16
100,3,8
