game_id,team_history___v_ovr_wr_ytd,line___h_ml,home_field___v_visitor__close_wr_last_8_games,team_history___v_pfr_wr_ytd,home_field___h_home__open_wr_last_8_games,rankings___h__dave_or_wtddvoa,team_history___h_ovr_wr_past_2_seasons,line___h_close_line,rankings___v__def_rank,team_history___h_close_wr_ytd,travel___v_home_body_time,time_date___game_time_local,time_date___week_id,line___h_pfr_line,home_field___h_home__close_wr_last_8_games,home_field___v_visitor__open_wr_last_4_games,team_history___h_close_wr_past_3_seasons,home_field___v_visitor__close_wr_last_4_games,weather___temperature,rankings___h__estim_winrate,team_history___h_pfr_wr_past_5_games,rankings___v__s_t_dvoa,travel___v_tz_change_last_10_days,team_history___v_close_wr_past_3_seasons,team_history___v_pfr_wr_past_2_seasons,team_history___h_ovr_wr_ytd,team_history___v_close_wr_past_2_seasons,travel___h_body_clock_from_last_wk,rankings___h__totaldvoa,matchup___h_wr_past_5_games,home_field___v_visitor__close_wr_ytd,home_field___h_home__ovr_wr_last_8_games,rankings___v__dave_or_wtddvoa,travel___v_dist_from_home,home_field___h_home__ovr_wr_ytd,home_field___h_home__open_wr_last_4_games,home_field___v_visitor__open_wr_ytd,team_history___v_close_wr_ytd,rankings___h__defensedvoa,team_history___h_ovr_wr_past_5_games,line___pfr_ou,home_field___h_consecutive_home,rankings___h__off_rank,travel___h_travel_from_last_10_days,matchup___h_wr_past_2_seasons,travel___v_tz_change_last_game,travel___v_travel_from_last_game_decay,matchup___h_wr_past_3_seasons,rankings___h__def_rank,travel___h_same_stadium_last_game,matchup___is_same_conf,team_history___v_pfr_wr_past_5_games,home_field___v_visitor__ovr_wr_last_4_games,travel___h_travel_from_last_game,time_date___is_sunday,time_date___is_superbowl,rankings___v__estim_winrate,home_field___v_is_home,team_history___h_open_wr_ytd,team_history___v_ovr_wr_past_2_seasons,line___v_ml,travel___v_days_since_last_game,rankings___h__s_t_rank,home_field___h_home__pfr_wr_last_4_games,weather___is_dome,team_history___h_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_3_seasons,team_history___h_close_wr_past_5_games,home_field___v_visitor__pfr_wr_last_8_games,team_history___v_open_wr_past_3_seasons,team_history___h_open_wr_past_5_games,weather___humidity_pct,rankings___v__defensedvoa,rankings___h__offensedvoa,rankings___v__s_t_rank,rankings___v__off_rank,travel___h_travel_from_last_game_decay,team_history___h_pfr_wr_ytd,home_field___h_home__open_wr_ytd,team_history___v_close_wr_past_5_games,weather___wind_chill,line___open_ou,home_field___h_home__pfr_wr_ytd,travel___v_same_stadium_last_game,rankings___h__s_t_dvoa,travel___v_body_clock_from_last_wk,weather___wind_mph,team_history___v_ovr_wr_past_3_seasons,line___h_open_line,team_history___h_pfr_wr_past_2_seasons,team_history___h_open_wr_past_2_seasons,travel___v_travel_from_last_game,travel___h_days_since_last_game,home_field___v_visitor__open_wr_last_8_games,team_history___v_ovr_wr_past_5_games,home_field___v_visitor__ovr_wr_last_8_games,line___close_ou,rankings___v__offensedvoa,home_field___v_visitor__pfr_wr_last_4_games,home_field___h_home__close_wr_last_4_games,home_field___h_home__pfr_wr_last_8_games,team_history___v_open_wr_ytd,travel___h_tz_change_last_game,time_date___game_time_eastern,team_history___v_open_wr_past_5_games,home_field___h_is_home,matchup___is_same_division,weather___is_grass,matchup___h_wr_ytd,team_history___h_open_wr_past_3_seasons,home_field___h_home__close_wr_ytd,home_field___h_home__ovr_wr_last_4_games,travel___h_tz_change_last_10_days,home_field___v_visitor__pfr_wr_ytd,rankings___v__totaldvoa,travel___v_travel_from_last_10_days,team_history___h_close_wr_past_2_seasons,home_field___v_visitor__ovr_wr_ytd,time_date___is_playoffs,team_history___h_ovr_wr_past_3_seasons,time_date___day_of_week,home_field___v_consecutive_visitor,team_history___v_open_wr_past_2_seasons,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold,score
200710070htx,0.0,-215,0.5,0.25,0.5,-3.6,0.5,-4.5,29.0,0.75,13.0,12.0,5.0,-5.5,1.0,0.5,0.75,0.5,68.0,0.45,0.75,-2.7,-1.0,0.25,0.25,0.5,0.25,13.0,5.5,0.5,0.25,0.5,-20.0,15.622924121917773,0.5,0.5,0.25,0.25,2.3,0.5,43.5,1,20.0,11.739163794210382,0.5,-1.0,15.622924121917773,0.5,17.0,0,1.0,0.25,0.0,11.739163794210382,1.0,0.0,0.275,0.0,0.5,0.0,185,7.0,1.0,1.0,1,0.75,0.25,0.75,0.5,0.25,0.5,0.0,22.4,-2.8,22.0,18.0,11.739163794210382,0.75,0.5,0.25,68.0,42.5,0.75,0,10.6,13.0,0.0,0.0,-5.5,0.75,0.5,15.622924121917773,7.0,0.5,0.0,0.0,43.5,1.3,0.5,1.0,1.0,0.25,-1.0,13.0,0.25,1.0,0.0,1,0.5,0.5,0.75,0.5,-1.0,0.25,-23.8,15.622924121917773,0.75,0.0,0.0,0.5,6.0,1,0.25,-1,1,5,2007,3,4.5,1,training,0,0.64595336
200812140mia,0.38461538461538464,-240,0.5,0.4615384615384616,0.2857142857142857,8.5,0.3103448275862069,-5.5,18.0,0.4615384615384616,10.0,13.0,15.0,-5.5,0.2857142857142857,0.75,0.4137931034482759,0.5,77.0,0.5307692307692308,0.2,5.6,3.0,0.3793103448275862,0.3965517241379311,0.6153846153846154,0.3793103448275862,13.0,5.3,0.5,0.4615384615384616,0.5714285714285714,-19.8,43.755926564648384,0.6153846153846154,0.25,0.5384615384615384,0.4615384615384616,2.4,0.8,41.0,1,9.0,17.70373361659342,0.5,3.0,43.755926564648384,0.5,12.0,0,0.0,0.8,0.25,17.70373361659342,1.0,0.0,0.3692307692307692,0.0,0.4615384615384616,0.3448275862068966,200,7.0,31.0,0.25,1,0.4137931034482759,0.3965517241379311,0.2,0.5,0.4655172413793103,0.2,54.0,7.5,14.6,2.0,28.0,17.70373361659342,0.4615384615384616,0.4615384615384616,0.8,77.0,43.0,0.4615384615384616,0,-6.8,10.0,17.0,0.3448275862068966,-7.0,0.4137931034482759,0.4655172413793103,43.755926564648384,7.0,0.6666666666666666,0.6,0.3333333333333333,41.0,-16.6,0.5,0.25,0.2857142857142857,0.5384615384615384,0.0,13.0,0.8,1.0,0.0,1,0.5,0.4655172413793103,0.4615384615384616,0.75,0.0,0.4615384615384616,-18.5,43.755926564648384,0.4137931034482759,0.38461538461538464,0.0,0.3103448275862069,6.0,1,0.4655172413793103,-1,1,15,2008,5,5.5,1,training,0,0.42933515
201309080clt,0.5,-550,0.5,0.5,0.5,0.5583272990586526,0.6470588235294118,-11.5,16.03874004344678,0.5,10.0,13.0,1.0,-11.5,0.5,0.5,0.5151515151515151,0.5,68.0,0.5190258251586375,0.5,0.08030412744388128,0.0,0.46875,0.3125,0.5,0.3125,13.0,0.07465604634322998,1.0,0.5,0.5,1.3540188269370024,36.09267589389172,0.5,0.5,0.5,0.5,1.1731354091238233,0.6,45.0,1,16.30955829109341,0.0,0.5,0.0,0.0,0.5,16.55503258508327,0,1.0,0.4,0.5,0.0,1.0,0.0,0.5294328528952108,0.0,0.5,0.25,420,300.0,16.484069514844315,0.5,1,0.5,0.46875,0.6,0.5,0.421875,0.4,0.0,0.32541636495293264,1.3056480811006512,16.32440260680666,16.07313540912382,0.0,0.5,0.5,0.4,68.0,49.0,0.5,0,-0.05716871832005794,13.0,0.0,0.375,-7.0,0.6176470588235294,0.5882352941176471,0.0,300.0,0.5,0.2,0.5,45.5,1.7395365677045609,0.5,0.5,0.5,0.5,0.0,13.0,0.4,1.0,0.0,0,0.5,0.4848484848484849,0.5,0.5,0.0,0.5,1.493229543808834,0.0,0.6470588235294118,0.5,0.0,0.3939393939393939,6.0,1,0.3125,-1,1,1,2013,4,11.5,1,training,0,0.7122238
201510260crd,0.16666666666666666,-475,0.125,0.16666666666666666,0.6666666666666666,35.4,0.6521739130434783,-10.0,18.0,0.6666666666666666,21.0,19.0,7.0,-8.0,0.6666666666666666,0.25,0.6538461538461539,0.125,68.0,0.8166666666666668,0.6,6.3,1.0,0.45,0.4375,0.6666666666666666,0.4375,21.0,45.3,0.0,0.08333333333333333,0.6666666666666666,0.7,36.1006728745047,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.08333333333333333,-19.9,0.6,49.0,1,3.0,32.98064037549605,0.5,1.0,7.4895540839950625,0.5,4.0,0,0.0,0.2,0.25,32.98064037549605,0.0,0.0,0.5166666666666667,0.0,0.6666666666666666,0.5,380,8.0,13.0,0.6666666666666666,1,0.6538461538461539,0.45,0.6,0.25,0.5,0.6,0.0,5.2,23.6,4.0,16.0,23.63166232053211,0.6666666666666666,0.6666666666666666,0.1,68.0,49.0,0.6666666666666666,0,1.8,18.0,0.0,0.5,-7.0,0.6521739130434783,0.6521739130434783,10.452514362582807,8.0,0.25,0.2,0.25,49.0,-1.6,0.25,0.6666666666666666,0.6666666666666666,0.16666666666666666,-2.0,21.0,0.2,1.0,0.0,1,0.5,0.6538461538461539,0.6666666666666666,0.6666666666666666,-2.0,0.16666666666666666,-0.5,10.452514362582807,0.6521739130434783,0.16666666666666666,0.0,0.6410256410256411,0.0,2,0.5208333333333334,-1,1,7,2015,8,10.0,1,training,0,0.5999498
201010310det,0.5714285714285714,-140,0.6666666666666666,0.7142857142857143,0.75,-9.6,0.13636363636363635,-2.5,21.0,0.8333333333333334,13.0,13.0,8.0,-3.0,1.0,0.6666666666666666,0.4605263157894737,0.6666666666666666,68.0,0.5,0.8,-1.9,1.0,0.4743589743589744,0.5217391304347826,0.16666666666666666,0.5217391304347826,13.0,-4.5,0.3333333333333333,0.7142857142857143,0.5,-5.4,7.070104566610028,0.16666666666666666,0.75,0.7857142857142857,0.7142857142857143,8.2,0.2,45.0,1,21.0,0.0,1.0,1.0,4.596032875165277,0.5,24.0,0,1.0,0.7,0.6666666666666666,9.100138914565258,1.0,0.0,0.4571428571428572,0.0,0.75,0.3478260869565217,120,7.0,4.0,1.0,1,0.4473684210526316,0.4871794871794872,0.8,0.6666666666666666,0.4743589743589744,0.7,0.0,3.8,-3.6,23.0,19.0,0.8824583643872989,0.8333333333333334,0.75,0.7,68.0,44.5,0.8333333333333334,0,7.3,12.0,0.0,0.41025641025641024,-1.0,0.4545454545454545,0.3863636363636364,4.596032875165277,14.0,0.6666666666666666,0.6,0.6666666666666666,45.0,-1.6,0.6666666666666666,1.0,1.0,0.7857142857142857,0.0,13.0,0.8,1.0,0.0,0,0.5,0.42105263157894735,0.8333333333333334,0.5,0.0,0.7142857142857143,-7.3,4.596032875165277,0.4545454545454545,0.5714285714285714,0.0,0.07894736842105263,6.0,2,0.5652173913043478,1,1,8,2010,12,2.5,1,training,0,0.30500346
201410260jax,0.5,265,0.5,0.5,0.3333333333333333,-27.9,0.21739130434782608,7.0,3.0,0.2857142857142857,13.0,13.0,8.0,7.0,0.3333333333333333,0.5,0.35897435897435903,0.5,76.0,0.24285714285714285,0.4,-9.9,1.0,0.5263157894736842,0.5227272727272727,0.14285714285714285,0.5227272727272727,13.0,-29.8,0.0,0.4,0.3333333333333333,4.8,4.58438453022868,0.14285714285714285,0.3333333333333333,0.6,0.5,-1.4,0.2,42.5,2,31.0,0.0,0.5,1.0,12.995604563393725,0.0,13.0,1,1.0,0.4,0.5,0.0,1.0,0.0,0.7000000000000001,0.0,0.2857142857142857,0.5,-320,7.0,24.0,0.3333333333333333,1,0.3717948717948718,0.5263157894736842,0.4,0.5,0.5394736842105263,0.4,45.0,-11.1,-28.7,32.0,11.0,0.0,0.2857142857142857,0.2857142857142857,0.4,76.0,43.5,0.2857142857142857,0,-2.4,12.0,6.0,0.4736842105263158,4.0,0.32608695652173914,0.3478260869565217,12.995604563393725,7.0,0.5,0.4,0.5,42.0,5.6,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,13.0,0.6,1.0,0.0,1,0.5,0.38461538461538464,0.2857142857142857,0.3333333333333333,0.0,0.4,6.8,12.995604563393725,0.32608695652173914,0.4,0.0,0.1794871794871795,6.0,2,0.5454545454545454,-1,-1,8,2014,-14,7.0,0,training,0,0.0023133457
201509130tam,0.5,-160,0.5,0.5,0.5,0.5583272990586526,0.125,-3.0,16.03874004344678,0.5,15.0,16.0,1.0,-3.0,0.5,0.5,0.40625,0.5,84.0,0.5190258251586375,0.6,0.08030412744388128,0.0,0.359375,0.1875,0.5,0.21875,16.0,0.07465604634322998,0.5,0.5,0.5,1.3540188269370024,9.235887032505321,0.5,0.5,0.5,0.5,1.1731354091238233,0.0,41.0,1,16.30955829109341,0.0,0.5,0.0,0.0,0.5,16.55503258508327,0,0.0,0.0,0.5,0.0,1.0,0.0,0.5294328528952108,0.0,0.5,0.125,140,300.0,16.484069514844315,0.5,1,0.40625,0.34375,0.6,0.5,0.328125,0.6,66.0,0.32541636495293264,1.3056480811006512,16.32440260680666,16.07313540912382,0.0,0.5,0.5,0.0,84.0,42.0,0.5,0,-0.05716871832005794,16.0,8.0,0.28125,-3.0,0.4375,0.4375,0.0,300.0,0.5,0.0,0.5,40.0,1.7395365677045609,0.5,0.5,0.5,0.5,0.0,16.0,0.0,1.0,0.0,1,0.5,0.40625,0.5,0.5,0.0,0.5,1.493229543808834,0.0,0.4375,0.5,0.0,0.1875,6.0,1,0.1875,-1,-1,1,2015,-28,3.0,0,training,0,0.55455595
200911120sfo,0.5,-180,0.25,0.5,0.5,-2.5,0.4166666666666667,-3.0,22.0,0.6875,19.0,17.0,10.0,-3.0,0.5,0.25,0.45,0.25,60.0,0.4875,0.5,5.6,-2.0,0.45,0.4583333333333333,0.375,0.4583333333333333,17.0,-2.4,0.5,0.5,0.5,-16.6,35.01604632827929,0.375,0.5,0.5,0.5,-6.7,0.2,43.5,2,22.0,0.0,0.5,-2.0,35.01604632827929,0.5,7.0,1,1.0,0.4,0.25,0.0,0.0,0.0,0.4375,0.0,0.6875,0.5416666666666666,160,4.0,22.0,0.5,1,0.4625,0.45,0.5,0.25,0.4375,0.5,51.0,8.9,-8.4,4.0,25.0,0.0,0.6875,0.6875,0.4,60.0,43.5,0.6875,0,-0.7,19.0,18.0,0.5,-3.0,0.5416666666666666,0.5833333333333334,35.01604632827929,4.0,0.25,0.4,0.25,43.5,-13.2,0.25,0.5,0.5,0.5,0.0,20.0,0.4,1.0,0.0,1,0.5,0.5125,0.6875,0.5,0.0,0.5,-16.5,35.01604632827929,0.5416666666666666,0.5,0.0,0.375,3.0,1,0.4583333333333333,1,1,10,2009,4,3.0,1,training,0,0.5658637
201509130nyj,0.5,-200,0.5,0.5,0.5,0.5583272990586526,0.25,-3.5,16.03874004344678,0.5,13.0,13.0,1.0,-3.5,0.5,0.5,0.5,0.5,77.0,0.5190258251586375,0.8,0.08030412744388128,0.0,0.484375,0.65625,0.5,0.59375,13.0,0.07465604634322998,0.6666666666666667,0.5,0.5,1.3540188269370024,7.656467826809238,0.5,0.5,0.5,0.5,1.1731354091238233,0.4,39.5,1,16.30955829109341,0.0,0.5,0.0,0.0,1.0,16.55503258508327,0,1.0,0.6,0.5,0.0,1.0,0.0,0.5294328528952108,0.0,0.5,0.4375,170,300.0,16.484069514844315,0.5,1,0.515625,0.515625,0.8,0.5,0.4375,0.8,49.0,0.32541636495293264,1.3056480811006512,16.32440260680666,16.07313540912382,0.0,0.5,0.5,0.6,77.0,41.0,0.5,0,-0.05716871832005794,13.0,8.0,0.34375,-2.5,0.4375,0.5,0.0,300.0,0.5,0.0,0.5,38.5,1.7395365677045609,0.5,0.5,0.5,0.5,0.0,13.0,0.2,1.0,0.0,0,0.5,0.5625,0.5,0.5,0.0,0.5,1.493229543808834,0.0,0.40625,0.5,0.0,0.375,6.0,1,0.5,1,1,1,2015,21,3.5,1,training,0,0.47481298
200812140crd,0.6153846153846154,-210,0.2857142857142857,0.38461538461538464,0.6666666666666666,5.1,0.5517241379310345,-4.5,4.0,0.6153846153846154,15.0,14.0,15.0,-3.5,0.6666666666666666,0.25,0.5862068965517241,0.25,68.0,0.5538461538461539,0.4,-9.0,-2.0,0.4482758620689655,0.4482758620689655,0.6153846153846154,0.4482758620689655,14.0,9.0,0.5,0.38461538461538464,0.8333333333333334,3.6,22.185323611471173,0.6153846153846154,0.5,0.4230769230769231,0.38461538461538464,4.9,0.6,46.5,2,6.0,0.0,0.5,-2.0,30.517040145033732,0.5,15.0,1,1.0,0.4,0.5,0.0,1.0,0.0,0.5153846153846154,0.0,0.6153846153846154,0.5517241379310345,175,7.0,26.0,0.5,1,0.5689655172413793,0.4482758620689655,0.4,0.2857142857142857,0.5,0.4,0.0,-19.7,16.2,32.0,23.0,0.0,0.6153846153846154,0.6153846153846154,0.4,68.0,47.0,0.6153846153846154,0,-2.3,16.0,0.0,0.5517241379310345,-3.0,0.5689655172413793,0.5862068965517241,30.517040145033732,7.0,0.2857142857142857,0.8,0.42857142857142855,46.5,-6.4,0.25,0.5,0.6666666666666666,0.4230769230769231,0.0,16.0,0.5,1.0,0.0,1,0.5,0.5862068965517241,0.6153846153846154,0.75,0.0,0.38461538461538464,4.4,30.517040145033732,0.5862068965517241,0.6153846153846154,0.0,0.5517241379310345,6.0,2,0.5,-1,-1,15,2008,-21,4.5,0,training,0,0.58225787
