team_history___v_pfr_wr_past_5_games,travel___v_body_clock_from_last_wk,team_history___v_ovr_wr_ytd,travel___v_travel_from_last_game,travel___h_travel_from_last_game_decay,home_field___v_visitor__close_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,rankings___v__offensedvoa,time_date___day_of_week,team_history___v_open_wr_past_2_seasons,rankings___h__dave_or_wtddvoa,home_field___v_consecutive_visitor,team_history___v_close_wr_past_5_games,home_field___h_is_home,travel___h_same_stadium_last_game,team_history___h_open_wr_past_2_seasons,rankings___v__s_t_rank,home_field___h_home__open_wr_ytd,home_field___h_home__close_wr_last_4_games,line___h_ml,line___open_ou,home_field___h_home__ovr_wr_last_4_games,team_history___h_open_wr_past_5_games,travel___h_travel_from_last_game,home_field___v_visitor__ovr_wr_last_4_games,home_field___h_home__pfr_wr_ytd,matchup___is_same_conf,travel___h_body_clock_from_last_wk,time_date___game_time_eastern,team_history___v_open_wr_past_5_games,matchup___h_wr_past_3_seasons,team_history___h_close_wr_past_5_games,team_history___h_pfr_wr_past_2_seasons,line___close_ou,rankings___h__defensedvoa,rankings___v__dave_or_wtddvoa,time_date___is_sunday,home_field___v_visitor__pfr_wr_ytd,travel___h_tz_change_last_10_days,rankings___v__defensedvoa,team_history___v_open_wr_ytd,home_field___v_visitor__open_wr_ytd,weather___humidity_pct,travel___v_tz_change_last_game,team_history___h_pfr_wr_ytd,weather___wind_chill,team_history___v_ovr_wr_past_5_games,weather___wind_mph,matchup___h_wr_past_5_games,team_history___v_close_wr_past_2_seasons,weather___is_grass,rankings___v__off_rank,line___h_close_line,weather___temperature,travel___v_home_body_time,team_history___v_ovr_wr_past_2_seasons,rankings___h__estim_winrate,team_history___v_close_wr_ytd,rankings___h__totaldvoa,time_date___game_time_local,home_field___h_home__pfr_wr_last_8_games,home_field___v_is_home,team_history___h_pfr_wr_past_5_games,rankings___h__offensedvoa,rankings___h__def_rank,team_history___h_open_wr_past_3_seasons,team_history___h_close_wr_past_3_seasons,team_history___h_pfr_wr_past_3_seasons,rankings___h__off_rank,travel___h_days_since_last_game,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__pfr_wr_last_4_games,team_history___h_close_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___h_open_wr_ytd,home_field___v_visitor__close_wr_ytd,team_history___v_open_wr_past_3_seasons,team_history___v_close_wr_past_3_seasons,home_field___h_home__close_wr_ytd,matchup___is_same_division,home_field___h_home__open_wr_last_8_games,team_history___h_ovr_wr_past_2_seasons,travel___h_tz_change_last_game,home_field___h_home__open_wr_last_4_games,game_id,team_history___v_pfr_wr_past_2_seasons,home_field___h_consecutive_home,team_history___h_ovr_wr_past_5_games,line___h_open_line,home_field___h_home__close_wr_last_8_games,home_field___v_visitor__pfr_wr_last_8_games,line___h_pfr_line,time_date___week_id,travel___v_travel_from_last_game_decay,line___pfr_ou,team_history___h_close_wr_ytd,home_field___v_visitor__ovr_wr_last_8_games,team_history___h_ovr_wr_ytd,travel___v_tz_change_last_10_days,team_history___h_ovr_wr_past_3_seasons,rankings___h__s_t_rank,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_last_4_games,matchup___h_wr_past_2_seasons,weather___is_dome,rankings___v__def_rank,rankings___v__estim_winrate,home_field___v_visitor__close_wr_last_8_games,rankings___h__s_t_dvoa,travel___v_days_since_last_game,time_date___is_superbowl,travel___h_travel_from_last_10_days,rankings___v__s_t_dvoa,matchup___h_wr_ytd,rankings___v__totaldvoa,team_history___v_pfr_wr_past_3_seasons,line___v_ml,travel___v_same_stadium_last_game,time_date___is_playoffs,travel___v_dist_from_home,team_history___v_pfr_wr_ytd,travel___v_travel_from_last_10_days,home_field___v_visitor__open_wr_last_4_games,home_field___h_home__ovr_wr_ytd,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold
0.6,12.0,0.25,16.25840917502385,5.102278507882513,0.375,0.375,-15.7,6.0,0.25,-2.9,1,0.5,1.0,0,0.4375,14.0,0.5,0.5,-400,45.0,0.75,0.6,5.102278507882513,0.25,0.5,0.0,13.0,13.0,0.5,0.5,0.6,0.4375,43.0,0.9,-36.7,1.0,0.375,0.0,24.3,0.3125,0.3125,46.0,1.0,0.5,53.0,0.4,14.0,0.5,0.3125,0,29.0,-9.5,53.0,12.0,0.20833333333333331,0.55,0.3125,-1.7,13.0,0.5,0.0,0.6,-1.5,13.0,0.4375,0.4375,0.4375,22.0,7.0,0.75,0.5,0.4375,0.20833333333333331,0.5,0.3125,0.25,0.3125,0.5,0.0,0.5,0.375,0.0,0.5,200811090nyj,0.3333333333333333,1,0.8,-9.0,0.5,0.5,-9.5,10.0,16.25840917502385,43.5,0.5,0.25,0.625,1.0,0.375,15.0,0.25,0.5,0.5,1,31.0,0.225,0.375,0.7,7.0,0.0,5.102278507882513,1.3,0.5,-38.7,0.3333333333333333,320,0,0.0,16.25840917502385,0.375,16.25840917502385,0.375,0.625,1,1,10,2008,44,9.5,1,training,3
0.9,13.0,1.0,19.341748889927192,0.0,1.0,1.0,21.7,6.0,0.7045454545454546,32.7,1,0.9,1.0,1,0.775,23.0,1.0,1.0,-180,49.0,1.0,1.0,0.0,1.0,1.0,1.0,12.0,13.0,0.9,0.5,0.8,0.725,47.5,-28.8,37.2,1.0,0.9,0.0,-26.9,0.9,0.9,0.0,-1.0,1.0,68.0,1.0,0.0,0.5,0.75,0,8.0,-3.0,68.0,13.0,0.7727272727272727,1.25,0.9,59.3,12.0,1.0,0.0,0.8,33.0,2.0,0.5972222222222222,0.5694444444444444,0.5694444444444444,2.0,14.0,1.0,1.0,0.725,0.7380952380952381,1.0,0.9,0.7023809523809523,0.7261904761904762,1.0,0.0,1.0,0.6,0.0,1.0,200910180nor,0.75,2,0.8,-3.5,1.0,1.0,-3.0,6.0,19.341748889927192,47.5,1.0,1.0,1.0,-1.0,0.5277777777777778,20.0,1.0,1.0,0.5,1,3.0,0.78,1.0,-2.5,7.0,0.0,0.0,-3.2,0.5,45.3,0.7261904761904762,160,0,0.0,19.341748889927192,0.9,19.341748889927192,1.0,1.0,1,1,6,2009,21,3.0,1,training,4
0.6,12.0,0.6,7.032543750791744,1.989209829480024,0.5,0.5,13.4,6.0,0.5238095238095238,-26.7,1,0.6,1.0,0,0.4545454545454545,15.0,0.5,0.5,320,43.0,0.0,0.6,1.989209829480024,0.5,0.5,0.0,13.0,13.0,0.6,0.5,0.6,0.4318181818181818,41.5,18.3,19.6,1.0,0.6,0.0,-15.8,0.6,0.6,45.0,1.0,0.5,50.0,0.6,12.0,0.5,0.5,1,12.0,9.0,50.0,12.0,0.42857142857142855,0.26666666666666666,0.6,-30.7,13.0,0.5,0.0,0.6,-26.1,27.0,0.5394736842105263,0.5789473684210527,0.5657894736842105,31.0,7.0,0.0,0.5,0.4545454545454545,0.5897435897435898,0.5,0.6,0.6153846153846154,0.6153846153846154,0.5,0.0,0.5,0.2272727272727273,0.0,0.5,200910250cle,0.5238095238095238,1,0.2,6.5,0.5,0.5,9.0,7.0,7.032543750791744,41.5,0.5,0.5,0.16666666666666666,1.0,0.3947368421052632,1.0,0.6,0.5,0.5,1,4.0,0.82,0.5,13.8,7.0,0.0,1.989209829480024,-0.3,0.5,28.9,0.6282051282051282,-400,0,0.0,7.032543750791744,0.6,7.032543750791744,0.5,0.16666666666666666,-1,-1,7,2009,-28,9.0,0,training,4
0.4,13.0,0.6363636363636364,11.090170542372197,0.0,0.5,0.6,14.0,6.0,0.6,-2.8,1,0.4,1.0,1,0.6071428571428571,4.0,0.6363636363636364,0.75,190,44.5,1.0,0.6,0.0,0.5,0.6363636363636364,1.0,13.0,13.0,0.4,0.0,0.6,0.5714285714285714,43.5,11.1,28.6,1.0,0.5454545454545454,0.0,-11.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.6363636363636364,68.0,0.6,0.0,0.0,0.6,0,12.0,4.0,68.0,13.0,0.6166666666666667,0.5,0.5454545454545454,-1.3,13.0,0.8,0.0,0.6,9.8,25.0,0.5681818181818182,0.5340909090909091,0.5454545454545454,17.0,7.0,1.0,0.75,0.5714285714285714,0.5760869565217391,0.6363636363636364,0.5454545454545454,0.5652173913043478,0.5652173913043478,0.6363636363636364,0.0,0.8,0.6071428571428571,0.0,0.75,200912060atl,0.6,2,0.4,3.0,0.8,0.6,4.0,13.0,11.090170542372197,43.5,0.6363636363636364,0.6,0.5454545454545454,0.0,0.4772727272727273,19.0,0.6363636363636364,0.5,0.0,1,3.0,0.6818181818181818,0.6,0.0,7.0,0.0,0.0,5.7,0.5,30.6,0.5652173913043478,-230,0,0.0,11.090170542372197,0.5454545454545454,11.090170542372197,0.5,0.5454545454545454,-1,-1,13,2009,-27,4.0,0,training,2
0.6,11.0,0.35714285714285715,23.387046372767983,13.018451979052664,0.75,0.5714285714285714,-21.7,6.0,0.4666666666666667,-23.2,2,0.6,1.0,0,0.5,13.0,0.5714285714285714,0.5,-180,37.5,0.25,1.0,13.018451979052664,0.5,0.5714285714285714,1.0,12.0,13.0,0.6,0.0,1.0,0.4833333333333333,37.0,21.9,-28.8,1.0,0.5,1.0,10.5,0.5,0.5,84.0,2.0,0.5714285714285714,30.0,0.6,6.0,0.0,0.4666666666666667,1,29.0,-3.0,34.0,10.0,0.3333333333333333,0.3,0.5,-27.8,13.0,0.5,0.0,1.0,-14.8,32.0,0.5543478260869565,0.5869565217391305,0.5760869565217391,25.0,7.0,0.16666666666666666,0.5,0.5,0.3043478260869565,0.5714285714285714,0.5,0.43478260869565216,0.43478260869565216,0.5714285714285714,0.0,0.5,0.2333333333333333,1.0,0.5,200912270cle,0.4666666666666667,1,0.4,-3.0,0.5,0.5714285714285714,-3.0,16.0,23.387046372767983,37.0,0.5714285714285714,0.42857142857142855,0.21428571428571427,2.0,0.3695652173913043,1.0,0.35714285714285715,0.75,0.5,1,26.0,0.2857142857142857,0.5714285714285714,8.9,7.0,0.0,13.018451979052664,1.2,0.5,-31.1,0.43478260869565216,160,0,0.0,40.674765407657866,0.5,23.387046372767983,0.75,0.21428571428571427,1,1,16,2009,14,3.0,1,training,4
0.5,11.0,1.0,35.804609544610315,0.0,0.5,0.5,17.4,6.0,0.35294117647058826,-6.7,1,0.6,1.0,1,0.6470588235294118,5.0,1.0,1.0,-220,42.5,1.0,0.9,0.0,0.5,1.0,1.0,13.0,13.0,0.6,0.5,0.9,0.6470588235294118,45.0,-5.0,-14.2,1.0,0.5,0.0,29.1,1.0,1.0,71.0,2.0,1.0,66.0,0.6,7.0,1.0,0.35294117647058826,1,13.0,-4.5,66.0,11.0,0.35294117647058826,0.5190258251586375,1.0,27.3,13.0,1.0,0.0,1.0,24.8,15.0,0.5606060606060606,0.5303030303030303,0.5454545454545454,7.0,7.0,1.0,1.0,0.6176470588235294,0.4857142857142857,1.0,1.0,0.42857142857142855,0.4571428571428571,1.0,0.0,1.0,0.4117647058823529,0.0,1.0,201109180was,0.3235294117647059,2,0.4,-4.0,1.0,0.5,-4.5,2.0,35.804609544610315,45.0,1.0,0.5,1.0,2.0,0.3333333333333333,18.0,1.0,0.5,0.5,1,26.0,0.5294328528952108,0.5,-2.5,7.0,0.0,0.0,14.0,0.5,2.2,0.4142857142857143,180,0,0.0,35.804609544610315,0.5,35.804609544610315,0.5,1.0,-1,1,2,2011,1,4.5,1,training,2
0.4,12.0,0.6666666666666666,6.837996272373936,6.255570415299628,0.25,0.2,25.7,6.0,0.4807692307692308,18.6,1,0.4,1.0,0,0.6,22.0,0.5,0.6666666666666666,-115,51.5,0.6666666666666666,0.6,6.255570415299628,0.5,0.5,1.0,13.0,13.0,0.4,0.25,0.6,0.6,50.0,-8.2,12.9,1.0,0.5555555555555556,0.0,11.5,0.5555555555555556,0.5555555555555556,0.0,1.0,0.5,68.0,0.6,0.0,0.2,0.4423076923076923,0,3.0,-1.0,68.0,12.0,0.6538461538461539,0.7375,0.5555555555555556,18.3,13.0,0.6666666666666666,0.0,0.6,7.6,5.0,0.6341463414634146,0.6341463414634146,0.6341463414634146,13.0,7.0,0.6666666666666666,0.6666666666666666,0.6,0.7333333333333333,0.5,0.5555555555555556,0.5,0.4777777777777778,0.5,1.0,0.6666666666666666,0.72,0.0,0.6666666666666666,201111130atl,0.4423076923076923,1,0.8,1.0,0.6666666666666666,0.2,-1.0,10.0,6.837996272373936,50.0,0.5,0.4,0.625,1.0,0.6585365853658537,6.0,0.6666666666666666,0.25,0.5,1,23.0,0.6333333333333333,0.2,2.6,7.0,0.0,6.255570415299628,-1.0,0.5,13.1,0.4777777777777778,-105,0,0.0,6.837996272373936,0.5555555555555556,6.837996272373936,0.25,0.625,-1,-1,10,2011,-3,1.0,0,training,0
0.4,12.0,0.5,15.576929088706795,15.777060741532305,0.3333333333333333,0.5,-10.5,6.0,0.5909090909090909,16.6,2,0.4,1.0,0,0.5238095238095238,7.0,0.4,0.5,-325,41.5,0.5,0.4,15.777060741532305,0.3333333333333333,0.4,1.0,12.0,13.0,0.5,0.5,0.4,0.5238095238095238,42.5,-13.8,-15.6,1.0,0.3333333333333333,1.0,8.4,0.4166666666666667,0.4166666666666667,42.0,1.0,0.4,68.0,0.4,4.0,0.5,0.5909090909090909,1,23.0,-7.5,68.0,12.0,0.4772727272727273,0.62,0.3333333333333333,16.4,13.0,0.5,0.0,0.4,3.6,3.0,0.5405405405405406,0.5405405405405406,0.5540540540540541,13.0,7.0,0.5,0.5,0.5238095238095238,0.32894736842105265,0.4,0.3333333333333333,0.42105263157894735,0.4342105263157895,0.4,0.0,0.5,0.42857142857142855,1.0,0.5,201310200car,0.5909090909090909,1,0.4,-6.5,0.5,0.3333333333333333,-7.0,7.0,15.576929088706795,42.0,0.4,0.3333333333333333,0.4,1.0,0.40540540540540543,22.0,0.5,0.3333333333333333,0.5,1,22.0,0.3333333333333333,0.3333333333333333,-1.0,7.0,0.0,15.777060741532305,3.9,0.5,-15.1,0.4342105263157895,265,0,0.0,9.938059674373047,0.3333333333333333,15.576929088706795,0.5,0.4,1,1,7,2013,15,7.5,1,training,3
0.8,13.0,0.6666666666666666,14.53542393919076,6.059326446413008,0.8333333333333334,0.6666666666666666,19.8,6.0,0.5652173913043478,-2.5,1,0.9,1.0,0,0.5227272727272727,16.0,0.16666666666666666,0.0,-195,44.0,0.0,0.0,6.059326446413008,0.6666666666666666,0.16666666666666666,1.0,12.0,13.0,0.8,0.0,0.0,0.5227272727272727,41.5,7.3,17.4,1.0,0.75,0.0,-0.4,0.6666666666666666,0.6666666666666666,57.0,-1.0,0.16666666666666666,58.0,0.8,7.0,0.25,0.6086956521739131,1,5.0,-3.5,58.0,13.0,0.6521739130434783,0.3666666666666667,0.8333333333333334,-4.3,12.0,0.0,0.0,0.0,-0.6,24.0,0.5641025641025641,0.5256410256410257,0.5256410256410257,13.0,7.0,0.0,0.0,0.5227272727272727,0.5897435897435898,0.16666666666666666,0.8333333333333334,0.5641025641025641,0.5897435897435898,0.16666666666666666,0.0,0.0,0.4545454545454545,0.0,0.0,201510250kan,0.5869565217391305,1,0.0,-2.5,0.0,0.8333333333333334,-3.0,7.0,14.53542393919076,43.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,-1.0,0.5384615384615384,5.0,0.6666666666666666,0.8333333333333334,0.0,1,14.0,0.6666666666666666,0.8333333333333334,3.6,7.0,0.0,6.059326446413008,0.7,0.5,20.9,0.5769230769230769,170,0,0.0,14.53542393919076,0.75,14.53542393919076,0.6666666666666666,0.16666666666666666,1,1,7,2015,10,3.5,1,training,2
0.4,10.0,0.25,33.053171905402685,0.0,1.0,1.0,-12.3,6.0,0.4,7.5,1,0.4,1.0,1,0.42857142857142855,3.0,0.6,0.6666666666666666,-300,47.5,0.6666666666666666,0.6,0.0,0.5,0.6,0.0,12.0,13.0,0.4,0.5,0.6,0.42857142857142855,47.0,9.6,-13.3,1.0,0.5,0.0,1.6,0.5,0.5,0.0,2.0,0.6,68.0,0.2,0.0,0.5,0.4,0,27.0,-7.0,68.0,10.0,0.25,0.6,0.5,9.9,12.0,0.6666666666666666,0.0,0.6,11.2,22.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,10.0,6.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.25,0.6,0.5,0.4,0.4,0.6,0.0,0.6666666666666666,0.42857142857142855,0.0,0.6666666666666666,200810120nor,0.4,3,0.4,-9.0,0.6666666666666666,1.0,-7.0,6.0,3.205231072986023,47.5,0.6,0.5,0.4,0.0,0.42857142857142855,2.0,0.25,1.0,0.5,1,15.0,0.55,1.0,8.4,14.0,0.0,0.0,7.6,0.5,-6.3,0.4,250,0,0.0,33.053171905402685,0.5,0.0,1.0,0.4,1,1,6,2008,31,7.0,1,training,0
