game_id,weather___humidity_pct,travel___v_dist_from_home,home_field___h_home__ovr_wr_last_4_games,home_field___v_visitor__pfr_wr_ytd,rankings___v__offensedvoa,line___h_close_line,line___h_ml,team_history___h_open_wr_ytd,rankings___h__s_t_dvoa,travel___h_body_clock_from_last_wk,weather___temperature,home_field___v_visitor__open_wr_ytd,travel___v_tz_change_last_10_days,team_history___v_pfr_wr_past_5_games,team_history___v_close_wr_past_5_games,team_history___v_open_wr_ytd,time_date___is_playoffs,home_field___h_home__open_wr_ytd,team_history___h_ovr_wr_past_2_seasons,travel___h_tz_change_last_10_days,line___pfr_ou,team_history___h_ovr_wr_past_3_seasons,travel___v_body_clock_from_last_wk,team_history___h_close_wr_past_2_seasons,rankings___h__estim_winrate,matchup___is_same_conf,matchup___h_wr_past_5_games,time_date___is_superbowl,home_field___h_home__pfr_wr_last_4_games,rankings___h__offensedvoa,team_history___v_open_wr_past_2_seasons,time_date___is_sunday,team_history___h_close_wr_ytd,rankings___v__dave_or_wtddvoa,rankings___h__s_t_rank,travel___v_travel_from_last_10_days,weather___wind_mph,team_history___h_open_wr_past_2_seasons,weather___is_grass,team_history___v_pfr_wr_past_3_seasons,rankings___h__dave_or_wtddvoa,home_field___h_home__close_wr_last_4_games,team_history___v_close_wr_past_2_seasons,team_history___h_close_wr_past_3_seasons,home_field___v_visitor__close_wr_ytd,matchup___is_same_division,rankings___h__defensedvoa,rankings___h__def_rank,rankings___v__s_t_rank,matchup___h_wr_ytd,line___h_pfr_line,rankings___v__defensedvoa,team_history___v_open_wr_past_5_games,weather___is_dome,team_history___v_ovr_wr_past_5_games,weather___wind_chill,team_history___h_pfr_wr_past_2_seasons,travel___h_same_stadium_last_game,travel___v_tz_change_last_game,line___v_ml,time_date___day_of_week,home_field___h_home__pfr_wr_ytd,time_date___week_id,team_history___h_ovr_wr_ytd,home_field___h_home__pfr_wr_last_8_games,rankings___v__estim_winrate,team_history___h_ovr_wr_past_5_games,travel___h_travel_from_last_game,time_date___game_time_local,travel___v_same_stadium_last_game,team_history___h_open_wr_past_3_seasons,rankings___v__off_rank,travel___h_days_since_last_game,travel___v_travel_from_last_game_decay,home_field___v_visitor__pfr_wr_last_8_games,team_history___h_open_wr_past_5_games,team_history___h_pfr_wr_ytd,home_field___h_consecutive_home,travel___h_travel_from_last_10_days,team_history___v_close_wr_past_3_seasons,home_field___v_visitor__open_wr_last_8_games,home_field___v_visitor__close_wr_last_4_games,line___open_ou,team_history___v_ovr_wr_ytd,home_field___h_is_home,home_field___v_visitor__open_wr_last_4_games,travel___v_travel_from_last_game,team_history___v_pfr_wr_past_2_seasons,travel___v_home_body_time,line___close_ou,team_history___v_ovr_wr_past_3_seasons,team_history___h_pfr_wr_past_3_seasons,rankings___v__totaldvoa,home_field___h_home__open_wr_last_4_games,time_date___game_time_eastern,line___h_open_line,team_history___h_pfr_wr_past_5_games,home_field___h_home__ovr_wr_last_8_games,home_field___v_visitor__close_wr_last_8_games,home_field___h_home__close_wr_ytd,team_history___v_open_wr_past_3_seasons,travel___h_tz_change_last_game,team_history___v_close_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,team_history___h_close_wr_past_5_games,home_field___v_consecutive_visitor,matchup___h_wr_past_3_seasons,rankings___h__totaldvoa,matchup___h_wr_past_2_seasons,rankings___v__s_t_dvoa,rankings___v__def_rank,home_field___v_visitor__ovr_wr_ytd,team_history___v_pfr_wr_ytd,travel___v_days_since_last_game,home_field___h_home__open_wr_last_8_games,home_field___v_visitor__ovr_wr_last_8_games,team_history___v_ovr_wr_past_2_seasons,travel___h_travel_from_last_game_decay,home_field___v_visitor__pfr_wr_last_4_games,home_field___h_home__ovr_wr_ytd,rankings___h__off_rank,home_field___v_is_home,home_field___h_home__close_wr_last_8_games,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,label,dataset,fold,score
200709300dal,58.0,8.87394091937173,1.0,0.0,-20.7,-13.0,-800,1.0,4.1,12.0,85.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,47.0,1.0,13.0,1.0,0.5190258251586375,1.0,0.5,0.0,1.0,46.7,0.0,1.0,1.0,-32.3,11.0,15.20661384456776,0.0,1.0,0,0.0,21.6,1.0,0.0,1.0,0.0,0.0,-9.3,9.0,24.0,0.5,-13.0,14.1,0.0,1,0.0,85.0,1.0,0,-1.0,600,6.0,1.0,4.0,1.0,1.0,0.5294328528952108,1.0,12.953220054488385,12.0,0,1.0,27.0,7.0,15.20661384456776,0.0,1.0,1.0,1,12.953220054488385,0.0,0.0,0.0,45.0,0.0,1.0,0.0,15.20661384456776,0.0,12.0,47.0,0.0,1.0,-41.4,1.0,13.0,-11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.5,60.1,0.5,-6.5,22.0,0.0,0.0,7.0,1.0,0.0,0.0,12.953220054488385,0.0,1.0,2.0,0.0,1.0,1,1,4,2007,28,13.0,1,training,0,0.55000585
201111130atl,0.0,6.837996272373936,0.6666666666666666,0.5555555555555556,25.7,-1.0,-115,0.5,2.6,13.0,68.0,0.5555555555555556,1.0,0.4,0.4,0.5555555555555556,0.0,0.5,0.72,0.0,50.0,0.6585365853658537,12.0,0.6,0.7375,1.0,0.2,0.0,0.6666666666666666,7.6,0.4807692307692308,1.0,0.5,12.9,6.0,6.837996272373936,0.0,0.6,0,0.4777777777777778,18.6,0.6666666666666666,0.4423076923076923,0.6341463414634146,0.5555555555555556,1.0,-8.2,5.0,22.0,0.5,-1.0,11.5,0.4,1,0.6,68.0,0.6,0,1.0,-105,6.0,0.5,10.0,0.625,0.6666666666666666,0.6333333333333333,0.8,6.255570415299628,13.0,0,0.6341463414634146,3.0,7.0,6.837996272373936,0.2,0.6,0.5,1,6.255570415299628,0.4777777777777778,0.2,0.25,51.5,0.6666666666666666,1.0,0.25,6.837996272373936,0.4423076923076923,12.0,50.0,0.7333333333333333,0.6341463414634146,13.1,0.6666666666666666,13.0,1.0,0.6,0.6666666666666666,0.2,0.5,0.5,0.0,0.5555555555555556,0.5,0.6,1,0.25,18.3,0.5,-1.0,23.0,0.6666666666666666,0.5555555555555556,7.0,0.6666666666666666,0.4,0.6538461538461539,6.255570415299628,0.25,0.625,13.0,0.0,0.6666666666666666,-1,-1,10,2011,-3,1.0,0,training,0,0.45763975
200912270was,53.0,21.14548034818789,0.25,0.5,25.1,7.0,260,0.4642857142857143,-0.9,21.0,37.0,0.5,1.0,0.4,0.4,0.5,0.0,0.4642857142857143,0.4,0.0,42.0,0.44680851063829785,20.0,0.43333333333333335,0.4785714285714286,1.0,0.4,0.0,0.5,-2.3,0.4666666666666667,1.0,0.4642857142857143,25.1,24.0,15.965817210258914,8.0,0.4,1,0.4893617021276596,-0.2,0.5,0.4666666666666667,0.44680851063829785,0.5,1.0,0.6,14.0,16.0,0.0,7.0,2.9,0.4,1,0.6,37.0,0.45,1,1.0,-320,6.0,0.4642857142857143,16.0,0.2857142857142857,0.2857142857142857,0.6928571428571428,0.2,0.0,21.0,0,0.4361702127659575,4.0,6.0,11.440008340908511,0.42857142857142855,0.8,0.4642857142857143,2,0.0,0.4893617021276596,0.42857142857142855,0.5,42.0,0.6428571428571429,1.0,0.5,15.965817210258914,0.4666666666666667,20.0,42.0,0.6595744680851063,0.4574468085106383,22.8,0.5,21.0,6.0,0.8,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.4787234042553192,0.0,0.5,0.5,0.8,2,0.4,-3.8,0.33333333333333337,0.7,17.0,0.6428571428571429,0.5,8.0,0.2857142857142857,0.5714285714285714,0.6,0.0,0.5,0.2857142857142857,20.0,0.0,0.2857142857142857,-1,-1,16,2009,-17,7.0,0,training,0,0.31143606
201309080det,0.0,10.546683496820227,0.5,0.5,1.7395365677045609,-4.5,-210,0.5,-0.05716871832005794,13.0,68.0,0.5,0.0,0.8,0.8,0.5,0.0,0.5,0.25,0.0,46.0,0.42424242424242425,13.0,0.375,0.5190258251586375,1.0,0.6,0.0,0.5,1.3056480811006512,0.5882352941176471,1.0,0.5,1.3540188269370024,16.484069514844315,0.0,0.0,0.375,0,0.4848484848484849,0.5583272990586526,0.5,0.5294117647058824,0.4090909090909091,0.5,1.0,1.1731354091238233,16.55503258508327,16.32440260680666,0.5,-4.5,0.32541636495293264,0.8,1,0.8,68.0,0.375,0,0.0,177,6.0,0.5,1.0,0.5,0.5,0.5294328528952108,0.0,0.0,13.0,0,0.42424242424242425,16.07313540912382,300.0,0.0,0.5,0.2,0.5,1,0.0,0.4848484848484849,0.5,0.5,47.0,0.5,1.0,0.5,0.0,0.5294117647058824,12.0,47.5,0.3939393939393939,0.4090909090909091,1.493229543808834,0.5,13.0,-3.5,0.2,0.5,0.5,0.5,0.5151515151515151,0.0,0.5,0.5,0.2,1,0.5,0.07465604634322998,0.0,0.08030412744388128,16.03874004344678,0.5,0.5,300.0,0.5,0.5,0.5882352941176471,0.0,0.5,0.5,16.30955829109341,0.0,0.5,1,1,1,2013,10,4.5,1,training,0,0.82360864
201410260jax,45.0,4.58438453022868,0.3333333333333333,0.4,5.6,7.0,265,0.2857142857142857,-2.4,13.0,76.0,0.6,1.0,0.4,0.4,0.6666666666666666,0.0,0.2857142857142857,0.21739130434782608,0.0,42.5,0.1794871794871795,12.0,0.32608695652173914,0.24285714285714285,1.0,0.0,0.0,0.3333333333333333,-28.7,0.5454545454545454,1.0,0.2857142857142857,4.8,24.0,12.995604563393725,6.0,0.3478260869565217,1,0.5263157894736842,-27.9,0.3333333333333333,0.5227272727272727,0.35897435897435903,0.4,0.0,-1.4,13.0,32.0,0.5,7.0,-11.1,0.6,1,0.4,76.0,0.32608695652173914,1,1.0,-320,6.0,0.2857142857142857,8.0,0.14285714285714285,0.3333333333333333,0.7000000000000001,0.2,0.0,13.0,0,0.38461538461538464,11.0,7.0,12.995604563393725,0.5,0.4,0.2857142857142857,2,0.0,0.5263157894736842,0.5,0.5,43.5,0.5,1.0,0.5,12.995604563393725,0.5227272727272727,13.0,42.0,0.4736842105263158,0.3717948717948718,6.8,0.3333333333333333,13.0,4.0,0.4,0.3333333333333333,0.5,0.2857142857142857,0.5394736842105263,0.0,0.5,0.5,0.4,2,0.0,-29.8,0.5,-9.9,3.0,0.4,0.5,7.0,0.3333333333333333,0.5,0.5,0.0,0.5,0.14285714285714285,31.0,0.0,0.3333333333333333,-1,-1,8,2014,-14,7.0,0,training,0,0.5224342
200810050nyg,75.0,48.72905734154929,1.0,0.3333333333333333,0.7,-6.5,-280,0.6666666666666666,4.6,13.0,60.0,0.3333333333333333,0.0,0.4,0.4,0.3333333333333333,0.0,0.6666666666666666,0.7391304347826086,0.0,43.5,0.7391304347826086,10.0,0.6956521739130435,1.0333333333333334,1.0,0.5,0.0,0.5,29.4,0.5476190476190477,1.0,0.6666666666666666,8.1,8.0,0.0,6.0,0.6956521739130435,0,0.5476190476190477,22.3,0.5,0.5476190476190477,0.6956521739130435,0.3333333333333333,0.0,-8.1,8.0,30.0,0.5,-6.5,-3.7,0.4,1,0.4,60.0,0.6956521739130435,1,3.0,240,6.0,0.6666666666666666,5.0,1.0,0.5,0.6,1.0,0.0,13.0,0,0.6956521739130435,17.0,14.0,4.725352507633977,0.0,0.8,0.6666666666666666,2,0.0,0.5476190476190477,0.0,0.0,44.0,0.3333333333333333,1.0,0.0,48.72905734154929,0.5476190476190477,10.0,43.5,0.5714285714285714,0.6956521739130435,-0.9,0.5,13.0,-9.0,0.8,1.0,0.0,0.6666666666666666,0.5476190476190477,0.0,0.3333333333333333,0.0,0.8,1,0.5,42.1,0.5,-5.3,12.0,0.3333333333333333,0.3333333333333333,14.0,0.5,0.0,0.5714285714285714,0.0,0.0,1.0,3.0,0.0,0.5,1,1,5,2008,38,6.5,1,training,0,0.33566868
201312150jax,0.0,12.772258581085017,0.25,0.4615384615384616,-13.3,4.0,170,0.38461538461538464,2.4,13.0,60.0,0.4230769230769231,0.0,0.2,0.2,0.4230769230769231,0.0,0.4166666666666667,0.20689655172413796,0.0,43.0,0.24444444444444444,13.0,0.3965517241379311,0.19230769230769232,1.0,0.6,0.0,0.25,-33.9,0.4310344827586207,1.0,0.38461538461538464,-12.3,11.0,2.502608110052396,20.0,0.4137931034482759,1,0.43333333333333335,-35.6,0.25,0.4482758620689655,0.4222222222222222,0.4615384615384616,0.0,11.8,28.0,28.0,0.5,4.0,-11.8,0.2,1,0.2,60.0,0.4137931034482759,1,0.0,-200,6.0,0.4166666666666667,15.0,0.3076923076923077,0.2,0.4384615384615385,0.8,0.0,13.0,0,0.4,25.0,10.0,2.502608110052396,0.16666666666666666,0.8,0.38461538461538464,2,0.0,0.43333333333333335,0.16666666666666666,0.25,44.0,0.3076923076923077,1.0,0.25,2.502608110052396,0.4482758620689655,13.0,43.0,0.3555555555555556,0.43333333333333335,-6.9,0.25,13.0,2.0,0.8,0.2,0.16666666666666666,0.4166666666666667,0.4222222222222222,0.0,0.4615384615384616,0.25,0.8,2,0.0,-43.2,0.0,-5.4,5.0,0.3076923076923077,0.4615384615384616,7.0,0.2,0.16666666666666666,0.3448275862068966,0.0,0.25,0.3333333333333333,32.0,0.0,0.2,-1,-1,15,2013,-7,4.0,0,training,0,0.61488515
201510110dal,0.0,27.466394130806012,0.5,0.8333333333333334,44.7,8.0,325,0.25,-1.3,15.0,68.0,1.0,0.0,0.9,0.9,1.0,0.0,0.25,0.6818181818181818,0.0,49.5,0.6052631578947368,16.0,0.5454545454545454,0.375,0.0,0.0,0.0,0.0,4.6,0.6363636363636364,1.0,0.25,32.2,21.0,0.0,0.0,0.5681818181818182,0,0.5625,-2.6,0.0,0.6136363636363636,0.5526315789473685,0.8333333333333334,0.0,6.7,22.0,4.0,0.5,9.0,-0.1,1.0,1,1.0,68.0,0.5454545454545454,0,-1.0,-400,6.0,0.25,5.0,0.5,0.0,1.3333333333333333,0.4,7.5489367126370945,15.0,0,0.5526315789473685,1.0,7.0,2.6634702467556672,1.0,0.4,0.25,1,7.5489367126370945,0.5625,1.0,1.0,49.0,1.0,1.0,1.0,27.466394130806012,0.6136363636363636,16.0,51.0,0.775,0.5526315789473685,52.1,0.0,16.0,7.0,0.4,0.5,1.0,0.25,0.5625,0.0,0.8333333333333334,1.0,0.4,1,0.5,-3.5,0.5,7.4,16.0,1.0,0.8333333333333334,14.0,0.0,1.0,0.8181818181818182,7.5489367126370945,1.0,0.5,9.0,0.0,0.0,-1,-1,5,2015,-24,8.0,0,training,0,0.5470026
200711250chi,69.0,17.53175723702847,0.25,0.3,11.5,-1.0,-120,0.3,6.2,13.0,39.0,0.3,1.0,0.6,0.6,0.3,0.0,0.3,0.4,2.0,41.5,0.4,14.0,0.3,0.38,0.0,0.5,0.0,0.0,-20.9,0.3,1.0,0.3,1.0,5.0,17.53175723702847,13.0,0.3,1,0.3,-17.5,0.0,0.3,0.3,0.3,0.0,3.7,20.0,14.0,0.5,-1.0,10.9,0.6,1,0.6,39.0,0.3,0,1.0,100,6.0,0.3,12.0,0.4,0.0,0.53,0.4,35.18508809737443,15.0,0,0.3,10.0,7.0,17.53175723702847,0.25,0.4,0.3,1,35.18508809737443,0.3,0.25,0.25,41.0,0.5,1.0,0.25,17.53175723702847,0.3,14.0,42.5,0.5,0.3,1.8,0.0,16.0,-2.5,0.4,0.25,0.25,0.3,0.3,2.0,0.3,0.5,0.4,1,0.5,-18.5,0.5,1.3,24.0,0.5,0.3,6.0,0.0,0.5,0.5,35.18508809737443,0.25,0.4,30.0,0.0,0.0,1,1,12,2007,3,1.0,1,training,0,0.8386692
200912060clt,0.0,3.644666464384907,1.0,0.5454545454545454,6.9,-6.0,-270,0.6363636363636364,0.2,12.0,68.0,0.5454545454545454,1.0,1.0,0.8,0.5454545454545454,0.0,0.6363636363636364,0.8214285714285714,1.0,47.0,0.8,12.0,0.5,0.7909090909090909,1.0,0.6,0.0,0.25,26.8,0.625,1.0,0.6363636363636364,-8.6,18.0,3.644666464384907,0.0,0.5,0,0.5777777777777777,31.0,0.25,0.625,0.5111111111111111,0.4545454545454545,1.0,-4.8,9.0,28.0,1.0,-6.0,14.3,1.0,1,1.0,68.0,0.5178571428571429,0,1.0,220,6.0,0.6363636363636364,13.0,1.0,0.2,0.4363636363636363,1.0,13.675520040183914,13.0,0,0.5222222222222223,18.0,7.0,3.644666464384907,0.5,0.4,0.6363636363636364,1,13.675520040183914,0.5777777777777777,0.5,0.5,47.0,0.4545454545454545,1.0,0.5,3.644666464384907,0.6428571428571429,12.0,47.0,0.6222222222222222,0.5222222222222223,-10.5,0.25,13.0,-7.5,0.4,1.0,0.5,0.6363636363636364,0.5777777777777777,1.0,0.4545454545454545,0.5,0.4,1,0.6,31.8,0.6666666666666666,-3.1,27.0,0.4545454545454545,0.5454545454545454,7.0,0.2,0.3333333333333333,0.6428571428571429,13.675520040183914,0.5,1.0,3.0,0.0,0.2,1,1,13,2009,10,6.0,1,training,0,0.6804406
