,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
0,200909140nwe,-1,1,1,2009,1,13.5,0.89108163,0.8361825999999999,,,,1,0.8636321149999999
1,200911150oti,1,1,10,2009,24,7.5,,,,0.69498396,0.78502446,1,0.7400042099999999
2,200912270atl,1,1,16,2009,28,7.5,,0.87618446,0.6618297,0.89921427,0.6808233,1,0.7795129325
3,200912130kan,-1,-1,14,2009,-6,2.5,,0.5630182,0.22727838,0.42463398,0.11793232,0,0.33321572
4,201001030min,1,1,17,2009,37,8.5,,,,0.8632673000000001,0.72252667,1,0.792896985
5,200912210was,-1,-1,15,2009,-33,3.0,,0.51272345,,0.057848215,,0,0.2852858325
7,200909270tam,-1,-1,3,2009,-24,6.0,,0.11760652,,,,0,0.11760652
8,200911010phi,1,1,8,2009,23,3.0,0.36604112,0.3864841,0.57762134,0.5067017,0.5039442,1,0.468158492
9,200910040kan,-1,-1,4,2009,-11,9.5,0.4922253,,-0.030634701,0.74490595,,0,0.40216551633333336
10,200910180nor,1,1,6,2009,21,3.0,0.71434844,0.5970514,0.43889629999999996,,0.5431602,1,0.5733640849999999
11,200909200dal,-1,-1,2,2009,-2,3.0,,,,,0.22708714,0,0.22708714
12,200712090nyj,-1,-1,14,2007,-6,3.0,,0.20862174,,0.18941998,0.35472035,0,0.25092069
13,200709230rai,-1,1,3,2007,2,3.0,0.3854482,,0.056764543,,0.35866225,1,0.26695833100000005
14,200710280ram,-1,-1,8,2007,-7,3.0,-0.1227504,0.7173767,0.14309937,,0.6666519000000001,0,0.35109439249999996
15,200712230cin,1,1,16,2007,5,2.0,,,,,0.5168626000000001,1,0.5168626000000001
17,200710070nwe,1,1,5,2007,17,15.5,0.6470603,,,0.8358641,,1,0.7414622
18,200711110pit,-1,1,10,2007,3,9.0,,,0.7044560999999999,0.6994349,,1,0.7019454999999999
19,200711180rav,-1,-1,11,2007,-3,1.0,0.27387586,,,,0.33965838,0,0.30676712
20,200809280nyj,1,1,4,2008,21,1.0,,,0.5155071,0.16671264,0.6412433000000001,1,0.4411543466666667
21,200811020ram,-1,-1,9,2008,-21,3.0,,0.14512008,,0.17400163,0.45247874,0,0.25720015
22,200811160sea,-1,-1,11,2008,-6,3.0,0.26234707,,,0.3566797,0.36769837,0,0.32890838000000006
23,200809210was,1,1,3,2008,7,3.0,0.6118143,0.47273555,,0.8643154000000001,0.3174219,1,0.5665717875
24,200810260car,-1,1,8,2008,4,4.5,,,0.7217993,0.7338765,,1,0.7278379
25,200901100car,-1,-1,19,2008,-20,10.0,0.7591865,,0.7983599,1.0998229,,0,0.8857897666666666
26,200812210nwe,1,1,16,2008,40,8.0,,0.50643843,0.7141526,,,1,0.610295515
27,200811270phi,1,1,13,2008,28,3.0,,,,0.76745045,,1,0.76745045
28,200809070sfo,-1,-1,1,2008,-10,2.5,0.30026102,0.30009726,,,0.56057584,0,0.38697804
29,200810260nyj,-1,1,8,2008,4,13.0,,0.8386747999999999,,0.76275325,,1,0.800714025
30,200811090sdg,-1,1,10,2008,1,15.0,,1.0188884,,0.7621380999999999,,1,0.8905132499999999
31,200812280cin,1,1,17,2008,10,1.5,0.53643185,,0.24443442,0.819492,,1,0.5334527566666667
32,200810050car,1,1,5,2008,34,10.0,0.9388294,,0.9632909,,,1,0.95106015
33,200812070den,-1,1,14,2008,7,9.0,0.7025498,,0.5068726,,,1,0.6047112
34,200809070nwe,-1,1,1,2008,7,16.0,0.83887935,0.6814217,0.78328896,0.635079,0.93417585,1,0.774568972
35,200809210atl,1,1,3,2008,24,6.0,0.982507,0.57367146,0.7972405,0.734633,,1,0.77201299
36,200811300rai,-1,-1,13,2008,-7,3.0,,,0.40833965,,,0,0.40833965
37,200811090nyj,1,1,10,2008,44,9.5,,,1.0008314,,0.7625445,1,0.88168795
38,200809210sea,1,1,3,2008,24,8.0,0.43922693,,0.695905,0.68401664,,1,0.6063828566666666
39,200810120was,-1,-1,6,2008,-2,12.0,0.8812995000000001,,,0.899018,,0,0.8901587500000001
40,200812070crd,1,1,14,2008,24,14.5,0.59607077,0.7706368,,0.94725287,0.91764593,1,0.8079015924999999
41,200809070phi,1,1,1,2008,35,7.5,0.8551698,,,,,1,0.8551698
42,200812280atl,-1,1,17,2008,4,14.0,,1.0418899,,1.1358726000000001,0.9662774,1,1.0480133
43,200811160sfo,1,1,11,2008,19,7.0,,0.7307618,0.5324631999999999,,0.8773546,1,0.7135265333333333
44,200910110car,-1,1,5,2009,3,5.0,0.5569535,0.36643428,,,,1,0.46169389
45,200909270det,1,1,3,2009,5,6.5,0.31396502,,,,,1,0.31396502
47,200911080atl,1,1,9,2009,14,8.5,0.82781863,1.1591811,0.99880654,,,1,0.9952687566666666
48,200912130rai,-1,-1,14,2009,-21,2.0,0.67995167,0.37538052,,,0.46338373,0,0.50623864
49,200911220dal,-1,1,11,2009,1,10.5,,,,0.80392814,0.7473358,1,0.7756319700000001
50,200911220nyg,-1,1,11,2009,3,7.0,0.14627153,,0.6198607,,0.7935765,1,0.51990291
51,200912200nyj,-1,-1,15,2009,-3,5.0,,0.87290967,,0.7988962,0.6012211,0,0.7576756566666667
52,200911150car,1,1,10,2009,9,1.0,,0.35460240000000004,,,0.31864923,1,0.336625815
53,200909270nwe,1,1,3,2009,16,4.5,0.8582436,,0.86411846,,,1,0.86118103
54,201001030tam,-1,-1,17,2009,-10,3.0,0.21473244,0.7177638000000001,0.47009224,0.27706945,,0,0.4199144825
55,200911020nor,-1,1,8,2009,8,11.0,,0.7111423000000001,0.91416746,0.6930569000000001,0.8344782,1,0.788211215
56,200910110sfo,-1,-1,5,2009,-35,0.0,,,0.59022987,0.42374837,0.5985704000000001,0,0.5375162133333334
57,200910250dal,1,1,7,2009,16,5.0,,,,0.3284605,0.5944925,1,0.46147649999999996
58,200912130nyg,-1,-1,14,2009,-7,1.0,,,0.61610305,,,0,0.61610305
59,200911150sdg,1,1,10,2009,8,1.0,,0.7212576,,,,1,0.7212576
61,200909130car,-1,-1,1,2009,-28,2.5,,0.42684513,0.6248366999999999,,,0,0.525840915
62,200911220chi,-1,-1,11,2009,-4,3.5,,0.38140476,,,,0,0.38140476
63,200912060atl,-1,-1,13,2009,-27,4.0,0.35229970000000005,0.1396665,0.6000052,,0.46492803,0,0.3892248575
64,200910180rai,1,1,6,2009,4,14.5,0.69277596,,,,0.060813904,1,0.37679493199999997
65,201001030dal,1,1,17,2009,24,2.5,0.56020427,,,,,1,0.56020427
66,201001090dal,1,1,18,2009,20,4.0,,0.57662034,,,0.9235565999999998,1,0.7500884699999999
67,200912270nyg,-1,-1,16,2009,-32,8.5,0.82141113,,,,,0,0.82141113
68,200911290nyj,1,1,12,2009,11,3.0,0.44922024,,0.38799343,0.82463443,0.65263104,1,0.578619785
69,200911010crd,-1,-1,8,2009,-13,10.0,,,,1.0237048,,0,1.0237048
70,200912130nwe,-1,1,14,2009,10,12.5,0.8818568000000001,,0.909643,0.9758898000000001,0.93978417,1,0.9267934425
71,200910180tam,-1,-1,6,2009,-7,3.5,0.67696404,,0.21978721,0.20253736,0.5636465,0,0.41573377749999996
72,200909200atl,1,1,2,2009,8,5.5,0.9284804,,0.8717867,,,1,0.9001335500000001
73,200911080nor,-1,1,9,2009,10,12.0,0.79610306,0.678083,,,,1,0.73709303
74,200909280dal,1,1,3,2009,14,8.5,0.6686076999999999,0.34764922,0.91423804,0.6773739000000001,,1,0.651967215
75,200710070ram,1,-1,5,2007,-3,3.5,0.12839144,0.37456667,,,,0,0.251479055
76,200712090sea,1,1,14,2007,21,8.0,,0.90100163,0.8199151,,0.6701274,1,0.79701471
77,200710210was,-1,1,7,2007,2,8.0,,,0.7558419,,0.57791835,1,0.666880125
78,200711180cin,-1,-1,11,2007,-8,3.0,,,0.7036214,0.49299806,,0,0.59830973
79,200709100sfo,-1,1,1,2007,3,3.5,,0.8187818,0.43432096,0.71570605,0.33643827,1,0.57631177
80,200709230rav,-1,1,3,2007,3,7.0,,0.5660151,,0.39898992,,1,0.48250251
81,200711040tam,1,1,9,2007,7,3.0,0.2693069,,,,,1,0.2693069
82,200712160nor,1,1,15,2007,7,4.0,,,,0.13298169,,1,0.13298169
83,201009120ram,-1,-1,1,2010,-4,3.0,,0.33606744,0.7411826,,0.26914299999999997,0,0.44879768
84,201010030sdg,1,1,4,2010,31,10.0,0.9450921999999998,0.77367705,,1.0105016,,1,0.9097569499999999
85,201010240sea,1,1,7,2010,12,6.5,0.8734324,,,0.5667099,,1,0.72007115
86,201012190car,1,1,15,2010,7,2.5,0.41903207,0.47412118,0.5342300999999999,,,1,0.47579445
87,201011070min,-1,1,9,2010,3,7.0,,,1.0316494,0.77687925,,1,0.904264325
88,201009190atl,1,1,2,2010,34,7.0,,,0.45216507,0.6103849,,1,0.531274985
89,201011210kan,1,1,11,2010,18,7.0,,0.65144813,0.8334867,,,1,0.742467415
