Bin,Lost,Won
0,1.0,0.0
1,1.0,1.0
2,3.0,1.0
3,2.0,2.0
4,4.0,0.0
5,1.0,1.0
6,5.0,1.0
7,1.0,2.0
8,4.0,1.0
9,5.0,1.0
10,3.0,1.0
11,4.0,3.0
12,4.0,2.0
13,3.0,3.0
14,4.0,2.0
15,3.0,5.0
16,5.0,4.0
17,9.0,4.0
18,8.0,5.0
19,11.0,7.0
20,10.0,5.0
21,9.0,3.0
22,14.0,2.0
23,13.0,6.0
24,6.0,5.0
25,12.0,6.0
26,13.0,8.0
27,10.0,5.0
28,9.0,6.0
29,10.0,5.0
30,11.0,8.0
31,5.0,11.0
32,14.0,8.0
33,7.0,8.0
34,13.0,5.0
35,14.0,11.0
36,16.0,11.0
37,14.0,7.0
38,15.0,15.0
39,13.0,13.0
40,15.0,11.0
41,17.0,11.0
42,11.0,14.0
43,24.0,14.0
44,26.0,12.0
45,14.0,7.0
46,20.0,16.0
47,12.0,22.0
48,16.0,20.0
49,17.0,16.0
50,11.0,20.0
51,19.0,15.0
52,13.0,17.0
53,15.0,24.0
54,21.0,16.0
55,19.0,17.0
56,13.0,25.0
57,21.0,23.0
58,15.0,13.0
59,17.0,17.0
60,18.0,22.0
61,17.0,26.0
62,11.0,23.0
63,9.0,20.0
64,19.0,24.0
65,8.0,9.0
66,12.0,21.0
67,13.0,23.0
68,10.0,18.0
69,13.0,19.0
70,13.0,25.0
71,10.0,17.0
72,11.0,29.0
73,8.0,17.0
74,7.0,14.0
75,12.0,20.0
76,10.0,29.0
77,9.0,19.0
78,6.0,21.0
79,3.0,22.0
80,3.0,29.0
81,6.0,23.0
82,1.0,22.0
83,10.0,18.0
84,11.0,16.0
85,1.0,15.0
86,6.0,22.0
87,5.0,22.0
88,4.0,20.0
89,4.0,14.0
90,3.0,13.0
91,6.0,17.0
92,3.0,11.0
93,4.0,7.0
94,4.0,15.0
95,2.0,7.0
96,2.0,5.0
97,1.0,8.0
98,2.0,6.0
99,3.0,3.0
100,0.0,3.0
