Percentile,Lost,Won
0,9,3
1,12,10
2,16,6
3,18,4
4,15,8
5,14,8
6,18,4
7,14,9
8,15,7
9,12,10
10,16,6
11,15,8
12,12,10
13,16,6
14,10,12
15,15,8
16,12,10
17,12,10
18,13,9
19,11,12
20,10,12
21,12,10
22,10,13
23,12,10
24,13,9
25,12,10
26,12,11
27,13,9
28,8,14
29,11,11
30,15,8
31,8,14
32,9,13
33,11,12
34,9,13
35,13,9
36,12,10
37,13,10
38,11,11
39,6,16
40,12,10
41,15,8
42,9,13
43,11,11
44,11,12
45,9,13
46,9,13
47,10,12
48,8,15
49,12,10
50,7,15
51,10,12
52,13,10
53,10,12
54,4,18
55,6,16
56,9,14
57,10,12
58,7,15
59,9,14
60,11,11
61,11,11
62,6,16
63,11,12
64,5,17
65,5,17
66,12,10
67,6,17
68,10,12
69,6,16
70,8,15
71,7,15
72,7,15
73,6,16
74,9,14
75,3,19
76,8,14
77,7,15
78,4,19
79,6,16
80,9,13
81,8,15
82,13,9
83,1,21
84,5,17
85,8,15
86,3,19
87,4,18
88,9,13
89,5,18
90,6,16
91,7,15
92,5,17
93,7,16
94,9,13
95,5,17
96,2,21
97,6,16
98,3,19
99,5,17
100,2,9
