,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
0,200909140nwe,-1,1,1,2009,1,13.5,,0.47763553,1.0820493999999998,,1.1783204,1,1.0820493999999998
1,200911150oti,1,1,10,2009,24,7.5,0.9646448000000001,1.0504886999999998,0.7994213000000001,,0.8656212,1,0.915133
2,200912270atl,1,1,16,2009,28,7.5,0.90214586,0.8014513000000001,0.8538909,0.51556695,0.76457596,1,0.8014513000000001
3,200912130kan,-1,-1,14,2009,-6,2.5,,0.5608217,,0.6430402,,0,0.60193095
4,201001030min,1,1,17,2009,37,8.5,0.45123732,0.8436063,,0.4515943,0.61725116,1,0.53442273
5,200912210was,-1,-1,15,2009,-33,3.0,0.19481847,0.51149535,0.47331840000000003,0.37342903,0.35182184,0,0.37342903
6,200911260den,1,1,12,2009,20,4.5,0.2819001,0.30876909999999996,,,,1,0.2953346
7,200909270tam,-1,-1,3,2009,-24,6.0,0.09003392,0.31332064,0.23419629999999997,,0.26231116,0,0.24825372999999998
8,200911010phi,1,1,8,2009,23,3.0,,,,0.49006507,,1,0.49006507
9,200910040kan,-1,-1,4,2009,-11,9.5,,0.15067992,0.50071174,,,0,0.32569582999999996
10,200910180nor,1,1,6,2009,21,3.0,0.42190084,,0.47263226,0.60438806,0.48376,1,0.47819613000000005
11,200909200dal,-1,-1,2,2009,-2,3.0,0.5639270000000001,0.46974520000000003,0.6702916999999999,0.74678534,,0,0.61710935
12,200712090nyj,-1,-1,14,2007,-6,3.0,0.07441226,,,,0.18768466,0,0.13104846
13,200709230rai,-1,1,3,2007,2,3.0,0.4648594,,,0.27239025,,1,0.368624825
14,200710280ram,-1,-1,8,2007,-7,3.0,-0.08059639,,0.3594969,,0.19757256,0,0.19757256
15,200712230cin,1,1,16,2007,5,2.0,,,0.4086256,0.38263512,,1,0.39563035999999996
16,200712020crd,1,1,13,2007,6,1.0,,,,0.5460576,,1,0.5460576
17,200710070nwe,1,1,5,2007,17,15.5,,0.7972504,0.7500011999999999,0.53724885,,1,0.7500011999999999
18,200711110pit,-1,1,10,2007,3,9.0,0.606287,,,,0.626319,1,0.616303
19,200711180rav,-1,-1,11,2007,-3,1.0,0.24650595,0.23256361,0.7839899,0.52093726,0.21472600000000003,0,0.24650595
20,200809280nyj,1,1,4,2008,21,1.0,,0.78397393,0.40896833,,0.6547281999999999,1,0.6547281999999999
21,200811020ram,-1,-1,9,2008,-21,3.0,,,,0.31418209999999996,0.35625172,0,0.33521691
22,200811160sea,-1,-1,11,2008,-6,3.0,,,0.6431180999999999,0.6145618,,0,0.6288399499999999
23,200809210was,1,1,3,2008,7,3.0,0.9038969000000001,,0.5535142,0.37197167,,1,0.5535142
24,200810260car,-1,1,8,2008,4,4.5,,,,0.71597034,0.6336466,1,0.67480847
25,200901100car,-1,-1,19,2008,-20,10.0,0.3920447,0.8657752000000001,0.83511865,,,0,0.83511865
26,200812210nwe,1,1,16,2008,40,8.0,0.5277130999999999,,,,,1,0.5277130999999999
27,200811270phi,1,1,13,2008,28,3.0,,0.7826376,,0.8328885,0.39381096,1,0.7826376
28,200809070sfo,-1,-1,1,2008,-10,2.5,0.5455121,0.28354108,,0.63253826,,0,0.5455121
29,200810260nyj,-1,1,8,2008,4,13.0,0.8988564,0.5920042,,,0.6750712,1,0.6750712
30,200811090sdg,-1,1,10,2008,1,15.0,0.8191618,0.7282163,,,0.85375845,1,0.8191618
31,200812280cin,1,1,17,2008,10,1.5,0.33777840000000003,0.15938866,0.12517998,,,1,0.15938866
32,200810050car,1,1,5,2008,34,10.0,0.8613491,0.7960547,0.92430335,,,1,0.8613491
33,200812070den,-1,1,14,2008,7,9.0,0.6181466,,0.19159374,0.42364442,0.732209,1,0.52089551
34,200809070nwe,-1,1,1,2008,7,16.0,,,,0.978825,0.57680225,1,0.777813625
35,200809210atl,1,1,3,2008,24,6.0,,,0.7928562,0.60957485,,1,0.7012155250000001
36,200811300rai,-1,-1,13,2008,-7,3.0,,0.47785379999999994,0.6966763000000001,0.7925109,,0,0.6966763000000001
37,200811090nyj,1,1,10,2008,44,9.5,,,,0.9581332,0.84132063,1,0.899726915
