Bin,Lost,Won
0,1.0,1.0
1,2.0,0.0
2,1.0,1.0
3,0.0,1.0
4,1.0,1.0
5,3.0,0.0
6,2.0,3.0
7,0.0,0.0
8,0.0,1.0
9,7.0,3.0
10,6.0,3.0
11,6.0,1.0
12,4.0,1.0
13,4.0,3.0
14,8.0,0.0
15,4.0,1.0
16,5.0,5.0
17,11.0,1.0
18,5.0,5.0
19,4.0,3.0
20,9.0,6.0
21,12.0,4.0
22,6.0,4.0
23,8.0,4.0
24,11.0,6.0
25,12.0,4.0
26,15.0,6.0
27,12.0,10.0
28,13.0,5.0
29,13.0,8.0
30,12.0,10.0
31,15.0,13.0
32,9.0,13.0
33,12.0,8.0
34,11.0,12.0
35,15.0,15.0
36,14.0,11.0
37,16.0,16.0
38,18.0,13.0
39,12.0,12.0
40,12.0,17.0
41,17.0,16.0
42,17.0,11.0
43,11.0,15.0
44,20.0,11.0
45,17.0,17.0
46,15.0,11.0
47,22.0,21.0
48,15.0,20.0
49,17.0,18.0
50,10.0,13.0
51,18.0,13.0
52,20.0,14.0
53,15.0,18.0
54,10.0,26.0
55,13.0,26.0
56,16.0,22.0
57,12.0,16.0
58,18.0,19.0
59,16.0,24.0
60,16.0,30.0
61,13.0,21.0
62,16.0,19.0
63,12.0,19.0
64,6.0,12.0
65,12.0,24.0
66,9.0,16.0
67,13.0,20.0
68,11.0,12.0
69,12.0,24.0
70,12.0,32.0
71,6.0,18.0
72,8.0,16.0
73,13.0,20.0
74,9.0,19.0
75,9.0,22.0
76,5.0,22.0
77,5.0,22.0
78,15.0,18.0
79,14.0,16.0
80,8.0,15.0
81,6.0,23.0
82,6.0,16.0
83,7.0,23.0
84,14.0,23.0
85,7.0,23.0
86,6.0,15.0
87,2.0,16.0
88,4.0,14.0
89,4.0,13.0
90,8.0,15.0
91,0.0,10.0
92,4.0,13.0
93,4.0,12.0
94,3.0,13.0
95,3.0,5.0
96,6.0,8.0
97,3.0,6.0
98,1.0,4.0
99,1.0,4.0
100,1.0,5.0
