Percentile,Lost,Won
0,8,4
1,15,7
2,12,10
3,14,9
4,16,6
5,18,4
6,16,6
7,14,9
8,15,7
9,18,4
10,19,4
11,11,11
12,13,9
13,13,9
14,14,9
15,14,8
16,10,12
17,13,10
18,15,7
19,13,9
20,14,8
21,12,11
22,11,11
23,12,10
24,15,8
25,9,13
26,13,9
27,11,11
28,8,15
29,17,5
30,14,8
31,16,7
32,11,11
33,9,13
34,9,14
35,10,12
36,10,12
37,9,13
38,10,13
39,13,9
40,11,11
41,11,12
42,10,12
43,5,17
44,11,11
45,9,14
46,11,11
47,10,12
48,12,11
49,11,11
50,12,10
51,11,11
52,10,13
53,8,14
54,10,12
55,11,12
56,6,16
57,10,12
58,5,17
59,7,16
60,10,12
61,9,13
62,7,16
63,6,16
64,10,12
65,6,16
66,11,12
67,8,14
68,9,13
69,5,18
70,8,14
71,6,16
72,6,17
73,5,17
74,8,14
75,7,15
76,3,20
77,4,18
78,6,16
79,5,18
80,9,13
81,8,14
82,5,17
83,10,13
84,5,17
85,6,16
86,9,14
87,7,15
88,5,17
89,3,19
90,6,17
91,8,14
92,9,13
93,5,18
94,5,17
95,5,17
96,6,16
97,4,19
98,3,19
99,6,16
100,1,10
