,accuracy
1,0.7777777777777778
3,0.8148148148148148
5,0.8666666666666667
7,0.8412698412698413
9,0.8024691358024691
11,0.7878787878787878
13,0.7777777777777778
15,0.7703703703703704
17,0.7712418300653595
19,0.7777777777777778
21,0.783068783068783
23,0.7777777777777778
25,0.7777777777777778
27,0.7777777777777778
29,0.7701149425287356
31,0.7455197132616488
33,0.7575757575757576
35,0.7523809523809524
37,0.7537537537537538
39,0.7606837606837606
41,0.7588075880758808
43,0.7571059431524548
45,0.7530864197530864
47,0.7541371158392435
49,0.7551020408163265
51,0.7538126361655774
53,0.7484276729559748
55,0.7454545454545455
57,0.7348927875243665
59,0.7344632768361582
61,0.7340619307832422
63,0.7336860670194003
65,0.7264957264957265
67,0.7230514096185738
69,0.7246376811594203
71,0.7261345852895149
73,0.7245053272450532
75,0.725925925925926
77,0.7287157287157288
79,0.7243319268635724
81,0.7174211248285323
83,0.7202141900937081
85,0.7189542483660131
87,0.7164750957854407
89,0.714107365792759
91,0.7081807081807082
93,0.7108721624850657
95,0.7029239766081872
97,0.7033218785796106
99,0.7048260381593715
101,0.7051705170517052
103,0.703344120819849
105,0.7026455026455026
107,0.6998961578400831
109,0.7003058103975535
111,0.6986986986986987
113,0.6981317600786627
115,0.6966183574879227
117,0.6961063627730294
119,0.6937441643323996
121,0.6923783287419651
123,0.6928635953026197
125,0.6942222222222222
127,0.6902887139107612
129,0.6881998277347114
131,0.6878710771840543
133,0.6842105263157895
135,0.6831275720164609
137,0.681265206812652
139,0.6786570743405276
141,0.6792750197005516
143,0.6775446775446775
145,0.6766283524904214
147,0.6764928193499622
149,0.6733780760626398
151,0.6740250183958794
153,0.6695715323166304
155,0.668100358422939
157,0.667374380750177
159,0.6638714185883997
161,0.660455486542443
163,0.6591683708248125
165,0.6579124579124579
167,0.6560212907518297
169,0.653517422748192
171,0.6517218973359324
173,0.6499678869621066
175,0.6507936507936508
177,0.6490897677338355
179,0.6468032278088144
181,0.6470227133210559
183,0.6429872495446266
185,0.6408408408408408
187,0.6387403446226976
189,0.6360964138741917
191,0.6346713205351949
193,0.6321243523316062
195,0.629059829059829
197,0.6271855611957134
199,0.6253489670575098
201,0.6224433388612494
203,0.6185002736726875
205,0.6140921409214092
207,0.6129898013955984
209,0.6108452950558214
211,0.6097946287519748
213,0.6071987480438185
215,0.60671834625323
217,0.6057347670250897
219,0.6047691527143582
221,0.6018099547511312
223,0.5984055804683608
225,0.5955555555555555
227,0.593245227606461
229,0.5909752547307132
231,0.5882635882635883
233,0.586075345731998
235,0.5829787234042553
237,0.5818096577590248
239,0.5792654579265458
241,0.5776855693868141
243,0.5752860411899313
245,0.5740909090909091
247,0.5723327305605787
249,0.5715571557155715
251,0.5705300988319856
