Bin,Lost,Won
0,0.0,0.0
1,0.0,0.0
2,1.0,1.0
3,2.0,1.0
4,2.0,0.0
5,2.0,1.0
6,1.0,1.0
7,2.0,2.0
8,5.0,0.0
9,2.0,1.0
10,5.0,2.0
11,2.0,3.0
12,3.0,1.0
13,10.0,2.0
14,1.0,2.0
15,5.0,4.0
16,5.0,3.0
17,5.0,0.0
18,11.0,7.0
19,11.0,1.0
20,5.0,3.0
21,6.0,3.0
22,6.0,4.0
23,8.0,3.0
24,10.0,8.0
25,13.0,5.0
26,15.0,3.0
27,11.0,8.0
28,7.0,8.0
29,12.0,4.0
30,15.0,5.0
31,10.0,9.0
32,13.0,8.0
33,16.0,9.0
34,16.0,13.0
35,15.0,11.0
36,24.0,10.0
37,22.0,10.0
38,20.0,12.0
39,15.0,16.0
40,13.0,11.0
41,18.0,9.0
42,9.0,12.0
43,11.0,16.0
44,19.0,21.0
45,19.0,17.0
46,19.0,21.0
47,15.0,15.0
48,15.0,23.0
49,26.0,11.0
50,14.0,24.0
51,18.0,17.0
52,16.0,25.0
53,15.0,33.0
54,20.0,17.0
55,20.0,24.0
56,13.0,22.0
57,13.0,20.0
58,11.0,14.0
59,13.0,25.0
60,13.0,23.0
61,8.0,24.0
62,14.0,19.0
63,12.0,25.0
64,9.0,25.0
65,12.0,24.0
66,15.0,16.0
67,8.0,25.0
68,13.0,20.0
69,9.0,22.0
70,14.0,21.0
71,15.0,24.0
72,14.0,21.0
73,15.0,25.0
74,8.0,21.0
75,11.0,21.0
76,6.0,29.0
77,14.0,27.0
78,2.0,11.0
79,4.0,11.0
80,5.0,24.0
81,1.0,12.0
82,10.0,14.0
83,5.0,20.0
84,4.0,17.0
85,9.0,13.0
86,3.0,14.0
87,5.0,18.0
88,4.0,12.0
89,6.0,17.0
90,4.0,18.0
91,7.0,7.0
92,2.0,15.0
93,3.0,13.0
94,8.0,8.0
95,3.0,6.0
96,2.0,9.0
97,0.0,8.0
98,0.0,4.0
99,1.0,5.0
100,2.0,4.0
