Percentile,Lost,Won
0,8,4
1,16,6
2,15,7
3,13,9
4,16,7
5,17,5
6,15,7
7,13,10
8,15,7
9,17,5
10,12,10
11,15,8
12,17,5
13,9,13
14,17,5
15,15,8
16,11,11
17,13,9
18,12,10
19,19,4
20,15,7
21,15,7
22,13,10
23,9,13
24,13,9
25,12,10
26,14,9
27,8,14
28,12,10
29,10,12
30,11,12
31,11,11
32,11,11
33,9,14
34,13,9
35,8,14
36,12,10
37,13,10
38,13,9
39,8,14
40,11,11
41,11,12
42,8,14
43,6,16
44,6,17
45,14,8
46,11,11
47,7,15
48,11,12
49,8,14
50,11,11
51,7,15
52,12,11
53,6,16
54,7,15
55,11,11
56,5,18
57,7,15
58,9,13
59,8,15
60,7,15
61,7,15
62,6,16
63,9,14
64,6,16
65,12,10
66,5,17
67,9,14
68,9,13
69,6,16
70,8,15
71,6,16
72,8,14
73,10,12
74,10,13
75,10,12
76,6,16
77,7,15
78,8,15
79,8,14
80,2,20
81,6,17
82,8,14
83,5,17
84,3,19
85,4,19
86,9,13
87,3,19
88,5,17
89,8,15
90,6,16
91,4,18
92,6,16
93,5,18
94,6,16
95,7,15
96,4,19
97,9,13
98,3,19
99,4,18
100,1,10
