,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
0,200909140nwe,-1,1,1,2009,1,13.5,,0.49011105,1.1431307,,0.9619833000000001,1,0.9619833000000001
1,200911150oti,1,1,10,2009,24,7.5,0.83847076,0.7234529000000001,0.65978193,,0.9487299000000001,1,0.7809618300000001
2,200912270atl,1,1,16,2009,28,7.5,0.8263858000000001,0.8312371999999999,0.82988036,0.34548306,1.0111806,1,0.82988036
3,200912130kan,-1,-1,14,2009,-6,2.5,,0.56434274,,0.51096237,,0,0.537652555
4,201001030min,1,1,17,2009,37,8.5,0.9372451999999999,0.8536459000000001,,0.5081637999999999,0.5794735,1,0.7165597
5,200912210was,-1,-1,15,2009,-33,3.0,0.27199307,0.43814949999999997,0.41756362,0.41052848,0.4072963,0,0.41052848
6,200911260den,1,1,12,2009,20,4.5,0.2706759,-0.01476723,,,,1,0.127954335
7,200909270tam,-1,-1,3,2009,-24,6.0,0.18813777,0.28993738,0.30234513,,0.42619115,0,0.296141255
8,200911010phi,1,1,8,2009,23,3.0,,,,0.7411826,,1,0.7411826
9,200910040kan,-1,-1,4,2009,-11,9.5,,0.12571591,0.03788361,,,0,0.08179976
10,200910180nor,1,1,6,2009,21,3.0,0.76705885,,0.60109705,0.38901030000000003,0.80139774,1,0.68407795
11,200909200dal,-1,-1,2,2009,-2,3.0,0.4987768,0.7026676,0.48646757,0.5953371999999999,,0,0.5470569999999999
12,200712090nyj,-1,-1,14,2007,-6,3.0,0.33848852,,,,0.26399145,0,0.30123998500000004
13,200709230rai,-1,1,3,2007,2,3.0,0.578304,,,0.23502538,,1,0.40666469000000005
14,200710280ram,-1,-1,8,2007,-7,3.0,0.18947381,,0.14468646,,0.20004070000000002,0,0.18947381
15,200712230cin,1,1,16,2007,5,2.0,,,0.63444257,0.4839085999999999,,1,0.559175585
16,200712020crd,1,1,13,2007,6,1.0,,,,0.43230778,,1,0.43230778
17,200710070nwe,1,1,5,2007,17,15.5,,0.6018116,0.86967707,0.71362144,,1,0.71362144
18,200711110pit,-1,1,10,2007,3,9.0,0.62551904,,,,0.48705178,1,0.55628541
19,200711180rav,-1,-1,11,2007,-3,1.0,0.5094577,0.043699563,0.6705405,0.3855409,0.10125059,0,0.3855409
20,200809280nyj,1,1,4,2008,21,1.0,,0.5667384,0.5570291,,0.6090976,1,0.5667384
21,200811020ram,-1,-1,9,2008,-21,3.0,,,,0.5176242999999999,0.42822093,0,0.472922615
22,200811160sea,-1,-1,11,2008,-6,3.0,,,0.44226772,0.74143606,,0,0.5918518899999999
23,200809210was,1,1,3,2008,7,3.0,0.8440409,,0.46716599999999997,0.5302334,,1,0.5302334
24,200810260car,-1,1,8,2008,4,4.5,,,,0.56161195,0.702966,1,0.632288975
25,200901100car,-1,-1,19,2008,-20,10.0,0.5268938,0.9428113000000001,0.7570424,,,0,0.7570424
26,200812210nwe,1,1,16,2008,40,8.0,0.6526666,,,,,1,0.6526666
27,200811270phi,1,1,13,2008,28,3.0,,0.5616934,,0.5917214,0.54972816,1,0.5616934
28,200809070sfo,-1,-1,1,2008,-10,2.5,0.44178364,0.5753059,,0.43934214,,0,0.44178364
29,200810260nyj,-1,1,8,2008,4,13.0,0.84680325,0.5113194000000001,,,0.6501066,1,0.6501066
30,200811090sdg,-1,1,10,2008,1,15.0,0.7334718000000001,0.70481235,,,0.64025724,1,0.70481235
31,200812280cin,1,1,17,2008,10,1.5,0.68397737,0.5481727,0.53081304,,,1,0.5481727
32,200810050car,1,1,5,2008,34,10.0,0.7938606,0.9995023999999999,0.78023434,,,1,0.7938606
33,200812070den,-1,1,14,2008,7,9.0,0.48661850000000006,,0.38324958,0.40648228,0.5428137,1,0.44655039
34,200809070nwe,-1,1,1,2008,7,16.0,,,,1.0091436,0.41080248,1,0.70997304
35,200809210atl,1,1,3,2008,24,6.0,,,0.7772945,0.74189085,,1,0.7595926749999999
36,200811300rai,-1,-1,13,2008,-7,3.0,,0.38047048,0.6207435,0.8574915999999999,,0,0.6207435
37,200811090nyj,1,1,10,2008,44,9.5,,,,0.9450611999999999,0.72790956,1,0.83648538
38,200809210sea,1,1,3,2008,24,8.0,0.78090835,0.7430305,0.7961328000000001,0.62749964,0.52470076,1,0.7430305
39,200810120was,-1,-1,6,2008,-2,12.0,0.69306046,,0.74383014,,,0,0.7184453
40,200812070crd,1,1,14,2008,24,14.5,0.83651334,,0.63915133,,,1,0.737832335
41,200809070phi,1,1,1,2008,35,7.5,1.0024089,0.9078809000000001,,,0.95957804,1,0.95957804
42,200812280atl,-1,1,17,2008,4,14.0,,,0.65798783,0.65806973,,1,0.65802878
43,200811160sfo,1,1,11,2008,19,7.0,0.9743468000000001,,0.38036472,0.5486496999999999,0.49156094,1,0.52010532
44,200910110car,-1,1,5,2009,3,5.0,0.74602497,,,0.5334281,0.3411607,1,0.5334281
45,200909270det,1,1,3,2009,5,6.5,,,,0.5091204,,1,0.5091204
46,200911290phi,-1,1,12,2009,3,10.0,,0.8913954,0.9409839,0.97921264,0.915538,1,0.92826095
47,200911080atl,1,1,9,2009,14,8.5,,,,0.68151414,0.785048,1,0.73328107
48,200912130rai,-1,-1,14,2009,-21,2.0,,,0.77479917,,,0,0.77479917
49,200911220dal,-1,1,11,2009,1,10.5,,0.86984444,0.8958193000000001,1.0613774,0.9948296999999998,1,0.9453244999999999
50,200911220nyg,-1,1,11,2009,3,7.0,,0.7033961,0.7992232,,0.71537805,1,0.71537805
51,200912200nyj,-1,-1,15,2009,-3,5.0,0.91809446,0.6118998000000001,0.5994765999999999,0.32426888,0.5685464,0,0.5994765999999999
53,200909270nwe,1,1,3,2009,16,4.5,0.79397273,0.7602711999999999,,0.6712296999999999,0.7411956000000001,1,0.7507334
54,201001030tam,-1,-1,17,2009,-10,3.0,0.9845370999999999,,,0.37594920000000004,0.47463813,0,0.47463813
55,200911020nor,-1,1,8,2009,8,11.0,0.7273811,0.4726633,,,,1,0.6000222
56,200910110sfo,-1,-1,5,2009,-35,0.0,0.36786273,0.27037787,,0.5652751,,0,0.36786273
57,200910250dal,1,1,7,2009,16,5.0,0.5996686999999999,1.1593559,,0.8616921000000001,,1,0.8616921000000001
58,200912130nyg,-1,-1,14,2009,-7,1.0,0.31657436,,0.5601526,0.5008278,,0,0.5008278
59,200911150sdg,1,1,10,2009,8,1.0,,0.38544905,,0.46475288,0.4837589,1,0.46475288
