,accuracy
1,0.7777777777777778
3,0.8148148148148148
5,0.8444444444444444
7,0.8412698412698413
9,0.8148148148148148
11,0.8080808080808081
13,0.7863247863247863
15,0.7777777777777778
17,0.7843137254901961
19,0.7953216374269005
21,0.7936507936507936
23,0.7874396135265701
25,0.7822222222222223
27,0.7736625514403292
29,0.7547892720306514
31,0.7455197132616488
33,0.7441077441077442
35,0.7396825396825397
37,0.7447447447447447
39,0.7521367521367521
41,0.7506775067750677
43,0.7493540051679587
45,0.7530864197530864
47,0.7588652482269503
49,0.7596371882086168
51,0.7581699346405228
53,0.7547169811320755
55,0.7494949494949495
57,0.746588693957115
59,0.7401129943502824
61,0.73224043715847
63,0.7248677248677249
65,0.7264957264957265
67,0.7213930348258707
69,0.7214170692431562
71,0.7183098591549296
73,0.7199391171993912
75,0.7185185185185186
77,0.7171717171717171
79,0.7172995780590717
81,0.7119341563786008
83,0.7081659973226239
85,0.7058823529411765
87,0.7049808429118773
89,0.7078651685393258
91,0.7045177045177046
93,0.7048984468339307
95,0.7029239766081872
97,0.7056128293241696
99,0.7048260381593715
101,0.7073707370737073
103,0.703344120819849
105,0.6994708994708995
107,0.6988577362409139
109,0.6982670744138634
111,0.6996996996996997
113,0.6951819075712881
115,0.6975845410628019
117,0.6951566951566952
119,0.6918767507002801
121,0.6932966023875115
123,0.6910569105691057
125,0.6888888888888889
127,0.6867891513560805
129,0.6873385012919897
131,0.6870229007633588
133,0.6858813700918964
135,0.6814814814814815
137,0.6828872668288727
139,0.6810551558752997
141,0.6808510638297872
143,0.6783216783216783
145,0.6781609195402298
147,0.6757369614512472
149,0.6756152125279642
151,0.6725533480500367
153,0.6695715323166304
155,0.6702508960573477
157,0.6666666666666666
159,0.6638714185883997
161,0.6625258799171843
163,0.6618950238582141
165,0.6592592592592592
167,0.656686626746507
169,0.6548323471400395
171,0.6530214424951267
173,0.6525369299935774
175,0.6507936507936508
177,0.650345260514752
179,0.6474239602731223
181,0.6451810926949049
183,0.6435944140862173
185,0.6420420420420421
187,0.6381461675579323
189,0.6349206349206349
191,0.6335078534031413
193,0.6309729418537708
195,0.6273504273504273
197,0.6232374506486181
199,0.6208821887213847
201,0.6185737976782753
203,0.6163108921729611
205,0.6151761517615176
207,0.6124530327428879
209,0.6092503987240829
211,0.6076882569773565
213,0.6061554512258738
215,0.6056847545219638
217,0.6026625704045059
219,0.6007102993404363
221,0.5982905982905983
223,0.5964125560538116
225,0.5945679012345679
227,0.5927557513460597
229,0.5904900533721494
231,0.5882635882635883
233,0.5855984740104911
235,0.5839243498817966
237,0.5822784810126582
239,0.5792654579265458
241,0.5781466113416321
243,0.5757437070938215
245,0.5745454545454546
247,0.5723327305605787
249,0.5715571557155715
251,0.5705300988319856
