Bin,Lost,Won
0,2.0,0.0
1,1.0,1.0
2,4.0,2.0
3,2.0,0.0
4,0.0,1.0
5,2.0,1.0
6,5.0,0.0
7,6.0,0.0
8,2.0,3.0
9,2.0,1.0
10,1.0,1.0
11,4.0,2.0
12,3.0,2.0
13,6.0,3.0
14,7.0,1.0
15,8.0,4.0
16,4.0,3.0
17,3.0,2.0
18,10.0,6.0
19,3.0,3.0
20,11.0,3.0
21,14.0,4.0
22,12.0,9.0
23,11.0,3.0
24,11.0,7.0
25,9.0,5.0
26,12.0,7.0
27,11.0,6.0
28,9.0,6.0
29,16.0,11.0
30,17.0,1.0
31,11.0,6.0
32,7.0,9.0
33,10.0,5.0
34,17.0,12.0
35,21.0,12.0
36,18.0,10.0
37,22.0,16.0
38,15.0,9.0
39,13.0,20.0
40,17.0,12.0
41,16.0,13.0
42,16.0,13.0
43,13.0,17.0
44,14.0,22.0
45,19.0,11.0
46,17.0,16.0
47,12.0,18.0
48,18.0,15.0
49,13.0,22.0
50,20.0,12.0
51,11.0,14.0
52,14.0,24.0
53,14.0,23.0
54,18.0,14.0
55,12.0,16.0
56,10.0,20.0
57,14.0,12.0
58,13.0,13.0
59,21.0,17.0
60,13.0,21.0
61,9.0,21.0
62,10.0,16.0
63,13.0,20.0
64,10.0,23.0
65,14.0,23.0
66,14.0,23.0
67,17.0,22.0
68,14.0,21.0
69,14.0,21.0
70,8.0,21.0
71,18.0,29.0
72,12.0,25.0
73,6.0,21.0
74,13.0,11.0
75,13.0,20.0
76,5.0,26.0
77,10.0,22.0
78,6.0,27.0
79,3.0,27.0
80,10.0,29.0
81,4.0,22.0
82,6.0,11.0
83,10.0,22.0
84,10.0,15.0
85,7.0,10.0
86,4.0,19.0
87,7.0,23.0
88,2.0,13.0
89,5.0,17.0
90,6.0,6.0
91,3.0,16.0
92,4.0,9.0
93,2.0,7.0
94,2.0,8.0
95,0.0,9.0
96,4.0,7.0
97,3.0,13.0
98,1.0,7.0
99,5.0,7.0
100,1.0,7.0
