Percentile,Lost,Won
0,8,4
1,14,8
2,17,5
3,14,8
4,15,8
5,18,4
6,13,9
7,14,9
8,11,11
9,18,4
10,15,7
11,15,8
12,14,8
13,9,13
14,10,12
15,16,7
16,15,7
17,16,6
18,13,9
19,11,12
20,15,7
21,17,5
22,13,10
23,12,10
24,14,8
25,11,11
26,16,7
27,14,8
28,10,12
29,10,12
30,12,11
31,12,10
32,10,12
33,9,14
34,9,13
35,9,13
36,12,10
37,15,8
38,13,9
39,9,13
40,12,10
41,10,13
42,11,11
43,8,14
44,6,17
45,5,17
46,13,9
47,8,14
48,11,12
49,10,12
50,6,16
51,7,15
52,5,18
53,11,11
54,11,11
55,5,17
56,9,14
57,8,14
58,9,13
59,5,18
60,8,14
61,6,16
62,7,15
63,5,18
64,10,12
65,7,15
66,8,14
67,11,12
68,6,16
69,10,12
70,6,17
71,7,15
72,10,12
73,8,14
74,14,9
75,5,17
76,5,17
77,9,13
78,12,11
79,3,19
80,8,14
81,5,18
82,5,17
83,4,18
84,3,19
85,4,19
86,7,15
87,8,14
88,5,17
89,10,13
90,5,17
91,4,18
92,4,18
93,8,15
94,6,16
95,4,18
96,8,15
97,4,18
98,3,19
99,5,17
100,1,10
