,accuracy
1,1.0
3,0.9259259259259259
5,0.8666666666666667
7,0.8571428571428571
9,0.8148148148148148
11,0.8080808080808081
13,0.8290598290598291
15,0.8222222222222222
17,0.8235294117647058
19,0.8304093567251462
21,0.8253968253968254
23,0.8260869565217391
25,0.8133333333333334
27,0.8106995884773662
29,0.8084291187739464
31,0.8028673835125448
33,0.8047138047138047
35,0.8095238095238095
37,0.8048048048048048
39,0.8005698005698005
41,0.8048780487804879
43,0.7984496124031008
45,0.7925925925925926
47,0.7919621749408984
49,0.7891156462585034
51,0.7843137254901961
53,0.7819706498951782
55,0.7757575757575758
57,0.7719298245614035
59,0.7721280602636534
61,0.7704918032786885
63,0.7671957671957672
65,0.7658119658119659
67,0.7645107794361525
69,0.7632850241545893
71,0.755868544600939
73,0.756468797564688
75,0.7511111111111111
77,0.746031746031746
79,0.7412095639943741
81,0.7448559670781894
83,0.7456492637215528
85,0.74640522875817
87,0.7420178799489144
89,0.7390761548064919
91,0.7362637362637363
93,0.7299880525686977
95,0.7286549707602339
97,0.7239404352806414
99,0.7227833894500562
101,0.7205720572057206
103,0.7152103559870551
105,0.7121693121693121
107,0.7092419522326064
109,0.7064220183486238
111,0.7027027027027027
113,0.704031465093412
115,0.7004830917874396
117,0.6970560303893637
119,0.6937441643323996
121,0.6932966023875115
123,0.6937669376693767
125,0.6933333333333334
127,0.6902887139107612
129,0.6864771748492678
131,0.6853265479219678
133,0.681704260651629
135,0.6790123456790124
137,0.6763990267639902
139,0.6746602717825739
141,0.6737588652482269
143,0.6721056721056721
145,0.6720306513409962
147,0.671201814058957
149,0.6674123788217748
151,0.6629874908020603
153,0.6623093681917211
155,0.6602150537634408
157,0.6546355272469923
159,0.6540880503144654
161,0.655624568668047
163,0.6523517382413088
165,0.6525252525252525
167,0.6513639387890885
169,0.6515450361604208
171,0.6471734892787524
173,0.6461143224149004
175,0.6457142857142857
177,0.6446955430006277
179,0.6418373680943513
181,0.6421117249846532
183,0.6399514268366727
185,0.6360360360360361
187,0.6327985739750446
189,0.6313932980599647
191,0.6311809191390343
193,0.6286701208981001
195,0.6262108262108262
197,0.6232374506486181
199,0.6208821887213847
201,0.6196793808734107
203,0.6174055829228243
205,0.6168021680216802
207,0.6151368760064412
209,0.6113769271664008
211,0.6103212216956293
213,0.6082420448617631
215,0.6072351421188631
217,0.6057347670250897
219,0.6037544393708777
221,0.6023127199597788
223,0.5984055804683608
225,0.5950617283950618
227,0.5927557513460597
229,0.591460456089277
231,0.5887445887445888
233,0.586075345731998
235,0.583451536643026
237,0.5804031879981247
239,0.5774058577405857
241,0.5758414015675426
243,0.5743026977594878
245,0.5716878402903811
247,0.5699458483754513
249,0.5686009896536213
251,0.5677737881508079
