Model Score Threshold,Accuracy
0.0,0.5675190668461193
0.01,0.572902646926873
0.02,0.5755944369672499
0.03,0.5791834903544191
0.04,0.582323912068192
0.05,0.588604755495738
0.06,0.5939883355764917
0.07,0.6007178106774338
0.08,0.604306864064603
0.09,0.6069986541049798
0.1,0.614176760879318
0.11,0.6146253925527142
0.12,0.6173171825930911
0.13,0.6191117092866757
0.14,0.620457604306864
0.15,0.6231493943472409
0.16,0.6231493943472409
0.17,0.6249439210408255
0.18,0.6280843427545985
0.19,0.6271870794078062
0.2,0.6307761327949754
0.21,0.6312247644683715
0.22,0.6303275011215792
0.23,0.633019291161956
0.24,0.633019291161956
0.25,0.6343651861821444
0.26,0.6370569762225213
0.27,0.6379542395693136
0.28,0.6366083445491252
0.29,0.6348138178555406
0.3,0.6375056078959175
0.31,0.639300134589502
0.32,0.6388515029161059
0.33,0.6388515029161059
0.34,0.636159712875729
0.35000000000000003,0.6348138178555406
0.36,0.633019291161956
0.37,0.633019291161956
0.38,0.6325706594885598
0.39,0.6325706594885598
0.4,0.6316733961417677
0.41000000000000003,0.6325706594885598
0.42,0.6321220278151638
0.43,0.6303275011215792
0.44,0.6303275011215792
0.45,0.6289816061013908
0.46,0.6271870794078062
0.47000000000000003,0.6262898160610139
0.48,0.6235980260206371
0.49,0.6222521310004486
0.5,0.6195603409600717
0.51,0.620457604306864
0.52,0.6182144459398834
0.53,0.6164199192462988
0.54,0.6182144459398834
0.55,0.6164199192462988
0.56,0.6132794975325258
0.5700000000000001,0.6123822341857336
0.58,0.6123822341857336
0.59,0.6083445491251682
0.6,0.6074472857783759
0.61,0.6110363391655451
0.62,0.6101390758187528
0.63,0.6061013907581875
0.64,0.604306864064603
0.65,0.6025123373710184
0.66,0.5984746523104532
0.67,0.5975773889636609
0.68,0.5930910722296994
0.6900000000000001,0.5899506505159264
0.7000000000000001,0.5836698070883805
0.71,0.5809780170480036
0.72,0.5791834903544191
0.73,0.5742485419470614
0.74,0.5679676985195155
0.75,0.5670704351727232
0.76,0.5612382234185733
0.77,0.5585464333781965
0.78,0.5531628532974427
0.79,0.550471063257066
0.8,0.5437415881561238
0.81,0.5401525347689546
0.8200000000000001,0.5365634813817856
0.8300000000000001,0.5352175863615971
0.84,0.5289367429340511
0.85,0.5244504262000897
0.86,0.5208613728129206
0.87,0.5150291610587707
0.88,0.5078510542844324
0.89,0.5042620008972634
0.9,0.49753252579632123
0.91,0.4921489457155675
0.92,0.4858681022880215
0.93,0.47868999551368324
0.9400000000000001,0.4728577837595334
0.9500000000000001,0.46657694033198743
0.96,0.46119336025123375
0.97,0.45536114849708387
0.98,0.4499775684163302
0.99,0.44190219829519967
1.0,0.4329295648272768
